TimeStamp;2025-07-08 14-22-13;2025-07-08 14-22-34;2025-07-08 14-22-53;2025-07-08 14-23-12;2025-07-08 14-23-32;2025-07-08 14-23-53;2025-07-08 14-24-12;2025-07-08 14-24-32;2025-07-08 14-24-51;2025-07-08 14-25-10;2025-07-08 14-25-29;2025-07-08 14-25-48;2025-07-08 14-26-08;2025-07-08 14-26-27;2025-07-08 14-26-46;2025-07-08 14-27-06;2025-07-08 14-27-27;2025-07-08 14-27-47;2025-07-08 14-28-07;2025-07-08 14-28-29;2025-07-08 14-28-48;2025-07-08 14-29-08;2025-07-08 14-29-28;2025-07-08 14-29-48;2025-07-08 14-30-08;2025-07-08 14-30-27;2025-07-08 14-30-48;2025-07-08 14-31-07;2025-07-08 14-31-28;2025-07-08 14-31-49;2025-07-08 14-32-08;2025-07-08 14-32-28;2025-07-08 14-32-47;2025-07-08 14-33-07;2025-07-08 14-33-28;2025-07-08 14-33-47;2025-07-08 14-34-07;2025-07-08 14-34-26;2025-07-08 14-34-48;2025-07-08 14-35-08;2025-07-08 14-35-27;2025-07-08 14-35-48;2025-07-08 14-36-08;2025-07-08 14-36-27;2025-07-08 14-36-46;2025-07-08 14-37-06;2025-07-08 14-37-26;2025-07-08 14-37-46;2025-07-08 14-38-05;2025-07-08 14-38-24;2025-07-08 14-38-44;2025-07-08 14-39-03;2025-07-08 14-39-22;2025-07-08 14-39-42;2025-07-08 14-40-03;2025-07-08 14-40-23;2025-07-08 14-40-43
0.010;292.226013;271.959015;275.729004;295.525024;278.085999;295.525024;279.500000;300.239014;279.500000;299.767029;301.181000;288.927002;302.595001;287.513000;309.194000;283.271027;288.927002;302.124023;288.455017;303.538025;289.398010;304.952026;287.984009;289.398010;305.423004;299.296021;287.984009;305.423004;288.455017;299.296021;286.570007;304.952026;298.353027;290.341003;300.710022;285.156006;293.169006;304.952026;290.812012;304.009003;283.271027;299.767029;302.124023;287.984009;307.309021;286.098999;289.398010;305.895020;284.685028;303.538025;305.423004;288.927002;307.780029;303.538025;290.812012;305.895020;287.984009
0.020;291.755005;271.959015;276.672028;295.525024;278.557007;295.054016;279.971008;300.710022;279.500000;300.239014;300.239014;287.041016;302.595001;287.041016;309.194000;283.271027;288.927002;302.124023;287.984009;303.538025;289.869019;305.423004;287.984009;290.341003;304.952026;299.296021;287.984009;304.952026;288.455017;299.767029;286.098999;304.952026;298.353027;289.398010;301.181000;285.156006;293.169006;304.952026;290.812012;303.067017;283.271027;299.767029;302.124023;288.455017;307.309021;285.627014;289.869019;305.423004;285.156006;303.538025;304.009003;287.984009;307.780029;303.538025;291.283020;304.952026;288.927002
0.030;291.283020;272.430023;277.143005;295.525024;278.085999;295.525024;279.971008;302.124023;280.443024;300.710022;300.239014;285.627014;302.595001;287.513000;308.251007;283.271027;288.927002;302.124023;287.513000;303.538025;289.398010;305.423004;288.927002;290.812012;305.895020;300.239014;287.984009;305.423004;287.513000;299.296021;286.098999;304.952026;298.825012;289.398010;301.653015;284.685028;293.169006;304.952026;290.812012;302.595001;284.213013;299.767029;301.181000;289.869019;307.309021;286.098999;291.755005;304.952026;285.156006;304.481018;303.067017;287.984009;307.309021;303.067017;291.283020;304.952026;290.341003
0.040;290.341003;272.430023;277.143005;295.525024;277.615021;295.997009;279.971008;303.067017;280.443024;300.710022;299.296021;286.098999;303.067017;287.984009;306.366028;282.799011;289.869019;302.595001;287.984009;304.009003;288.927002;305.895020;288.455017;292.226013;306.837006;302.124023;287.513000;305.895020;286.098999;298.825012;286.570007;304.952026;299.296021;289.398010;303.067017;283.742004;293.640015;304.481018;290.812012;301.653015;285.627014;299.767029;300.239014;290.341003;306.837006;287.984009;293.640015;305.895020;284.213013;305.423004;303.067017;288.455017;305.895020;302.595001;290.812012;304.952026;291.755005
0.050;291.283020;272.901001;275.729004;295.997009;279.029022;296.939026;279.971008;303.067017;280.443024;300.239014;299.767029;286.570007;303.538025;287.984009;305.423004;281.857025;290.812012;303.067017;288.455017;304.952026;287.513000;306.366028;287.984009;292.226013;306.837006;302.595001;288.455017;306.366028;287.041016;298.825012;286.098999;304.481018;299.767029;290.341003;303.538025;283.271027;293.640015;304.481018;290.812012;300.710022;286.098999;301.653015;299.767029;289.869019;307.309021;288.455017;294.111023;306.366028;282.799011;306.366028;302.124023;289.869019;305.423004;302.124023;290.341003;305.423004;292.697021
0.060;291.283020;273.844025;273.844025;295.997009;279.971008;297.882019;279.971008;303.067017;280.443024;300.239014;299.767029;286.570007;303.538025;288.455017;305.423004;282.328003;290.812012;303.538025;288.455017;304.952026;287.041016;306.837006;286.570007;292.226013;305.895020;302.595001;289.398010;306.837006;287.984009;297.411011;286.098999;304.481018;299.767029;290.341003;303.538025;283.271027;293.640015;304.952026;290.341003;300.239014;286.570007;303.067017;299.767029;288.455017;307.309021;288.455017;294.111023;306.837006;284.685028;306.366028;302.124023;290.341003;306.366028;302.124023;289.398010;305.423004;292.697021
0.070;292.697021;274.315002;274.787018;295.997009;279.971008;297.882019;280.443024;302.595001;280.443024;298.825012;300.239014;286.570007;303.538025;288.455017;305.895020;282.328003;290.812012;303.538025;287.984009;304.952026;287.984009;306.837006;285.156006;292.226013;304.952026;302.595001;289.869019;306.837006;288.927002;298.353027;285.627014;304.481018;299.767029;290.341003;303.067017;283.742004;293.640015;304.952026;289.398010;300.710022;286.570007;303.538025;300.710022;287.513000;307.780029;286.098999;293.169006;306.366028;285.627014;306.366028;304.481018;290.341003;307.309021;303.067017;287.984009;305.895020;292.226013
0.080;292.697021;274.315002;275.258026;295.997009;280.914001;297.882019;280.443024;302.124023;279.500000;297.882019;300.710022;286.570007;303.067017;288.455017;306.366028;282.799011;290.812012;303.538025;287.513000;304.952026;288.927002;305.423004;284.213013;292.226013;304.481018;302.124023;289.869019;306.366028;288.927002;299.767029;285.156006;303.538025;299.296021;288.927002;301.653015;284.685028;294.111023;305.423004;289.398010;301.653015;286.098999;303.067017;302.124023;287.513000;307.780029;286.098999;293.169006;306.366028;286.570007;306.366028;305.895020;289.398010;307.309021;303.067017;287.984009;305.895020;291.283020
0.090;292.226013;274.787018;275.729004;294.583008;280.914001;297.411011;280.443024;302.124023;280.914001;297.882019;300.710022;285.627014;303.067017;288.455017;306.837006;283.742004;290.341003;302.595001;287.984009;304.481018;289.869019;304.481018;285.627014;292.697021;304.481018;301.181000;289.869019;306.366028;288.927002;300.710022;285.627014;303.067017;299.296021;288.455017;300.710022;285.156006;294.583008;305.895020;289.398010;302.124023;285.627014;302.124023;302.595001;287.513000;307.309021;286.098999;292.226013;307.309021;286.570007;306.366028;306.366028;288.927002;307.309021;303.067017;289.398010;304.952026;291.283020
0.100;292.226013;275.258026;275.729004;292.697021;279.971008;297.411011;279.500000;302.124023;281.385010;298.825012;300.710022;285.156006;302.595001;288.455017;307.309021;284.213013;289.869019;301.181000;287.513000;304.481018;289.869019;304.009003;286.570007;292.697021;304.481018;299.296021;288.927002;306.366028;288.927002;301.181000;286.570007;303.538025;299.296021;288.455017;300.710022;284.685028;295.054016;306.366028;289.398010;302.124023;285.627014;299.296021;303.067017;287.513000;307.780029;286.570007;290.812012;307.780029;286.570007;305.895020;305.423004;288.455017;307.309021;303.067017;289.869019;304.952026;290.812012
0.110;292.226013;274.787018;275.729004;293.640015;277.615021;296.939026;279.971008;302.124023;281.385010;299.767029;299.296021;285.627014;301.653015;289.869019;307.780029;284.213013;289.869019;300.710022;287.513000;304.009003;291.283020;304.009003;287.984009;292.697021;306.366028;299.767029;287.513000;305.895020;288.455017;301.181000;287.041016;304.009003;299.296021;289.398010;300.239014;283.271027;295.054016;306.837006;289.869019;301.181000;285.156006;297.411011;302.595001;287.984009;308.251007;286.570007;291.283020;307.780029;286.570007;305.895020;303.067017;288.927002;306.366028;303.538025;289.398010;305.423004;290.812012
0.120;291.283020;274.787018;275.729004;294.583008;276.672028;296.939026;279.971008;300.239014;281.857025;299.767029;299.767029;285.627014;301.181000;290.341003;307.780029;283.271027;289.869019;301.181000;287.041016;303.538025;291.283020;305.895020;287.984009;292.226013;308.251007;300.239014;286.570007;306.366028;287.984009;300.710022;287.041016;304.481018;298.353027;290.341003;300.239014;282.799011;294.583008;306.837006;290.812012;301.181000;283.742004;296.939026;301.653015;288.927002;308.723022;287.984009;292.697021;307.780029;285.627014;305.423004;303.067017;288.927002;305.895020;303.538025;289.398010;305.423004;291.755005
0.130;291.755005;273.844025;274.787018;294.583008;276.672028;296.939026;279.971008;299.767029;281.857025;299.767029;299.767029;287.041016;301.653015;290.341003;307.780029;282.328003;290.341003;302.595001;286.570007;304.481018;290.812012;306.837006;288.927002;291.755005;308.723022;300.239014;287.984009;306.837006;289.398010;300.710022;287.041016;304.481018;298.353027;290.812012;299.767029;283.271027;294.583008;306.366028;291.283020;300.239014;282.799011;296.939026;300.710022;289.398010;308.723022;288.455017;293.169006;307.309021;284.685028;304.009003;303.067017;289.398010;304.952026;303.067017;289.398010;305.423004;292.226013
