TimeStamp;2025-07-08 14-22-12;2025-07-08 14-22-33;2025-07-08 14-22-52;2025-07-08 14-23-11;2025-07-08 14-23-31;2025-07-08 14-23-52;2025-07-08 14-24-11;2025-07-08 14-24-31;2025-07-08 14-24-50;2025-07-08 14-25-09;2025-07-08 14-25-28;2025-07-08 14-25-47;2025-07-08 14-26-07;2025-07-08 14-26-26;2025-07-08 14-26-45;2025-07-08 14-27-05;2025-07-08 14-27-26;2025-07-08 14-27-46;2025-07-08 14-28-06;2025-07-08 14-28-28;2025-07-08 14-28-47;2025-07-08 14-29-06;2025-07-08 14-29-27;2025-07-08 14-29-47;2025-07-08 14-30-07;2025-07-08 14-30-26;2025-07-08 14-30-47;2025-07-08 14-31-06;2025-07-08 14-31-27;2025-07-08 14-31-48;2025-07-08 14-32-07;2025-07-08 14-32-27;2025-07-08 14-32-46;2025-07-08 14-33-06;2025-07-08 14-33-27;2025-07-08 14-33-46;2025-07-08 14-34-06;2025-07-08 14-34-25;2025-07-08 14-34-47;2025-07-08 14-35-07;2025-07-08 14-35-26;2025-07-08 14-35-47;2025-07-08 14-36-07;2025-07-08 14-36-26;2025-07-08 14-36-45;2025-07-08 14-37-05;2025-07-08 14-37-25;2025-07-08 14-37-45;2025-07-08 14-38-04;2025-07-08 14-38-23;2025-07-08 14-38-42;2025-07-08 14-39-02;2025-07-08 14-39-21;2025-07-08 14-39-41;2025-07-08 14-40-02;2025-07-08 14-40-22;2025-07-08 14-40-42
0.010;0.364400;0.036100;0.194900;0.022300;0.051800;0.051800;0.065600;0.064300;0.060300;0.040000;0.054400;0.100400;0.105000;0.097800;0.018400;0.003200;0.001300;0.086600;0.147100;0.365700;0.040700;0.042700;0.023600;0.057100;0.061600;0.066900;0.085300;0.059700;0.037400;0.055100;0.101700;0.124700;0.108900;0.036800;0.017000;0.009200;0.084000;0.145700;0.362400;0.038100;0.026900;0.012400;0.051200;0.061000;0.055700;0.072100;0.062900;0.047900;0.059700;0.093200;0.112200;0.098400;0.022300;0.023600;0.017000;0.111600;0.149000
0.020;0.366300;0.036100;0.196200;0.023600;0.051800;0.054400;0.063600;0.063600;0.060300;0.041400;0.057000;0.101700;0.105000;0.097800;0.018400;0.003900;0.003900;0.088600;0.147100;0.363700;0.043300;0.042700;0.023600;0.057100;0.061600;0.064900;0.084000;0.062300;0.036800;0.055700;0.099700;0.122700;0.108900;0.040000;0.017000;0.009200;0.085900;0.145700;0.362400;0.038100;0.017700;0.018400;0.051200;0.061000;0.059700;0.072800;0.068900;0.042000;0.055700;0.093200;0.114900;0.099700;0.022300;0.023000;0.017000;0.109600;0.149000
0.030;0.363700;0.035400;0.196200;0.024900;0.051800;0.055100;0.064300;0.064900;0.058300;0.040700;0.057000;0.102400;0.105000;0.095800;0.022300;0.002600;0.001900;0.089900;0.146400;0.363700;0.043300;0.042700;0.026900;0.056400;0.063600;0.066200;0.084000;0.062300;0.034800;0.055800;0.100400;0.125400;0.108900;0.043300;0.019700;0.008500;0.085300;0.153000;0.362400;0.032800;0.027600;0.016400;0.049200;0.058400;0.055700;0.072800;0.063600;0.043300;0.060300;0.095800;0.114200;0.096500;0.019700;0.026900;0.019700;0.109600;0.143800
0.040;0.365700;0.036100;0.193600;0.024300;0.053100;0.052500;0.064300;0.062900;0.058300;0.040700;0.055700;0.099700;0.105700;0.097800;0.021000;0.005900;0.001900;0.089900;0.146400;0.363100;0.039400;0.042700;0.026900;0.058300;0.062300;0.064300;0.085300;0.062300;0.038700;0.053800;0.100400;0.125400;0.110900;0.043300;0.019700;0.012400;0.085300;0.145100;0.361700;0.038100;0.019000;0.015700;0.051200;0.063600;0.057100;0.073500;0.065600;0.043300;0.057000;0.095800;0.113500;0.102400;0.019000;0.022300;0.013100;0.110900;0.143800
0.050;0.365700;0.034800;0.193600;0.024300;0.053100;0.052500;0.062300;0.063600;0.058400;0.041400;0.053800;0.099700;0.105700;0.096500;0.021600;0.005900;0.001300;0.087300;0.145700;0.365700;0.039400;0.042700;0.022300;0.058300;0.062300;0.064300;0.085300;0.061000;0.034800;0.056400;0.100400;0.125400;0.109600;0.039400;0.016400;0.009800;0.085900;0.150300;0.363100;0.034100;0.021600;0.015700;0.049200;0.059700;0.057100;0.073500;0.066200;0.047200;0.057000;0.095100;0.113500;0.102400;0.020300;0.022300;0.023600;0.105700;0.150300
0.060;0.365000;0.036800;0.196900;0.019700;0.049200;0.053800;0.064300;0.063600;0.059000;0.041400;0.055700;0.099100;0.103000;0.095800;0.019000;0.004600;0.003200;0.085900;0.143100;0.364400;0.041400;0.043300;0.024900;0.055800;0.061600;0.065600;0.083300;0.061000;0.039400;0.053100;0.099700;0.122100;0.108300;0.039400;0.021000;0.011800;0.085300;0.150300;0.363100;0.034100;0.025600;0.012400;0.049200;0.059700;0.057100;0.072100;0.066200;0.042000;0.056400;0.096500;0.112200;0.096500;0.017000;0.024300;0.013800;0.111600;0.147700
0.070;0.365000;0.038100;0.196200;0.019700;0.050500;0.053100;0.062900;0.063600;0.057700;0.042000;0.054400;0.099100;0.105700;0.096500;0.021600;0.004600;0.000600;0.086600;0.144400;0.364400;0.041400;0.042700;0.022300;0.056400;0.061600;0.064900;0.084600;0.057700;0.039400;0.053100;0.098400;0.125400;0.108900;0.038100;0.017000;0.007200;0.083300;0.144400;0.363100;0.039400;0.025600;0.012400;0.049200;0.059700;0.058300;0.073500;0.066200;0.048600;0.057700;0.091200;0.112200;0.099100;0.019000;0.023000;0.016400;0.111600;0.145700
0.080;0.367000;0.038100;0.196900;0.024900;0.051800;0.053800;0.062900;0.062300;0.057700;0.041400;0.054400;0.100400;0.103700;0.096500;0.021600;0.002600;0.001300;0.087900;0.144400;0.364400;0.043300;0.044000;0.022300;0.056400;0.061600;0.062300;0.084600;0.061600;0.036800;0.055100;0.099700;0.121400;0.106300;0.040000;0.017000;0.007200;0.085900;0.144400;0.363100;0.039400;0.020300;0.019700;0.049200;0.059700;0.058300;0.069500;0.066200;0.042700;0.055700;0.091200;0.114200;0.099700;0.019000;0.021000;0.016400;0.108900;0.145700
0.090;0.366300;0.034800;0.195600;0.022300;0.051800;0.052500;0.064300;0.061600;0.057700;0.042000;0.054400;0.099100;0.104300;0.094500;0.019700;0.003900;0.002600;0.086600;0.145700;0.364400;0.042700;0.044000;0.023600;0.058300;0.061000;0.062300;0.084600;0.059700;0.036800;0.053800;0.099100;0.123400;0.106300;0.040000;0.019700;0.009800;0.082700;0.150300;0.364400;0.033500;0.024900;0.014400;0.048600;0.059000;0.053100;0.074100;0.062300;0.045300;0.058300;0.095800;0.112200;0.094500;0.018400;0.024900;0.017700;0.108900;0.144400
0.100;0.364400;0.036800;0.198200;0.024900;0.052500;0.052500;0.064300;0.064900;0.058300;0.041400;0.055700;0.100400;0.103700;0.098400;0.020300;0.003900;0.002600;0.086600;0.145700;0.362400;0.042000;0.042700;0.023600;0.056400;0.063600;0.064300;0.085900;0.059700;0.040000;0.055700;0.101100;0.123400;0.112200;0.040700;0.019700;0.011800;0.082700;0.145700;0.362400;0.038100;0.021600;0.015700;0.051200;0.061000;0.059000;0.072100;0.065600;0.045300;0.057700;0.095800;0.114200;0.099100;0.019000;0.023600;0.015700;0.109600;0.144400
