TimeStamp;2025-07-08 14-22-08;2025-07-08 14-22-29;2025-07-08 14-22-48;2025-07-08 14-23-08;2025-07-08 14-23-27;2025-07-08 14-23-48;2025-07-08 14-24-07;2025-07-08 14-24-27;2025-07-08 14-24-46;2025-07-08 14-25-05;2025-07-08 14-25-25;2025-07-08 14-25-44;2025-07-08 14-26-03;2025-07-08 14-26-22;2025-07-08 14-26-41;2025-07-08 14-27-01;2025-07-08 14-27-22;2025-07-08 14-27-42;2025-07-08 14-28-02;2025-07-08 14-28-24;2025-07-08 14-28-43;2025-07-08 14-29-03;2025-07-08 14-29-23;2025-07-08 14-29-44;2025-07-08 14-30-03;2025-07-08 14-30-22;2025-07-08 14-30-43;2025-07-08 14-31-02;2025-07-08 14-31-23;2025-07-08 14-31-44;2025-07-08 14-32-03;2025-07-08 14-32-23;2025-07-08 14-32-43;2025-07-08 14-33-02;2025-07-08 14-33-23;2025-07-08 14-33-43;2025-07-08 14-34-02;2025-07-08 14-34-21;2025-07-08 14-34-43;2025-07-08 14-35-03;2025-07-08 14-35-22;2025-07-08 14-35-43;2025-07-08 14-36-03;2025-07-08 14-36-22;2025-07-08 14-36-42;2025-07-08 14-37-01;2025-07-08 14-37-22;2025-07-08 14-37-41;2025-07-08 14-38-00;2025-07-08 14-38-19;2025-07-08 14-38-39;2025-07-08 14-38-58;2025-07-08 14-39-17;2025-07-08 14-39-37;2025-07-08 14-39-58;2025-07-08 14-40-19;2025-07-08 14-40-38
0.010;2.025500;2.368400;2.115700;2.238300;2.527400;2.096900;2.329200;2.027700;2.041800;2.097300;2.322100;2.465200;2.436400;2.022600;2.148600;2.369700;2.099400;2.097300;2.143200;2.095200;2.016400;2.233700;2.147300;2.433900;2.350500;2.250000;2.136500;2.093100;2.016800;2.367600;2.042700;2.232400;2.379700;2.197000;2.056400;2.232000;2.165300;2.329200;2.262900;2.399300;2.535300;2.058500;2.048500;2.082700;2.197000;2.197000;2.418900;2.161900;2.376800;2.157800;2.174900;2.401000;2.327500;2.056800;2.071900;2.119400;2.226600
0.020;2.015100;2.158600;2.051800;2.003400;2.274100;2.045100;2.102700;2.017600;2.041800;2.026400;2.107700;2.208700;2.194100;2.022600;2.021400;2.131500;2.031800;2.097300;2.005100;2.041800;2.007600;2.029700;1.983800;2.010900;2.115200;2.046400;1.989200;2.093100;2.016800;2.367600;2.034700;2.008800;2.156100;2.023900;2.031400;2.232000;2.062700;2.099400;2.027200;2.153600;2.067300;2.036800;2.055200;2.036400;2.197000;2.197000;2.187000;2.161900;2.133200;2.030100;2.055100;2.170700;2.115600;2.056800;2.057200;2.049700;2.226600
0.030;1.769900;2.011800;1.922500;2.003400;2.061800;1.910400;2.043100;1.790700;1.772800;1.918800;2.033900;2.040600;2.194100;2.009300;1.992200;2.008000;2.031800;2.023000;1.991300;2.041800;1.771900;2.007200;1.975100;2.010900;2.115200;2.046400;1.990500;2.007600;1.997200;2.017200;1.905800;2.008800;2.030100;2.015900;2.031400;2.021000;2.028100;2.099400;2.030500;2.037600;2.067300;1.911600;2.055200;1.896700;2.028100;2.024700;2.043900;2.014700;2.030600;1.923300;2.018400;2.041800;2.031800;1.909600;1.914600;1.935500;2.069300
0.040;1.769900;2.011800;1.819100;2.008000;2.047200;1.805700;1.999700;1.790700;1.772800;1.797800;1.922100;2.015100;1.999200;1.896700;1.779900;2.001300;1.789400;1.997200;1.991300;1.992600;1.836200;2.007200;1.728100;2.003400;1.999300;1.885800;1.740600;1.983400;1.782000;2.017200;1.789500;1.858700;2.030100;2.015900;1.803600;2.020100;1.804900;2.036800;1.875800;2.037600;2.029700;1.776900;1.910800;1.896700;2.009300;2.026400;2.043900;2.014700;1.986300;1.923300;1.816600;2.023900;2.031800;1.909600;1.914600;1.935500;2.051800
0.050;1.854900;2.013000;1.819100;1.883300;1.916200;1.805700;1.795700;1.856200;1.851200;1.797800;1.922100;1.787800;1.999200;1.757800;1.831600;1.886200;1.789400;1.779400;1.768200;1.785700;1.819500;1.867900;1.806600;1.873700;1.970500;1.885800;1.740600;1.761900;1.823700;1.987100;1.789500;1.757300;1.797400;1.760300;1.866600;1.899600;1.804900;1.914200;1.875800;1.785700;1.911300;1.776900;1.800700;1.794500;1.896200;1.889100;1.804100;1.783600;1.774400;1.796100;1.816600;1.797400;1.922900;1.774400;1.802800;1.813200;1.931700
0.060;1.836600;1.900800;1.852000;1.763200;1.792000;1.865400;1.855400;1.839900;1.822000;1.862400;1.796500;1.857900;1.769800;1.757800;1.829500;1.756100;1.856200;1.779400;1.822800;1.844900;1.819500;1.764800;1.806600;1.761900;1.762800;1.768200;1.808600;1.805300;1.810300;1.765700;1.849500;1.798600;1.797400;1.760300;1.846600;1.773200;1.867500;1.797800;1.779900;1.785700;1.785700;1.855800;1.852900;1.851200;1.765700;1.889100;1.804100;1.847900;1.774400;1.857400;1.851200;1.797400;1.799000;1.850300;1.863300;1.887100;1.811600
0.070;1.878300;1.747700;1.877000;1.825800;1.792000;1.865400;1.855400;1.883300;1.849100;1.862400;1.852900;1.857900;1.831200;1.830300;1.829500;1.756100;1.853300;1.815300;1.818700;1.844900;1.853300;1.812400;1.773200;1.761900;1.822800;1.823700;1.797400;1.804100;1.855400;1.823200;1.849500;1.798600;1.847400;1.834900;1.896600;1.847800;1.842000;1.849100;1.832400;1.862400;1.785700;1.852900;1.854100;1.858300;1.836600;1.833300;1.869500;1.834100;1.840800;1.867400;1.837000;1.857400;1.857900;1.853300;1.870400;1.883300;1.879500
0.080;1.876200;1.747700;1.879500;1.818600;1.862900;1.872000;1.834100;1.895000;1.849100;1.850800;1.861600;1.839900;1.819900;1.830300;1.872100;1.834900;1.871600;1.815300;1.850800;1.872900;1.864500;1.815700;1.827800;1.818700;1.793600;1.837000;1.834100;1.804100;1.855400;1.823200;1.870800;1.833300;1.830800;1.835300;1.889100;1.847800;1.907500;1.857000;1.832400;1.823200;1.849900;1.865400;1.882900;1.868700;1.836600;1.833300;1.862000;1.834100;1.810800;1.866200;1.887500;1.842000;1.878700;1.853300;1.887900;1.892900;1.879500
0.090;1.873700;1.834900;1.898300;1.844100;1.862500;1.895800;1.888700;1.888300;1.842900;1.882900;1.852900;1.886200;1.819900;1.834100;1.864500;1.827400;1.871600;1.862900;1.863300;1.872900;1.854500;1.815700;1.839500;1.832000;1.793600;1.837000;1.856600;1.827400;1.846600;1.850300;1.866600;1.833300;1.878700;1.854100;1.889100;1.838300;1.892900;1.857000;1.855800;1.879600;1.849900;1.875800;1.882900;1.875800;1.848700;1.843300;1.891200;1.882500;1.889100;1.899200;1.876600;1.895800;1.868300;1.862900;1.895400;1.907500;1.891700
0.100;1.873700;1.834900;1.880800;1.844100;1.885400;1.876200;1.868300;1.888300;1.842900;1.857400;1.885000;1.882100;1.861200;1.870400;1.875000;1.862500;1.860400;1.865400;1.863300;1.854500;1.862400;1.832000;1.825300;1.853700;1.854100;1.861200;1.834500;1.842900;1.856600;1.850300;1.874100;1.829500;1.878700;1.854100;1.904100;1.864500;1.892900;1.866200;1.847500;1.877100;1.858700;1.873700;1.870800;1.877400;1.852900;1.867900;1.914200;1.882500;1.865800;1.899200;1.894600;1.887500;1.868300;1.878300;1.895400;1.907500;1.895400
