TimeStamp;2025-07-08 14-22-08;2025-07-08 14-22-29;2025-07-08 14-22-48;2025-07-08 14-23-08;2025-07-08 14-23-27;2025-07-08 14-23-48;2025-07-08 14-24-07;2025-07-08 14-24-27;2025-07-08 14-24-46;2025-07-08 14-25-05;2025-07-08 14-25-25;2025-07-08 14-25-44;2025-07-08 14-26-03;2025-07-08 14-26-22;2025-07-08 14-26-41;2025-07-08 14-27-01;2025-07-08 14-27-22;2025-07-08 14-27-42;2025-07-08 14-28-02;2025-07-08 14-28-24;2025-07-08 14-28-43;2025-07-08 14-29-03;2025-07-08 14-29-23;2025-07-08 14-29-44;2025-07-08 14-30-03;2025-07-08 14-30-22;2025-07-08 14-30-43;2025-07-08 14-31-02;2025-07-08 14-31-23;2025-07-08 14-31-44;2025-07-08 14-32-03;2025-07-08 14-32-23;2025-07-08 14-32-43;2025-07-08 14-33-02;2025-07-08 14-33-23;2025-07-08 14-33-43;2025-07-08 14-34-02;2025-07-08 14-34-21;2025-07-08 14-34-43;2025-07-08 14-35-03;2025-07-08 14-35-22;2025-07-08 14-35-43;2025-07-08 14-36-03;2025-07-08 14-36-22;2025-07-08 14-36-42;2025-07-08 14-37-01;2025-07-08 14-37-22;2025-07-08 14-37-41;2025-07-08 14-38-00;2025-07-08 14-38-19;2025-07-08 14-38-39;2025-07-08 14-38-58;2025-07-08 14-39-17;2025-07-08 14-39-37;2025-07-08 14-39-58;2025-07-08 14-40-19;2025-07-08 14-40-38
0.010;0.007817;0.019455;0.032632;0.027599;0.030557;0.040388;0.027084;0.017254;0.032425;0.006344;0.020589;0.040762;0.044950;0.031840;0.030475;0.003268;0.019463;0.037992;0.027593;0.006231;0.031051;0.023789;0.008424;0.031385;0.010436;0.001463;0.032061;0.017125;0.032723;0.009805;0.038795;0.011131;0.004937;0.018752;0.027668;0.018993;0.016597;0.029044;0.019742;0.025815;0.018265;0.009109;0.016662;0.039990;0.024205;0.004338;0.000259;0.025982;0.006539;0.004134;0.025826;0.035432;0.011416;0.004479;0.032975;0.042724;0.041497
0.020;0.003274;0.011304;0.026765;0.031539;0.027726;0.029751;0.031427;0.025283;0.036140;0.000855;0.025271;0.037129;0.041320;0.037012;0.022680;0.004226;0.016851;0.045353;0.025975;0.012125;0.027101;0.022751;0.016700;0.033768;0.018049;0.000530;0.028089;0.025980;0.025139;0.000404;0.034256;0.004445;0.003191;0.024762;0.024194;0.015795;0.024637;0.033495;0.015253;0.030732;0.022552;0.011307;0.014550;0.029792;0.032804;0.006831;0.005327;0.030986;0.014511;0.013007;0.012781;0.039886;0.020793;0.008403;0.040680;0.040279;0.041198
0.030;0.009879;0.019983;0.031172;0.034691;0.031941;0.036681;0.028062;0.019007;0.037512;0.002204;0.018157;0.038483;0.038416;0.035770;0.028024;0.000339;0.014760;0.032863;0.029460;0.016840;0.032420;0.018081;0.008900;0.035674;0.024139;0.002124;0.032671;0.017724;0.033971;0.008477;0.036565;0.000904;0.007147;0.021389;0.021415;0.021236;0.017270;0.037056;0.018863;0.025425;0.025981;0.013566;0.012860;0.038974;0.021123;0.001744;0.003242;0.034929;0.006069;0.003026;0.024525;0.033129;0.006914;0.012762;0.035284;0.044564;0.045598
0.040;0.015163;0.026927;0.024758;0.030553;0.023053;0.027144;0.034969;0.013985;0.038610;0.002757;0.027726;0.035967;0.038553;0.039536;0.019799;0.002709;0.013748;0.039490;0.032248;0.010312;0.030936;0.014345;0.016880;0.026419;0.016271;0.003899;0.026677;0.026999;0.025297;0.015581;0.031812;0.009897;0.015418;0.018691;0.027392;0.016569;0.021816;0.026965;0.016610;0.021180;0.019145;0.016353;0.015288;0.046319;0.027398;0.006876;0.007593;0.038083;0.016815;0.004960;0.010520;0.034923;0.004189;0.016250;0.030967;0.047991;0.044839
0.050;0.005350;0.018181;0.019626;0.036962;0.029742;0.019516;0.029796;0.016988;0.035028;0.006725;0.035380;0.039333;0.038662;0.036029;0.025479;0.002533;0.012939;0.025792;0.026898;0.017109;0.035789;0.017096;0.011244;0.029855;0.020457;0.005319;0.021881;0.017759;0.032077;0.003545;0.028009;0.005417;0.022294;0.016533;0.022874;0.023575;0.025453;0.033292;0.014808;0.016704;0.021976;0.018582;0.014170;0.038075;0.019919;0.000680;0.005355;0.033086;0.002332;0.004692;0.000684;0.029698;0.010389;0.009640;0.038934;0.039853;0.047531
0.060;0.010560;0.028045;0.026441;0.032670;0.024334;0.015072;0.035256;0.013111;0.036202;0.012400;0.023004;0.036227;0.040450;0.033223;0.019904;0.002807;0.017431;0.014834;0.026999;0.009548;0.039671;0.015017;0.006735;0.023104;0.010086;0.000295;0.028065;0.025987;0.024882;0.009856;0.024847;0.016054;0.027795;0.014806;0.031179;0.019040;0.020602;0.026214;0.015447;0.013123;0.019901;0.015706;0.016156;0.039800;0.027115;0.004276;0.003564;0.038249;0.009254;0.002166;0.010993;0.025519;0.001089;0.011792;0.033587;0.043422;0.041385
0.070;0.002888;0.019136;0.021273;0.037736;0.020007;0.011518;0.039625;0.018789;0.031282;0.016940;0.032083;0.033741;0.038340;0.028158;0.015443;0.003025;0.014245;0.011027;0.025079;0.003498;0.037957;0.016413;0.014608;0.017704;0.017709;0.004756;0.022032;0.015970;0.029126;0.000475;0.022318;0.024563;0.015636;0.020085;0.025543;0.022012;0.024842;0.028851;0.013997;0.019359;0.018241;0.020265;0.014625;0.031900;0.018092;0.009221;0.004791;0.032179;0.002617;0.007967;0.000366;0.030555;0.011709;0.004314;0.037750;0.036618;0.040928
0.080;0.006711;0.012009;0.026598;0.032509;0.029186;0.020134;0.032540;0.016971;0.027345;0.011372;0.022447;0.036693;0.040312;0.024107;0.022914;0.004920;0.017196;0.007982;0.029283;0.003682;0.039586;0.013431;0.010346;0.021543;0.006467;0.001135;0.030206;0.007956;0.032520;0.008740;0.029574;0.029670;0.024109;0.019848;0.030815;0.024390;0.019333;0.026121;0.018218;0.015847;0.014713;0.016752;0.019700;0.036640;0.010874;0.013176;0.004373;0.027323;0.007187;0.003074;0.011987;0.024624;0.000027;0.001669;0.031720;0.039734;0.040562
0.090;0.001108;0.004727;0.019759;0.034427;0.022328;0.015747;0.037752;0.019797;0.028716;0.014398;0.030177;0.033194;0.041890;0.026065;0.017351;0.002356;0.019557;0.017005;0.024386;0.009425;0.036728;0.011044;0.016337;0.016014;0.002527;0.005848;0.022705;0.017305;0.024256;0.016892;0.025599;0.033756;0.011047;0.024919;0.035032;0.022252;0.024807;0.023937;0.017614;0.023418;0.011890;0.017301;0.023760;0.028172;0.019199;0.009201;0.003198;0.021619;0.003171;0.011619;0.002330;0.029899;0.013942;0.003965;0.037036;0.035687;0.037150
0.100;0.003373;0.001098;0.026367;0.035962;0.027623;0.023398;0.031842;0.022057;0.029813;0.007438;0.022122;0.036756;0.044632;0.024032;0.024501;0.004085;0.018445;0.011724;0.020469;0.004060;0.035923;0.015316;0.009650;0.018731;0.008059;0.006018;0.031904;0.012024;0.032665;0.023414;0.029520;0.023525;0.000598;0.028975;0.029125;0.026541;0.014045;0.027569;0.022751;0.018374;0.012812;0.012561;0.021928;0.034878;0.011639;0.009561;0.001099;0.017055;0.006804;0.018455;0.015364;0.023019;0.025073;0.005248;0.041289;0.032450;0.039420
0.110;0.001821;0.012801;0.031654;0.033169;0.023738;0.029518;0.037633;0.018926;0.034850;0.001871;0.015678;0.030684;0.046825;0.029126;0.016801;0.000932;0.017556;0.023359;0.029255;0.001368;0.032458;0.015972;0.014320;0.015345;0.000527;0.006155;0.039263;0.022939;0.022652;0.016051;0.032656;0.029500;0.007582;0.030200;0.031180;0.022133;0.005436;0.023635;0.026861;0.026719;0.009410;0.008769;0.025482;0.040242;0.022251;0.008369;0.000039;0.021444;0.002917;0.009584;0.025791;0.030575;0.032999;0.004041;0.034371;0.037260;0.039236
0.120;0.006043;0.006221;0.024543;0.037535;0.028451;0.036495;0.034747;0.021241;0.032160;0.003144;0.019122;0.037488;0.044240;0.033201;0.020701;0.002974;0.016845;0.032668;0.025404;0.007874;0.029687;0.019738;0.018056;0.020756;0.006342;0.000164;0.034390;0.013831;0.014642;0.022541;0.036925;0.020000;0.014125;0.031180;0.028544;0.023506;0.013329;0.025868;0.021369;0.033395;0.011248;0.012455;0.022206;0.030074;0.014701;0.007415;0.000809;0.020015;0.010694;0.018727;0.011893;0.036620;0.039339;0.005387;0.038237;0.034068;0.040969
