TimeStamp;2025-07-08 14-22-15;2025-07-08 14-22-36;2025-07-08 14-22-55;2025-07-08 14-23-14;2025-07-08 14-23-34;2025-07-08 14-23-55;2025-07-08 14-24-14;2025-07-08 14-24-34;2025-07-08 14-24-53;2025-07-08 14-25-12;2025-07-08 14-25-31;2025-07-08 14-25-50;2025-07-08 14-26-10;2025-07-08 14-26-29;2025-07-08 14-26-48;2025-07-08 14-27-08;2025-07-08 14-27-29;2025-07-08 14-27-49;2025-07-08 14-28-09;2025-07-08 14-28-31;2025-07-08 14-28-50;2025-07-08 14-29-10;2025-07-08 14-29-30;2025-07-08 14-29-50;2025-07-08 14-30-10;2025-07-08 14-30-29;2025-07-08 14-30-50;2025-07-08 14-31-09;2025-07-08 14-31-30;2025-07-08 14-31-51;2025-07-08 14-32-10;2025-07-08 14-32-30;2025-07-08 14-32-49;2025-07-08 14-33-09;2025-07-08 14-33-30;2025-07-08 14-33-49;2025-07-08 14-34-09;2025-07-08 14-34-28;2025-07-08 14-34-50;2025-07-08 14-35-10;2025-07-08 14-35-29;2025-07-08 14-35-50;2025-07-08 14-36-10;2025-07-08 14-36-29;2025-07-08 14-36-48;2025-07-08 14-37-08;2025-07-08 14-37-28;2025-07-08 14-37-48;2025-07-08 14-38-07;2025-07-08 14-38-26;2025-07-08 14-38-46;2025-07-08 14-39-05;2025-07-08 14-39-24;2025-07-08 14-39-44;2025-07-08 14-40-05;2025-07-08 14-40-25;2025-07-08 14-40-45
0.010;0.580000;0.560000;0.500000;0.520000;0.640000;0.540000;0.620000;0.600000;0.680000;0.600000;0.540000;0.560000;0.560000;0.600000;0.580000;0.620000;0.460000;0.520000;0.540000;0.540000;0.560000;0.500000;0.620000;0.620000;0.620000;0.540000;0.480000;0.540000;0.580000;0.400000;0.620000;0.520000;0.540000;0.500000;0.540000;0.560000;0.660000;0.500000;0.540000;0.540000;0.620000;0.620000;0.500000;0.500000;0.540000;0.560000;0.560000;0.580000;0.500000;0.540000;0.560000;0.540000;0.600000;0.640000;0.560000;0.600000;0.560000
0.020;0.520000;0.540000;0.500000;0.500000;0.580000;0.540000;0.620000;0.560000;0.660000;0.560000;0.540000;0.560000;0.560000;0.600000;0.580000;0.580000;0.560000;0.640000;0.560000;0.500000;0.620000;0.500000;0.600000;0.460000;0.540000;0.520000;0.560000;0.560000;0.560000;0.580000;0.660000;0.580000;0.520000;0.560000;0.540000;0.520000;0.660000;0.500000;0.560000;0.580000;0.620000;0.560000;0.500000;0.680000;0.660000;0.540000;0.620000;0.540000;0.560000;0.660000;0.620000;0.540000;0.560000;0.580000;0.560000;0.600000;0.520000
0.030;0.600000;0.500000;0.680000;0.480000;0.580000;0.580000;0.600000;0.560000;0.660000;0.600000;0.540000;0.580000;0.520000;0.640000;0.560000;0.580000;0.560000;0.700000;0.580000;0.540000;0.640000;0.560000;0.500000;0.620000;0.540000;0.520000;0.560000;0.640000;0.560000;0.640000;0.520000;0.560000;0.480000;0.580000;0.640000;0.600000;0.620000;0.580000;0.500000;0.560000;0.580000;0.600000;0.580000;0.620000;0.700000;0.620000;0.560000;0.600000;0.600000;0.640000;0.460000;0.540000;0.580000;0.600000;0.500000;0.460000;0.560000
0.040;0.680000;0.500000;0.680000;0.560000;0.580000;0.520000;0.520000;0.540000;0.560000;0.500000;0.540000;0.560000;0.540000;0.600000;0.620000;0.560000;0.580000;0.600000;0.520000;0.560000;0.640000;0.540000;0.520000;0.640000;0.560000;0.560000;0.600000;0.520000;0.520000;0.620000;0.500000;0.560000;0.540000;0.560000;0.580000;0.620000;0.600000;0.600000;0.520000;0.580000;0.580000;0.560000;0.480000;0.620000;0.540000;0.660000;0.520000;0.540000;0.540000;0.640000;0.580000;0.480000;0.560000;0.560000;0.460000;0.560000;0.580000
0.050;0.660000;0.540000;0.620000;0.580000;0.680000;0.600000;0.620000;0.580000;0.560000;0.500000;0.600000;0.540000;0.560000;0.600000;0.600000;0.620000;0.480000;0.600000;0.520000;0.580000;0.540000;0.640000;0.560000;0.600000;0.520000;0.600000;0.560000;0.520000;0.520000;0.540000;0.520000;0.560000;0.580000;0.580000;0.540000;0.500000;0.560000;0.540000;0.620000;0.580000;0.600000;0.500000;0.520000;0.520000;0.620000;0.520000;0.560000;0.520000;0.520000;0.560000;0.660000;0.600000;0.580000;0.560000;0.520000;0.560000;0.620000
0.060;0.600000;0.600000;0.540000;0.540000;0.440000;0.580000;0.640000;0.520000;0.600000;0.640000;0.520000;0.520000;0.640000;0.600000;0.560000;0.620000;0.480000;0.580000;0.660000;0.520000;0.480000;0.560000;0.560000;0.520000;0.520000;0.540000;0.640000;0.500000;0.480000;0.560000;0.540000;0.580000;0.560000;0.580000;0.580000;0.640000;0.560000;0.560000;0.560000;0.580000;0.600000;0.560000;0.660000;0.580000;0.560000;0.520000;0.560000;0.640000;0.580000;0.580000;0.640000;0.680000;0.600000;0.560000;0.580000;0.540000;0.500000
0.070;0.540000;0.600000;0.540000;0.600000;0.540000;0.620000;0.640000;0.540000;0.580000;0.620000;0.620000;0.640000;0.560000;0.540000;0.580000;0.620000;0.680000;0.620000;0.640000;0.600000;0.660000;0.640000;0.620000;0.600000;0.500000;0.480000;0.640000;0.560000;0.500000;0.580000;0.580000;0.580000;0.580000;0.520000;0.520000;0.640000;0.560000;0.560000;0.520000;0.580000;0.580000;0.500000;0.620000;0.620000;0.640000;0.500000;0.560000;0.640000;0.580000;0.620000;0.540000;0.660000;0.600000;0.640000;0.540000;0.600000;0.500000
0.080;0.640000;0.600000;0.540000;0.600000;0.580000;0.580000;0.520000;0.560000;0.560000;0.520000;0.620000;0.620000;0.540000;0.600000;0.640000;0.600000;0.640000;0.620000;0.560000;0.540000;0.620000;0.660000;0.440000;0.600000;0.580000;0.540000;0.520000;0.540000;0.600000;0.620000;0.560000;0.560000;0.580000;0.580000;0.600000;0.520000;0.640000;0.540000;0.560000;0.580000;0.560000;0.500000;0.540000;0.580000;0.640000;0.500000;0.580000;0.540000;0.560000;0.680000;0.600000;0.660000;0.540000;0.540000;0.540000;0.580000;0.660000
0.090;0.640000;0.520000;0.540000;0.560000;0.580000;0.520000;0.580000;0.540000;0.580000;0.620000;0.600000;0.580000;0.620000;0.620000;0.600000;0.480000;0.540000;0.640000;0.540000;0.580000;0.520000;0.660000;0.500000;0.540000;0.640000;0.560000;0.560000;0.560000;0.600000;0.620000;0.540000;0.580000;0.540000;0.680000;0.600000;0.520000;0.580000;0.600000;0.580000;0.580000;0.600000;0.560000;0.600000;0.540000;0.660000;0.500000;0.540000;0.520000;0.560000;0.620000;0.640000;0.500000;0.540000;0.580000;0.540000;0.600000;0.620000
0.100;0.620000;0.580000;0.520000;0.560000;0.500000;0.520000;0.560000;0.560000;0.620000;0.620000;0.620000;0.580000;0.620000;0.540000;0.560000;0.600000;0.620000;0.560000;0.580000;0.620000;0.560000;0.620000;0.560000;0.520000;0.540000;0.640000;0.640000;0.560000;0.520000;0.620000;0.540000;0.560000;0.540000;0.620000;0.620000;0.520000;0.600000;0.600000;0.620000;0.580000;0.620000;0.560000;0.600000;0.600000;0.560000;0.600000;0.520000;0.540000;0.600000;0.520000;0.640000;0.620000;0.520000;0.580000;0.560000;0.500000;0.520000
