TimeStamp;2025-07-07 10-59-35;2025-07-07 10-59-54;2025-07-07 11-00-12;2025-07-07 11-00-30;2025-07-07 11-00-48;2025-07-07 11-01-06;2025-07-07 11-01-24;2025-07-07 11-01-43;2025-07-07 11-02-01;2025-07-07 11-02-19;2025-07-07 11-02-37;2025-07-07 11-02-55;2025-07-07 11-03-14;2025-07-07 11-03-32;2025-07-07 11-03-50;2025-07-07 11-04-09;2025-07-07 11-04-27;2025-07-07 11-04-45;2025-07-07 11-05-04;2025-07-07 11-05-22;2025-07-07 11-05-40;2025-07-07 11-05-58;2025-07-07 11-06-16;2025-07-07 11-06-35;2025-07-07 11-06-53;2025-07-07 11-07-11;2025-07-07 11-07-30;2025-07-07 11-07-49;2025-07-07 11-08-09;2025-07-07 11-08-29;2025-07-07 11-08-47;2025-07-07 11-07-30;2025-07-07 11-07-49;2025-07-07 11-08-09;2025-07-07 11-08-29;2025-07-07 11-08-47;2025-07-07 11-09-06;2025-07-07 11-09-24;2025-07-07 11-09-42;2025-07-07 11-10-00;2025-07-07 11-10-20;2025-07-07 11-10-39;2025-07-07 11-09-06;2025-07-07 11-09-24;2025-07-07 11-09-42;2025-07-07 11-10-00;2025-07-07 11-10-20;2025-07-07 11-10-39;2025-07-07 11-10-57;2025-07-07 11-10-57;2025-07-07 11-11-15;2025-07-07 11-11-33;2025-07-07 11-11-52;2025-07-07 11-12-10;2025-07-07 11-12-28;2025-07-07 11-12-46;2025-07-07 11-13-04;2025-07-07 11-13-22;2025-07-07 11-13-40;2025-07-07 11-16-30;2025-07-07 11-16-48;2025-07-07 11-17-06;2025-07-07 11-17-25;2025-07-07 11-17-42;2025-07-07 11-18-00;2025-07-07 11-18-19;2025-07-07 11-18-37;2025-07-07 11-18-55;2025-07-07 11-19-14;2025-07-07 11-19-32;2025-07-07 11-19-50;2025-07-07 11-20-08;2025-07-07 11-20-28;2025-07-07 11-20-46;2025-07-07 11-21-05;2025-07-07 11-21-23;2025-07-07 11-21-42;2025-07-07 11-22-00;2025-07-07 11-22-18;2025-07-07 11-22-37;2025-07-07 11-22-55;2025-07-07 11-23-13;2025-07-07 11-23-31;2025-07-07 11-23-50;2025-07-07 11-24-08;2025-07-07 11-24-26;2025-07-07 11-24-45;2025-07-07 11-25-03;2025-07-07 11-25-21;2025-07-07 11-25-39;2025-07-07 11-25-57;2025-07-07 11-26-16;2025-07-07 11-26-34;2025-07-07 11-26-52;2025-07-07 11-27-10;2025-07-07 11-27-28;2025-07-07 11-27-46;2025-07-07 11-28-04;2025-07-07 11-28-23;2025-07-07 11-28-41;2025-07-07 11-29-00;2025-07-07 11-29-18;2025-07-07 11-29-35;2025-07-07 11-29-53;2025-07-07 11-30-12;2025-07-07 11-30-30;2025-07-07 11-30-48;2025-07-07 11-31-07;2025-07-07 11-31-25;2025-07-07 11-31-43;2025-07-07 11-32-01;2025-07-07 11-32-20;2025-07-07 11-32-38;2025-07-07 11-32-56;2025-07-07 11-33-16;2025-07-07 11-33-37;2025-07-07 11-33-55;2025-07-07 11-34-13;2025-07-07 11-34-31;2025-07-07 11-34-49;2025-07-07 11-35-08;2025-07-07 11-35-26;2025-07-07 11-35-44;2025-07-07 11-38-13;2025-07-07 11-38-31;2025-07-07 11-38-50;2025-07-07 11-39-08;2025-07-07 11-39-26;2025-07-07 11-39-44;2025-07-07 11-40-02;2025-07-07 11-40-21;2025-07-07 11-40-39;2025-07-07 11-40-58;2025-07-07 11-41-16;2025-07-07 11-41-34;2025-07-07 11-41-52;2025-07-07 11-42-10;2025-07-07 11-42-28;2025-07-07 11-42-46;2025-07-07 11-43-05;2025-07-07 11-43-23;2025-07-07 11-43-42;2025-07-07 11-44-00;2025-07-07 11-44-18;2025-07-07 11-44-37;2025-07-07 11-44-55;2025-07-07 11-45-13;2025-07-07 11-45-32;2025-07-07 11-45-50;2025-07-07 11-46-08;2025-07-07 11-46-27;2025-07-07 11-46-45;2025-07-07 11-47-03;2025-07-07 11-47-21;2025-07-07 11-47-39;2025-07-07 11-47-58;2025-07-07 11-48-17;2025-07-07 11-48-35;2025-07-07 11-48-53;2025-07-07 11-49-11;2025-07-07 11-49-29;2025-07-07 11-49-47;2025-07-07 11-50-06;2025-07-07 11-50-24;2025-07-07 11-50-43;2025-07-07 11-51-01;2025-07-07 11-51-19;2025-07-07 11-51-38;2025-07-07 11-51-56;2025-07-07 11-52-14;2025-07-07 11-52-32;2025-07-07 11-52-51;2025-07-07 11-53-10;2025-07-07 11-53-28;2025-07-07 11-53-46;2025-07-07 11-54-04;2025-07-07 11-54-22;2025-07-07 11-54-40;2025-07-07 11-54-58;2025-07-07 11-55-17;2025-07-07 11-55-35;2025-07-07 11-55-53;2025-07-07 11-56-11;2025-07-07 11-56-29;2025-07-07 11-56-48;2025-07-07 11-57-06;2025-07-07 11-57-24
0.010;0.097100;0.105100;0.046700;0.111800;0.141700;0.114200;0.156700;0.113600;0.016400;0.068700;0.013700;0.102000;0.055300;0.122200;0.090100;0.066000;0.116000;0.001500;0.078500;0.123700;0.015800;0.064700;0.118800;0.117300;0.007300;0.116700;1.280000;1.340000;1.340000;1.180000;1.220000;0.097100;0.158500;0.057100;0.104100;0.021300;1.200000;1.180000;1.300000;1.380000;1.260000;1.180000;0.058000;0.003000;0.055000;0.025300;0.170500;0.039700;1.160000;0.022300;0.000600;0.043900;0.064400;0.037900;0.017100;0.041500;0.097800;0.168900;0.139900;0.015500;0.059800;0.010300;0.046100;0.111200;0.051000;0.070200;0.037200;0.062000;0.078200;0.106900;0.072100;0.026200;0.021000;0.052500;0.129200;0.018300;0.162500;0.057400;0.069000;0.025900;0.025600;0.031700;0.066300;0.151500;0.041800;0.049100;0.027500;0.167700;0.082800;0.033600;0.082800;0.043300;0.028100;0.120600;0.045800;0.092500;0.007600;0.057100;0.007000;0.061700;0.122500;0.157300;0.058600;0.119700;0.001800;0.087000;0.050100;0.078800;0.006400;0.030800;0.065100;0.043000;0.080600;0.128300;0.019500;0.117900;0.196100;0.009700;0.075400;0.103800;0.077300;0.043000;0.099600;0.084900;0.010300;0.125600;0.057100;0.171100;0.102900;0.002400;0.040900;0.066600;0.075100;0.051000;0.158600;0.037800;0.108700;0.085800;0.085800;0.085200;0.003000;0.061100;0.025000;0.158600;0.047000;0.081200;0.118200;0.115800;0.095300;0.047300;0.121900;0.072400;0.117000;0.124600;0.047600;0.094700;0.045500;0.120300;0.166200;0.045800;0.027500;0.091300;0.009400;0.046100;0.050700;0.036300;0.086700;0.083100;0.111500;0.036600;0.012800;0.094100;0.010400;0.041800;0.033300;0.025000;0.060200;0.074500;0.139000;0.036300;0.071700;0.011300;0.093200;0.050700;0.042400;0.095900;0.029300
0.020;0.097700;0.108400;0.045500;0.103800;0.141700;0.126100;0.158600;0.104800;0.016400;0.068700;0.011600;0.102000;0.055300;0.133500;0.083100;0.085200;0.118200;0.020700;0.064100;0.108100;0.001200;0.064700;0.120700;0.140200;0.001800;0.108700;1.300000;1.280000;1.300000;1.520000;1.260000;0.084000;0.150000;0.057100;0.113300;0.012200;1.320000;1.460000;1.200000;1.240000;1.380000;1.140000;0.079100;0.000300;0.060800;0.015900;0.177800;0.026500;1.220000;0.020700;0.007000;0.043900;0.084900;0.037900;0.009100;0.044000;0.097800;0.164300;0.123400;0.015500;0.059800;0.009700;0.046100;0.105400;0.051600;0.064400;0.036900;0.085800;0.078200;0.081800;0.069000;0.025300;0.025300;0.052500;0.129200;0.007300;0.162500;0.051000;0.069000;0.025900;0.029000;0.031700;0.055000;0.167700;0.041800;0.071800;0.035700;0.167700;0.098400;0.028400;0.095900;0.040600;0.034500;0.120600;0.054000;0.092500;0.003300;0.064700;0.007000;0.061700;0.106300;0.159200;0.058600;0.105100;0.000600;0.085500;0.055300;0.078800;0.006400;0.024400;0.065100;0.036600;0.091300;0.107200;0.023500;0.117900;0.177500;0.028700;0.064400;0.112700;0.075100;0.038100;0.099600;0.084900;0.002100;0.110600;0.058300;0.177500;0.106300;0.002400;0.040900;0.066600;0.072700;0.044900;0.158600;0.044300;0.106300;0.085800;0.071800;0.095900;0.003000;0.070200;0.025300;0.162200;0.044300;0.081200;0.118200;0.114500;0.095300;0.057400;0.119400;0.072400;0.114600;0.124600;0.043000;0.082200;0.043400;0.120300;0.175600;0.028700;0.027500;0.091000;0.009400;0.054000;0.050700;0.036900;0.094100;0.083100;0.121900;0.035400;0.022300;0.084300;0.017700;0.025600;0.043700;0.012200;0.060200;0.070200;0.120000;0.031400;0.066000;0.007000;0.093200;0.045500;0.037500;0.095900;0.031700
0.030;0.095000;0.108400;0.045500;0.103800;0.140200;0.126100;0.158600;0.098600;0.024400;0.056200;0.013700;0.097700;0.039100;0.131700;0.088900;0.085200;0.123700;0.020700;0.073300;0.114200;0.006100;0.072700;0.114200;0.120000;0.001200;0.000215;1.300000;1.020000;1.260000;1.320000;1.260000;0.084000;0.161300;0.061100;0.098000;0.012200;1.480000;0.920000;1.120000;1.400000;1.400000;1.180000;0.064100;0.006700;0.057100;0.032600;0.161000;0.026500;1.180000;0.009400;0.007000;0.047000;0.074500;0.047600;0.009100;0.040900;0.102300;0.169800;0.127100;0.010600;0.052800;0.018000;0.051900;0.105400;0.052800;0.064400;0.036900;0.066900;0.073600;0.089200;0.059500;0.018000;0.024100;0.063200;0.119700;0.007300;0.157000;0.042400;0.057100;0.019500;0.030200;0.040000;0.050700;0.162200;0.026800;0.068400;0.037800;0.152400;0.085500;0.022300;0.100800;0.051900;0.034500;0.109900;0.047900;0.084600;0.003300;0.064700;0.018000;0.070900;0.122200;0.161900;0.070900;0.109700;0.010400;0.085500;0.057100;0.079700;0.000200;0.026200;0.070900;0.036000;0.089500;0.114800;0.031400;0.115100;0.182700;0.011300;0.064400;0.110300;0.071100;0.054700;0.092800;0.078500;0.009100;0.141700;0.058300;0.177500;0.106300;0.001200;0.051900;0.078800;0.060200;0.062600;0.162200;0.028300;0.106300;0.085500;0.090100;0.095900;0.012500;0.073600;0.023500;0.162200;0.064700;0.069600;0.106600;0.108700;0.087700;0.055300;0.115800;0.069600;0.107800;0.113000;0.043000;0.089500;0.047600;0.124000;0.165600;0.043900;0.017100;0.091000;0.018300;0.043000;0.058300;0.024700;0.094100;0.094100;0.113900;0.029600;0.011900;0.084000;0.012800;0.029300;0.036900;0.025000;0.056500;0.059900;0.122800;0.029900;0.073600;0.014000;0.106000;0.053400;0.037500;0.101100;0.026800
0.040;0.095000;0.112700;0.038500;0.107500;0.142300;0.112400;0.164600;0.103800;0.022900;0.056200;0.018600;0.108700;0.039100;0.130100;0.085500;0.064100;0.115700;0.012500;0.074800;0.111200;0.005800;0.072700;0.119700;0.127700;0.003000;1.240000;1.240000;1.440000;1.480000;1.220000;1.320000;0.089500;0.161300;0.061100;0.098000;0.012200;1.200000;1.240000;1.160000;1.400000;1.180000;1.180000;0.067200;0.011000;0.061100;0.032600;0.161600;0.039100;0.940000;0.009400;0.016200;0.047000;0.076400;0.047600;0.018600;0.043700;0.102300;0.169800;0.133800;0.014900;0.054000;0.008200;0.051900;0.114500;0.052800;0.075100;0.037500;0.080600;0.077600;0.093200;0.066600;0.018900;0.027800;0.063200;0.131400;0.008800;0.157000;0.042400;0.064700;0.031400;0.030200;0.040000;0.050700;0.162500;0.026800;0.073300;0.036300;0.152400;0.085500;0.021700;0.092800;0.048800;0.029600;0.109900;0.045800;0.098600;0.022300;0.057700;0.012500;0.070900;0.103200;0.165300;0.070900;0.109700;0.003300;0.082800;0.054900;0.079700;0.021300;0.024700;0.070900;0.036000;0.089500;0.119100;0.021700;0.105100;0.182700;0.011200;0.068100;0.115500;0.071100;0.054700;0.092800;0.078500;0.005800;0.118500;0.055000;0.176600;0.110000;0.012800;0.043000;0.066300;0.060200;0.056200;0.162200;0.028400;0.095900;0.085500;0.090100;0.074200;0.012500;0.078200;0.023800;0.155800;0.064700;0.064400;0.114500;0.122500;0.066300;0.033300;0.124000;0.069600;0.110300;0.118800;0.046400;0.089500;0.047600;0.124000;0.175400;0.043900;0.017100;0.086400;0.006400;0.045500;0.058300;0.034500;0.094100;0.094100;0.113900;0.033900;0.011900;0.084600;0.014000;0.043000;0.037500;0.017400;0.056500;0.066000;0.124000;0.029900;0.073600;0.014000;0.085800;0.032000;0.031700;0.088900;0.026800
0.050;0.106300;0.110800;0.040000;0.108400;0.152700;0.117000;0.164600;0.103800;0.023500;0.068400;0.016100;0.091600;0.057700;0.130100;0.085500;0.068100;0.122200;0.012500;0.074800;0.125200;0.005800;0.064100;0.124900;0.127700;0.003000;1.020000;1.200000;1.260000;1.480000;1.420000;1.260000;0.096200;0.156400;0.060200;0.109000;0.012200;1.100000;1.120000;1.220000;1.200000;1.180000;1.300000;0.075700;0.011000;0.061100;0.025000;0.164600;0.039100;1.100000;0.030200;0.008800;0.031400;0.078500;0.043700;0.008500;0.034800;0.093800;0.170200;0.126100;0.015500;0.057700;0.013700;0.054900;0.107500;0.042400;0.063800;0.040900;0.077300;0.076600;0.085200;0.066600;0.018900;0.027800;0.060800;0.123100;0.008800;0.160400;0.042100;0.075400;0.024400;0.034500;0.036300;0.056500;0.162500;0.029300;0.073300;0.036300;0.158200;0.096500;0.021700;0.092800;0.053700;0.034200;0.124300;0.049100;0.092200;0.022300;0.065300;0.023200;0.057400;0.103200;0.165300;0.085200;0.116700;0.003300;0.084300;0.059500;0.080600;0.014900;0.036600;0.063800;0.043100;0.082800;0.102300;0.021700;0.107800;0.184800;0.003900;0.072400;0.107200;0.082500;0.060500;0.088000;0.084300;0.005800;0.118500;0.055000;0.184800;0.110000;0.014000;0.051000;0.084000;0.062600;0.056200;0.144800;0.027500;0.099600;0.083100;0.078500;0.097700;0.006700;0.066300;0.023800;0.155800;0.052800;0.067800;0.122200;0.111200;0.083400;0.037500;0.123400;0.068700;0.110300;0.120600;0.046400;0.092500;0.051600;0.113300;0.163100;0.036600;0.031100;0.094400;0.004500;0.057100;0.060800;0.034500;0.080600;0.086700;0.109900;0.020400;0.009700;0.075100;0.014000;0.029900;0.044000;0.017400;0.058300;0.054700;0.124000;0.029900;0.088600;0.009100;0.107500;0.045800;0.036300;0.095900;0.036300
0.060;0.106300;0.108100;0.043600;0.106300;0.134100;0.116100;0.159200;0.096200;0.023500;0.057400;0.016700;0.091600;0.046700;0.121900;0.084900;0.070500;0.122200;0.008200;0.057400;0.125200;0.008200;0.074800;0.124900;0.117900;0.010600;1.000000;1.180000;1.260000;1.280000;1.220000;1.140000;0.086100;0.156400;0.042100;0.109000;0.013700;1.300000;1.080000;1.300000;1.120000;1.480000;1.000000;0.075700;0.017700;0.051600;0.037200;0.163400;0.040000;1.280000;0.016400;0.005500;0.040300;0.072400;0.055300;0.009700;0.046400;0.099900;0.170200;0.125800;0.018900;0.059800;0.003900;0.065600;0.113000;0.054300;0.071500;0.028700;0.070600;0.086400;0.096500;0.056500;0.006700;0.022900;0.067500;0.127100;0.013700;0.156100;0.040300;0.075400;0.027800;0.019800;0.040600;0.054000;0.162200;0.037500;0.061100;0.030200;0.154000;0.085500;0.025300;0.091600;0.055200;0.026600;0.140200;0.049100;0.088900;0.006400;0.049200;0.020400;0.057100;0.110300;0.160700;0.074800;0.112700;0.001800;0.105400;0.052500;0.076600;0.014900;0.036600;0.071100;0.043100;0.086400;0.102300;0.028400;0.107800;0.197300;0.020100;0.067800;0.117300;0.078500;0.060500;0.085800;0.085500;0.007300;0.129200;0.045200;0.184200;0.105400;0.008500;0.049500;0.084000;0.078800;0.035700;0.154000;0.026900;0.100500;0.075100;0.078500;0.087400;0.011300;0.066800;0.016800;0.150900;0.045200;0.065900;0.122200;0.102000;0.083400;0.038200;0.115700;0.079100;0.102900;0.117000;0.053400;0.077000;0.051600;0.112700;0.163100;0.036600;0.035700;0.073000;0.010000;0.041200;0.061700;0.035400;0.099300;0.088000;0.120000;0.023800;0.009700;0.075100;0.008800;0.029900;0.024400;0.011600;0.059800;0.075100;0.121900;0.029900;0.068100;0.009100;0.107500;0.045800;0.024700;0.081500;0.040300
0.070;0.099200;0.109600;0.043600;0.115200;0.152400;0.116100;0.165300;0.116100;0.018900;0.065400;0.016700;0.098600;0.044000;0.128900;0.086100;0.063200;0.120900;0.007300;0.057400;0.112100;0.008200;0.066600;0.114500;0.117900;0.007900;1.000000;1.120000;1.300000;1.420000;1.380000;1.080000;0.086100;0.159500;0.060500;0.108700;0.004800;1.140000;1.260000;1.300000;1.380000;1.260000;1.260000;0.063500;0.017700;0.060400;0.033600;0.163400;0.036000;1.280000;0.019500;0.007900;0.038800;0.072400;0.043300;0.009700;0.046400;0.093200;0.178100;0.125800;0.005500;0.061100;0.003900;0.056200;0.113000;0.043600;0.075100;0.028700;0.070600;0.076000;0.096500;0.056500;0.006700;0.022900;0.057700;0.120100;0.013700;0.163700;0.043300;0.066600;0.040000;0.027800;0.034200;0.065000;0.148800;0.028700;0.073900;0.030200;0.160700;0.087900;0.027100;0.091600;0.055200;0.019800;0.120000;0.030200;0.086700;0.017400;0.049200;0.005400;0.051900;0.118200;0.160700;0.080600;0.113900;0.007300;0.105400;0.052500;0.072700;0.019200;0.020700;0.056500;0.040900;0.078500;0.109000;0.017400;0.098300;0.179900;0.020100;0.067800;0.117300;0.077200;0.043900;0.089800;0.079400;0.013400;0.129200;0.071500;0.173200;0.108400;0.008500;0.029900;0.084000;0.069300;0.051000;0.152400;0.026900;0.095000;0.081200;0.091000;0.094000;0.002400;0.066800;0.016800;0.156400;0.060100;0.071500;0.124900;0.102000;0.081200;0.038200;0.115700;0.068100;0.102900;0.111200;0.053400;0.090100;0.046100;0.127700;0.160100;0.040000;0.023500;0.088900;0.027200;0.041200;0.064100;0.035400;0.093100;0.078200;0.113600;0.023800;0.008500;0.079700;0.008800;0.034800;0.024400;0.011600;0.047600;0.075100;0.121900;0.035400;0.072100;0.004800;0.114800;0.044600;0.031800;0.098900;0.038800
0.080;0.102900;0.108700;0.037900;0.105700;0.152400;0.111800;0.153900;0.097400;0.018900;0.061100;0.031700;0.098600;0.044000;0.131900;0.091900;0.066000;0.122200;0.014300;0.077900;0.121300;0.007900;0.066600;0.120000;0.128600;0.006100;1.000000;1.200000;1.240000;1.420000;1.340000;0.960000;0.089800;0.149700;0.060500;0.122500;0.003300;1.380000;1.240000;1.140000;1.280000;1.320000;1.100000;0.086400;0.015200;0.077300;0.030800;0.163400;0.044000;1.020000;0.016200;0.015200;0.038800;0.075800;0.043300;0.001500;0.040600;0.093200;0.165900;0.128600;0.005500;0.061100;0.005800;0.056200;0.118500;0.047900;0.074200;0.037600;0.077300;0.076000;0.083700;0.065000;0.032000;0.025900;0.057700;0.120100;0.005200;0.144500;0.034200;0.066600;0.040000;0.035100;0.034200;0.055300;0.154000;0.028700;0.067800;0.039400;0.160700;0.108400;0.027500;0.091900;0.047600;0.025600;0.120000;0.048200;0.086700;0.005500;0.052800;0.005400;0.051900;0.111200;0.160100;0.080600;0.121900;0.008200;0.093800;0.064700;0.072700;0.019200;0.019200;0.056500;0.044600;0.090400;0.109000;0.012200;0.098300;0.181200;0.023800;0.073900;0.116100;0.076700;0.041800;0.089800;0.071500;0.001800;0.124900;0.063500;0.179900;0.095300;0.005200;0.029900;0.084000;0.074800;0.042100;0.152400;0.045800;0.084900;0.081200;0.084300;0.094000;0.002400;0.076300;0.002400;0.160100;0.046400;0.071500;0.124900;0.118800;0.081200;0.036300;0.132200;0.068100;0.105400;0.111200;0.058300;0.078200;0.044300;0.127700;0.171000;0.030200;0.023500;0.085800;0.027200;0.047900;0.064100;0.025600;0.083400;0.078200;0.115100;0.013100;0.007000;0.072400;0.023500;0.037300;0.035400;0.016100;0.047600;0.064700;0.139600;0.040600;0.081900;0.000600;0.114800;0.050400;0.019800;0.098900;0.033000
0.090;0.095900;0.108700;0.037900;0.105700;0.146000;0.111800;0.166500;0.105700;0.029900;0.073600;0.018300;0.093800;0.041800;0.118500;0.091900;0.066000;0.127700;0.014300;0.076300;0.126800;0.007600;0.064400;0.106900;0.128600;0.004200;0.980000;1.280000;1.180000;1.400000;1.420000;1.220000;0.089800;0.156100;0.051600;0.113600;0.003300;1.340000;1.160000;1.120000;1.180000;1.260000;1.200000;0.066900;0.013400;0.066300;0.050700;0.158800;0.044000;1.320000;0.021700;0.015200;0.048500;0.071800;0.043300;0.001500;0.043000;0.095900;0.175300;0.124300;0.007600;0.043600;0.007600;0.061100;0.118500;0.051000;0.074200;0.037600;0.076000;0.080600;0.079100;0.051600;0.009400;0.023200;0.063500;0.125300;0.011300;0.144500;0.034200;0.069600;0.024700;0.025900;0.053400;0.063500;0.152700;0.028400;0.073000;0.032700;0.156400;0.088600;0.033900;0.076000;0.063800;0.025600;0.116700;0.036900;0.094100;0.005500;0.052800;0.009700;0.076400;0.119100;0.158800;0.071200;0.115800;0.003900;0.093800;0.060400;0.075400;0.003000;0.025000;0.072700;0.037200;0.095600;0.114500;0.023800;0.096500;0.193100;0.009100;0.073900;0.108700;0.081500;0.050400;0.089800;0.082100;0.016100;0.134700;0.063500;0.179900;0.095300;0.013100;0.058900;0.076000;0.051000;0.059800;0.150000;0.025900;0.078800;0.080000;0.078500;0.102000;0.005800;0.075400;0.002400;0.160100;0.046400;0.072100;0.116700;0.091900;0.099600;0.039100;0.132500;0.076900;0.102600;0.114800;0.058300;0.087000;0.062900;0.122500;0.157000;0.033000;0.026500;0.085800;0.022000;0.034200;0.070900;0.013400;0.083400;0.084900;0.115800;0.013100;0.015900;0.069900;0.022000;0.036000;0.028400;0.020700;0.053400;0.061100;0.133200;0.034200;0.072700;0.008200;0.113600;0.042400;0.019800;0.100800;0.026200
0.100;0.095900;0.117000;0.033600;0.104800;0.147500;0.120600;0.144500;0.106900;0.026200;0.073600;0.030500;0.097700;0.048500;0.126700;0.096800;0.064400;0.116100;0.003300;0.074500;0.114500;0.008500;0.064400;0.132300;0.129500;0.014600;1.040000;0.980000;1.220000;1.340000;1.440000;1.060000;0.070500;0.156100;0.051600;0.113600;0.000300;1.260000;1.160000;1.300000;1.160000;1.320000;1.200000;0.066900;0.016500;0.065000;0.050700;0.157600;0.051600;1.140000;0.021700;0.014900;0.048500;0.078800;0.043300;0.007300;0.043100;0.095900;0.175300;0.123700;0.010300;0.061100;0.007300;0.061100;0.120600;0.051000;0.072100;0.024100;0.077600;0.073900;0.091000;0.046400;0.020100;0.026200;0.063500;0.130400;0.003900;0.156400;0.028100;0.062000;0.043000;0.025900;0.053400;0.063500;0.152400;0.028400;0.073000;0.031400;0.156400;0.099300;0.030200;0.096500;0.044600;0.013700;0.116700;0.046400;0.103900;0.009100;0.043000;0.004800;0.076400;0.112100;0.169800;0.071200;0.115800;0.003300;0.089500;0.062300;0.075400;0.017700;0.023500;0.072700;0.037200;0.095600;0.116100;0.022300;0.097700;0.193100;0.014600;0.079700;0.112100;0.081500;0.050400;0.089800;0.082100;0.011900;0.129200;0.063200;0.180500;0.123100;0.013400;0.044600;0.074200;0.051000;0.055000;0.150000;0.030800;0.078800;0.080000;0.078500;0.088300;0.005800;0.081500;0.013100;0.171400;0.046400;0.078800;0.101100;0.106300;0.084900;0.027800;0.127100;0.076900;0.107800;0.116400;0.044600;0.080000;0.062900;0.122500;0.165300;0.033000;0.026500;0.086700;0.016800;0.044600;0.070900;0.033800;0.081800;0.084900;0.115800;0.027800;0.015900;0.085200;0.021700;0.042400;0.034800;0.013700;0.053400;0.080000;0.130100;0.034200;0.072700;0.008200;0.102600;0.055000;0.024100;0.093800;0.031400
