TimeStamp;2025-07-07 10-55-27;2025-07-07 10-55-45;2025-07-07 10-56-03;2025-07-07 10-56-21;2025-07-07 10-56-40;2025-07-07 10-56-58;2025-07-07 10-57-16;2025-07-07 10-57-35;2025-07-07 10-57-53;2025-07-07 10-58-11;2025-07-07 10-58-29;2025-07-07 10-58-47;2025-07-07 10-59-05;2025-07-07 10-59-24;2025-07-07 10-59-42;2025-07-07 11-00-00;2025-07-07 11-00-18;2025-07-07 11-00-36;2025-07-07 11-00-54;2025-07-07 11-01-12;2025-07-07 11-01-30;2025-07-07 11-01-49;2025-07-07 11-02-07;2025-07-07 11-02-26;2025-07-07 11-02-44;2025-07-07 11-03-02;2025-07-07 11-03-20;2025-07-07 11-03-38;2025-07-07 11-03-57;2025-07-07 11-04-15;2025-07-07 11-04-34;2025-07-07 11-04-52;2025-07-07 11-05-10;2025-07-07 11-05-28;2025-07-07 11-05-46;2025-07-07 11-06-04;2025-07-07 11-06-23;2025-07-07 11-06-41;2025-07-07 11-06-59;2025-07-07 11-07-18;2025-07-07 11-07-36;2025-07-07 11-07-56;2025-07-07 11-08-15;2025-07-07 11-08-35;2025-07-07 11-08-53;2025-07-07 11-09-12;2025-07-07 11-09-30;2025-07-07 11-09-48;2025-07-07 11-10-06;2025-07-07 11-10-27;2025-07-07 11-10-45;2025-07-07 11-11-03;2025-07-07 11-11-21;2025-07-07 11-11-40;2025-07-07 11-11-58;2025-07-07 11-12-16;2025-07-07 11-12-34;2025-07-07 11-12-52;2025-07-07 11-13-10;2025-07-07 11-13-29;2025-07-07 11-13-47;2025-07-07 11-16-36;2025-07-07 11-16-55;2025-07-07 11-17-13;2025-07-07 11-17-31;2025-07-07 11-17-49;2025-07-07 11-18-07;2025-07-07 11-18-25;2025-07-07 11-18-43;2025-07-07 11-19-02;2025-07-07 11-19-20;2025-07-07 11-19-38;2025-07-07 11-19-56;2025-07-07 11-20-14;2025-07-07 11-20-34;2025-07-07 11-20-53;2025-07-07 11-21-11;2025-07-07 11-21-29;2025-07-07 11-21-48;2025-07-07 11-22-06;2025-07-07 11-22-25;2025-07-07 11-22-43;2025-07-07 11-23-01;2025-07-07 11-23-19;2025-07-07 11-23-37;2025-07-07 11-23-56;2025-07-07 11-24-14;2025-07-07 11-24-33;2025-07-07 11-24-51;2025-07-07 11-25-09;2025-07-07 11-25-27;2025-07-07 11-25-45;2025-07-07 11-26-03;2025-07-07 11-26-22;2025-07-07 11-26-40;2025-07-07 11-26-58;2025-07-07 11-27-16;2025-07-07 11-27-34;2025-07-07 11-27-53;2025-07-07 11-28-11;2025-07-07 11-28-29;2025-07-07 11-28-48;2025-07-07 11-29-06;2025-07-07 11-29-24;2025-07-07 11-29-42;2025-07-07 11-30-00;2025-07-07 11-30-18;2025-07-07 11-30-36;2025-07-07 11-30-54;2025-07-07 11-31-13;2025-07-07 11-31-31;2025-07-07 11-31-49;2025-07-07 11-32-08;2025-07-07 11-32-26;2025-07-07 11-32-44;2025-07-07 11-33-02;2025-07-07 11-33-22;2025-07-07 11-33-43;2025-07-07 11-34-01;2025-07-07 11-34-19;2025-07-07 11-34-37;2025-07-07 11-34-56;2025-07-07 11-35-14;2025-07-07 11-35-32;2025-07-07 11-35-50;2025-07-07 11-38-19;2025-07-07 11-38-38;2025-07-07 11-38-56;2025-07-07 11-39-14;2025-07-07 11-39-32;2025-07-07 11-39-50;2025-07-07 11-40-09;2025-07-07 11-40-27;2025-07-07 11-40-46;2025-07-07 11-41-04;2025-07-07 11-41-22;2025-07-07 11-41-40;2025-07-07 11-41-58;2025-07-07 11-42-16;2025-07-07 11-42-34;2025-07-07 11-42-52;2025-07-07 11-43-11;2025-07-07 11-43-30;2025-07-07 11-43-48;2025-07-07 11-44-06;2025-07-07 11-44-25;2025-07-07 11-44-43;2025-07-07 11-45-01;2025-07-07 11-45-19;2025-07-07 11-45-38;2025-07-07 11-45-56;2025-07-07 11-46-15;2025-07-07 11-46-33;2025-07-07 11-46-51;2025-07-07 11-47-09;2025-07-07 11-47-28;2025-07-07 11-47-46;2025-07-07 11-48-04;2025-07-07 11-48-23;2025-07-07 11-48-41;2025-07-07 11-48-59;2025-07-07 11-49-17;2025-07-07 11-49-35;2025-07-07 11-49-54;2025-07-07 11-50-12;2025-07-07 11-50-30;2025-07-07 11-50-49;2025-07-07 11-51-08;2025-07-07 11-51-26;2025-07-07 11-51-44;2025-07-07 11-52-02;2025-07-07 11-52-20;2025-07-07 11-52-39;2025-07-07 11-52-58;2025-07-07 11-53-16;2025-07-07 11-53-34;2025-07-07 11-53-52;2025-07-07 11-54-10;2025-07-07 11-54-28;2025-07-07 11-54-47;2025-07-07 11-55-05;2025-07-07 11-55-23;2025-07-07 11-55-41;2025-07-07 11-55-59;2025-07-07 11-56-18;2025-07-07 11-56-36;2025-07-07 11-56-54;2025-07-07 11-57-12;2025-07-07 11-57-30
0.010;0.008116;0.007839;0.008081;0.008000;0.008098;0.007498;0.007830;0.008036;0.007919;0.007919;0.007883;0.007731;0.008125;0.007794;0.007901;0.008054;0.007624;0.007892;0.007874;0.007292;0.007803;0.008045;0.007946;0.008027;0.007991;0.007355;0.007677;0.007982;0.008063;0.007776;0.007919;0.007937;0.007740;0.007731;0.007686;0.007256;0.007991;0.007740;0.007462;0.007507;0.007928;0.007919;0.008000;0.007919;0.007498;0.007677;0.007588;0.007659;0.007525;0.008045;0.007462;0.007991;0.007982;0.007695;0.007866;0.007579;0.008009;0.007991;0.007525;0.007059;0.007857;0.007498;0.007480;0.007946;0.007167;0.007722;0.007964;0.008170;0.007149;0.007955;0.007552;0.007624;0.007462;0.008224;0.007650;0.007919;0.007991;0.007355;0.007713;0.007543;0.007659;0.007866;0.007480;0.007874;0.007615;0.007453;0.007588;0.006979;0.007919;0.008063;0.007874;0.007552;0.007122;0.007489;0.007982;0.007659;0.007489;0.007839;0.007964;0.007776;0.007328;0.008072;0.007848;0.007928;0.007946;0.007713;0.007749;0.007955;0.007597;0.007650;0.007982;0.007848;0.007731;0.007722;0.007695;0.007077;0.007946;0.007740;0.007758;0.007812;0.007803;0.007194;0.007642;0.007659;0.007713;0.007167;0.007265;0.007310;0.007713;0.007892;0.007794;0.007534;0.006988;0.008054;0.007991;0.007982;0.007176;0.007982;0.007866;0.006880;0.007301;0.007615;0.007319;0.007418;0.007659;0.007149;0.007570;0.007866;0.007453;0.007283;0.007803;0.007077;0.008134;0.007695;0.007803;0.007901;0.007633;0.007668;0.007238;0.007418;0.007883;0.007955;0.007722;0.008000;0.007830;0.007803;0.007310;0.007507;0.007901;0.007507;0.007794;0.007794;0.007418;0.007642;0.007507;0.007749;0.007642;0.007211;0.007005;0.007633;0.007355;0.007032;0.007552;0.007462;0.007767;0.007776;0.008009;0.007874;0.007633
0.020;0.008475;0.008251;0.008430;0.008376;0.008439;0.007498;0.008215;0.008403;0.008278;0.008296;0.008269;0.008152;0.008448;0.008188;0.008269;0.008385;0.008063;0.008224;0.008233;0.007794;0.008206;0.008376;0.007946;0.008358;0.008358;0.007830;0.008089;0.008340;0.008394;0.007776;0.007919;0.008251;0.008134;0.008143;0.008116;0.007758;0.008331;0.008134;0.007919;0.007973;0.008278;0.008278;0.008349;0.008287;0.007955;0.008072;0.007982;0.008081;0.007964;0.008349;0.007919;0.007991;0.007982;0.008098;0.008206;0.008000;0.008322;0.008313;0.007982;0.007498;0.008224;0.007928;0.007928;0.008296;0.007668;0.008125;0.008304;0.008412;0.007659;0.008296;0.007991;0.008036;0.007928;0.008224;0.008072;0.007919;0.008304;0.007839;0.008107;0.007991;0.008098;0.008206;0.007946;0.008242;0.008045;0.007919;0.008009;0.007462;0.008287;0.008349;0.008215;0.007982;0.007624;0.007946;0.008287;0.008072;0.007946;0.008197;0.008269;0.008134;0.007812;0.008331;0.008188;0.008242;0.008278;0.008134;0.008134;0.007955;0.008018;0.008054;0.008287;0.008206;0.008125;0.008116;0.008089;0.007579;0.008260;0.008125;0.008125;0.008161;0.008170;0.007194;0.007642;0.008063;0.008089;0.007677;0.007767;0.007794;0.008098;0.008251;0.008161;0.007973;0.007480;0.008349;0.008304;0.008304;0.007686;0.007982;0.008215;0.007364;0.007301;0.007615;0.007830;0.007883;0.008072;0.007650;0.007991;0.008224;0.007928;0.007776;0.008179;0.007579;0.008134;0.008098;0.007803;0.008251;0.008054;0.008081;0.007749;0.007883;0.008206;0.008287;0.008125;0.008000;0.008188;0.007803;0.007794;0.007955;0.008215;0.007982;0.008152;0.008161;0.007883;0.007642;0.007946;0.008134;0.008054;0.007677;0.007507;0.008027;0.007839;0.007543;0.007982;0.007937;0.008134;0.008134;0.008313;0.008215;0.008045
0.030;0.008681;0.008546;0.008636;0.008618;0.008636;0.007946;0.008511;0.008618;0.008520;0.008555;0.008537;0.008152;0.008636;0.008466;0.008520;0.008573;0.008403;0.008493;0.008528;0.008206;0.008484;0.008564;0.008322;0.008546;0.008582;0.008215;0.008385;0.008564;0.008573;0.008179;0.008251;0.008475;0.008394;0.008439;0.008412;0.008143;0.008331;0.008394;0.008269;0.008296;0.008493;0.008484;0.008546;0.008528;0.007955;0.008358;0.008296;0.008358;0.008278;0.008502;0.008260;0.008322;0.008313;0.008367;0.008430;0.008322;0.008322;0.008493;0.008296;0.007946;0.008475;0.007928;0.008269;0.008511;0.008072;0.008358;0.008493;0.008511;0.008072;0.008493;0.008313;0.008322;0.008260;0.008457;0.008367;0.008251;0.008502;0.008197;0.008358;0.008331;0.008403;0.008421;0.008278;0.008475;0.008349;0.008269;0.008287;0.007919;0.008511;0.008349;0.008439;0.008304;0.008036;0.008269;0.008457;0.008367;0.008224;0.008421;0.008412;0.008367;0.008179;0.008331;0.008394;0.008421;0.008466;0.008403;0.008385;0.008278;0.008313;0.008313;0.008439;0.008421;0.008385;0.008349;0.008331;0.008000;0.008439;0.008367;0.008358;0.008376;0.008394;0.007695;0.008054;0.008313;0.008340;0.008081;0.008170;0.008152;0.008367;0.008448;0.008376;0.008278;0.007937;0.008502;0.008304;0.008475;0.007686;0.008313;0.008421;0.007857;0.007794;0.008027;0.007830;0.008206;0.008349;0.008054;0.008278;0.008448;0.008269;0.008107;0.008412;0.008009;0.008376;0.008367;0.008152;0.008251;0.008349;0.008358;0.008134;0.008206;0.008358;0.008475;0.008394;0.008313;0.008394;0.008170;0.008143;0.008260;0.008412;0.008304;0.008367;0.008394;0.008197;0.008045;0.008233;0.008376;0.008322;0.008081;0.007946;0.008278;0.008206;0.007982;0.008287;0.008251;0.008358;0.008349;0.008439;0.008439;0.008322
0.040;0.008770;0.008690;0.008708;0.008708;0.008690;0.008340;0.008636;0.008699;0.008609;0.008663;0.008645;0.008457;0.008672;0.008600;0.008618;0.008627;0.008403;0.008600;0.008654;0.008502;0.008484;0.008609;0.008564;0.008591;0.008672;0.008475;0.008546;0.008636;0.008618;0.008457;0.008466;0.008537;0.008502;0.008582;0.008564;0.008421;0.008528;0.008511;0.008475;0.008484;0.008493;0.008564;0.008546;0.008600;0.008287;0.008475;0.008475;0.008358;0.008448;0.008528;0.008457;0.008475;0.008493;0.008493;0.008502;0.008493;0.008475;0.008528;0.008475;0.008269;0.008564;0.008278;0.008457;0.008511;0.008358;0.008484;0.008546;0.008511;0.008376;0.008493;0.008484;0.008457;0.008457;0.008555;0.008502;0.008448;0.008502;0.008412;0.008475;0.008502;0.008546;0.008421;0.008457;0.008555;0.008493;0.008466;0.008439;0.008242;0.008511;0.008493;0.008439;0.008475;0.008322;0.008457;0.008484;0.008493;0.008421;0.008493;0.008439;0.008448;0.008403;0.008439;0.008457;0.008466;0.008502;0.008520;0.008484;0.008466;0.008457;0.008430;0.008457;0.008493;0.008493;0.008439;0.008457;0.008296;0.008475;0.008466;0.008430;0.008439;0.008475;0.008089;0.008331;0.008430;0.008439;0.008349;0.008170;0.008376;0.008466;0.008511;0.008457;0.008421;0.008251;0.008511;0.008457;0.008475;0.008072;0.008502;0.008484;0.008215;0.008161;0.008304;0.008206;0.008385;0.008466;0.008322;0.008403;0.008520;0.008448;0.008358;0.008484;0.008304;0.008466;0.008475;0.008358;0.008439;0.008475;0.008475;0.008385;0.008376;0.008403;0.008511;0.008502;0.008466;0.008457;0.008394;0.008358;0.008403;0.008448;0.008304;0.008439;0.008466;0.008376;0.008313;0.008385;0.008466;0.008430;0.008349;0.007946;0.008376;0.008403;0.008278;0.008287;0.008448;0.008430;0.008412;0.008457;0.008439;0.008439
0.050;0.008770;0.008717;0.008708;0.008717;0.008690;0.008609;0.008654;0.008699;0.008609;0.008672;0.008645;0.008618;0.008663;0.008618;0.008618;0.008618;0.008591;0.008609;0.008672;0.008645;0.008609;0.008600;0.008654;0.008582;0.008672;0.008582;0.008564;0.008636;0.008609;0.008582;0.008528;0.008537;0.008511;0.008600;0.008591;0.008421;0.008573;0.008511;0.008528;0.008537;0.008564;0.008564;0.008591;0.008600;0.008484;0.008493;0.008511;0.008493;0.008475;0.008511;0.008511;0.008520;0.008546;0.008493;0.008502;0.008528;0.008520;0.008520;0.008511;0.008457;0.008564;0.008493;0.008511;0.008564;0.008484;0.008493;0.008546;0.008511;0.008511;0.008555;0.008520;0.008475;0.008511;0.008564;0.008502;0.008502;0.008555;0.008484;0.008475;0.008546;0.008564;0.008484;0.008502;0.008555;0.008520;0.008511;0.008466;0.008430;0.008573;0.008511;0.008511;0.008511;0.008457;0.008493;0.008484;0.008502;0.008466;0.008493;0.008412;0.008448;0.008484;0.008439;0.008457;0.008466;0.008493;0.008528;0.008484;0.008502;0.008475;0.008439;0.008430;0.008493;0.008493;0.008439;0.008457;0.008439;0.008475;0.008466;0.008430;0.008430;0.008475;0.008358;0.008457;0.008430;0.008439;0.008466;0.008430;0.008439;0.008466;0.008511;0.008448;0.008448;0.008430;0.008484;0.008484;0.008502;0.008331;0.008528;0.008475;0.008439;0.008367;0.008457;0.008439;0.008421;0.008475;0.008439;0.008421;0.008520;0.008502;0.008439;0.008484;0.008448;0.008466;0.008484;0.008412;0.008502;0.008493;0.008475;0.008466;0.008412;0.008394;0.008493;0.008502;0.008484;0.008448;0.008457;0.008403;0.008403;0.008430;0.008493;0.008430;0.008466;0.008412;0.008430;0.008403;0.008466;0.008430;0.008457;0.008251;0.008376;0.008466;0.008412;0.008421;0.008493;0.008430;0.008403;0.008457;0.008493;0.008448
0.060;0.008708;0.008690;0.008618;0.008654;0.008591;0.008726;0.008636;0.008699;0.008555;0.008627;0.008609;0.008645;0.008555;0.008600;0.008582;0.008537;0.008636;0.008564;0.008636;0.008672;0.008627;0.008520;0.008663;0.008582;0.008600;0.008582;0.008546;0.008636;0.008609;0.008600;0.008528;0.008537;0.008511;0.008573;0.008573;0.008520;0.008573;0.008475;0.008528;0.008528;0.008564;0.008493;0.008591;0.008600;0.008537;0.008457;0.008493;0.008502;0.008466;0.008376;0.008502;0.008511;0.008537;0.008502;0.008430;0.008511;0.008502;0.008403;0.008511;0.008502;0.008502;0.008555;0.008511;0.008564;0.008493;0.008457;0.008537;0.008457;0.008528;0.008546;0.008502;0.008448;0.008502;0.008511;0.008528;0.008493;0.008546;0.008484;0.008475;0.008537;0.008546;0.008484;0.008493;0.008475;0.008502;0.008502;0.008448;0.008475;0.008573;0.008484;0.008502;0.008493;0.008466;0.008475;0.008466;0.008502;0.008457;0.008412;0.008278;0.008376;0.008475;0.008385;0.008358;0.008358;0.008376;0.008484;0.008430;0.008484;0.008448;0.008394;0.008430;0.008394;0.008439;0.008376;0.008421;0.008448;0.008457;0.008394;0.008349;0.008331;0.008394;0.008466;0.008466;0.008385;0.008439;0.008475;0.008528;0.008439;0.008466;0.008511;0.008367;0.008430;0.008457;0.008484;0.008466;0.008484;0.008430;0.008511;0.008475;0.008502;0.008457;0.008475;0.008520;0.008412;0.008430;0.008448;0.008385;0.008520;0.008493;0.008439;0.008484;0.008466;0.008403;0.008439;0.008412;0.008502;0.008448;0.008475;0.008475;0.008394;0.008269;0.008376;0.008511;0.008466;0.008349;0.008457;0.008403;0.008421;0.008430;0.008528;0.008340;0.008457;0.008394;0.008430;0.008376;0.008394;0.008448;0.008457;0.008403;0.008322;0.008466;0.008439;0.008448;0.008484;0.008340;0.008331;0.008430;0.008484;0.008412
0.070;0.008528;0.008690;0.008421;0.008502;0.008385;0.008735;0.008484;0.008627;0.008555;0.008466;0.008609;0.008627;0.008555;0.008466;0.008421;0.008537;0.008645;0.008403;0.008636;0.008672;0.008600;0.008304;0.008609;0.008493;0.008412;0.008591;0.008546;0.008555;0.008502;0.008564;0.008448;0.008466;0.008484;0.008439;0.008439;0.008528;0.008466;0.008313;0.008439;0.008439;0.008484;0.008304;0.008493;0.008537;0.008537;0.008313;0.008394;0.008475;0.008466;0.008376;0.008421;0.008412;0.008430;0.008466;0.008430;0.008385;0.008403;0.008170;0.008394;0.008493;0.008322;0.008555;0.008511;0.008466;0.008457;0.008304;0.008457;0.008269;0.008511;0.008466;0.008376;0.008304;0.008403;0.008331;0.008493;0.008412;0.008448;0.008421;0.008430;0.008421;0.008403;0.008394;0.008403;0.008278;0.008376;0.008403;0.008313;0.008475;0.008493;0.008358;0.008412;0.008367;0.008439;0.008358;0.008331;0.008475;0.008349;0.008206;0.008278;0.008376;0.008412;0.008215;0.008143;0.008358;0.008376;0.008313;0.008251;0.008367;0.008322;0.008215;0.008287;0.008188;0.008269;0.008179;0.008421;0.008421;0.008340;0.008394;0.008152;0.008134;0.008215;0.008466;0.008421;0.008206;0.008376;0.008421;0.008528;0.008349;0.008412;0.008430;0.008367;0.008430;0.008448;0.008340;0.008322;0.008340;0.008430;0.008385;0.008376;0.008502;0.008457;0.008448;0.008520;0.008287;0.008260;0.008403;0.008385;0.008430;0.008394;0.008376;0.008403;0.008439;0.008215;0.008260;0.008313;0.008412;0.008287;0.008430;0.008403;0.008269;0.008045;0.008143;0.008466;0.008322;0.008349;0.008385;0.008304;0.008403;0.008304;0.008511;0.008125;0.008376;0.008269;0.008376;0.008215;0.008206;0.008394;0.008412;0.008412;0.008125;0.008457;0.008403;0.008412;0.008376;0.008134;0.008125;0.008287;0.008385;0.008251
0.080;0.008251;0.008564;0.008421;0.008215;0.008089;0.008699;0.008215;0.008439;0.008376;0.008466;0.008448;0.008511;0.008331;0.008215;0.008161;0.008331;0.008537;0.008134;0.008493;0.008645;0.008448;0.008009;0.008421;0.008287;0.008412;0.008546;0.008421;0.008358;0.008304;0.008412;0.008242;0.008269;0.008331;0.008188;0.008188;0.008484;0.008260;0.008045;0.008224;0.008439;0.008287;0.008018;0.008287;0.008349;0.008439;0.008063;0.008161;0.008331;0.008349;0.008170;0.008215;0.008188;0.008206;0.008304;0.008215;0.008161;0.008170;0.007866;0.008170;0.008385;0.008036;0.008466;0.008412;0.008260;0.008296;0.008045;0.008233;0.007991;0.008358;0.008260;0.008179;0.008304;0.008179;0.008045;0.008349;0.008206;0.008215;0.008421;0.008260;0.008197;0.008143;0.008188;0.008403;0.008278;0.008134;0.008403;0.008072;0.008358;0.008287;0.008107;0.008206;0.008367;0.008304;0.008134;0.008089;0.008322;0.008349;0.008206;0.008027;0.008179;0.008215;0.007946;0.008143;0.008143;0.008143;0.008045;0.007973;0.008143;0.008081;0.007955;0.008036;0.007892;0.007982;0.008179;0.008251;0.008278;0.008125;0.008206;0.008152;0.007839;0.008215;0.008421;0.008269;0.008206;0.008188;0.008251;0.008475;0.008143;0.008260;0.008215;0.008170;0.008287;0.008322;0.008081;0.008072;0.008125;0.008367;0.008152;0.008170;0.008430;0.008385;0.008304;0.008457;0.008081;0.008260;0.008403;0.008215;0.008215;0.008170;0.008179;0.008197;0.008287;0.007946;0.007982;0.008089;0.008197;0.008287;0.008260;0.008215;0.008063;0.007722;0.008143;0.008287;0.008063;0.008134;0.008188;0.008116;0.008251;0.008072;0.008394;0.008125;0.008161;0.008054;0.008197;0.007964;0.007910;0.008206;0.008224;0.008385;0.007857;0.008358;0.008251;0.008260;0.008376;0.007839;0.007839;0.008036;0.008161;0.007982
0.090;0.007910;0.008322;0.008152;0.007892;0.007749;0.008537;0.007910;0.008152;0.008098;0.008215;0.008206;0.008269;0.008027;0.008215;0.007821;0.008045;0.008322;0.007803;0.008215;0.008511;0.008215;0.007659;0.008143;0.007982;0.008152;0.008385;0.008188;0.008063;0.008000;0.008152;0.007955;0.007982;0.008089;0.007874;0.007874;0.008322;0.007955;0.007713;0.007946;0.008224;0.007991;0.007686;0.007991;0.008063;0.008215;0.008063;0.007857;0.008081;0.008125;0.007857;0.007937;0.007892;0.007910;0.008045;0.007937;0.007848;0.007866;0.007516;0.007874;0.008385;0.007695;0.008260;0.008197;0.007964;0.008296;0.008045;0.007946;0.007659;0.008358;0.007964;0.007874;0.008054;0.007883;0.007713;0.008089;0.007910;0.007928;0.008215;0.007991;0.008197;0.008143;0.007892;0.008179;0.007982;0.008134;0.008188;0.007758;0.008134;0.007982;0.007794;0.007910;0.008134;0.008304;0.007848;0.007767;0.008063;0.008125;0.007928;0.007704;0.007892;0.007946;0.007633;0.007848;0.007830;0.007839;0.007713;0.007973;0.007857;0.007758;0.007615;0.007749;0.007892;0.007650;0.007910;0.007982;0.008018;0.007812;0.007928;0.007866;0.007839;0.007937;0.008251;0.008027;0.007937;0.007919;0.008251;0.008287;0.007848;0.007982;0.007919;0.007874;0.008063;0.008089;0.007785;0.007749;0.007812;0.008188;0.007866;0.007892;0.008215;0.008197;0.008045;0.008269;0.007776;0.007991;0.008224;0.007973;0.007919;0.007874;0.007901;0.007910;0.008287;0.007597;0.007633;0.007794;0.007892;0.008018;0.007982;0.007928;0.008063;0.007722;0.007821;0.008027;0.007731;0.007839;0.007901;0.008116;0.007991;0.007758;0.008152;0.007839;0.007874;0.007749;0.007919;0.007633;0.007570;0.007937;0.007955;0.008242;0.007507;0.008134;0.007982;0.008000;0.008152;0.007516;0.007480;0.007704;0.007866;0.007982
0.100;0.007543;0.007991;0.007812;0.007534;0.007382;0.008269;0.007910;0.007812;0.007758;0.007910;0.007883;0.007964;0.007677;0.007910;0.007471;0.007695;0.008045;0.007435;0.007910;0.008260;0.007901;0.007301;0.007803;0.007633;0.007821;0.008116;0.007874;0.007713;0.007650;0.007839;0.007606;0.007642;0.007758;0.007525;0.007516;0.008054;0.007606;0.007355;0.007946;0.007946;0.007677;0.007686;0.007659;0.007722;0.007928;0.007731;0.007857;0.007749;0.007812;0.007516;0.007597;0.007552;0.007561;0.007713;0.007597;0.007498;0.007507;0.007516;0.007525;0.008179;0.007695;0.007973;0.007928;0.007615;0.008072;0.007713;0.007606;0.007319;0.008107;0.007624;0.007874;0.007722;0.007883;0.007346;0.007767;0.007561;0.007579;0.007955;0.007659;0.007892;0.007830;0.007552;0.007883;0.007677;0.007812;0.007883;0.007418;0.007830;0.007642;0.007444;0.007579;0.007821;0.008063;0.007498;0.007453;0.007749;0.007821;0.007570;0.007364;0.007552;0.007606;0.007301;0.007525;0.007498;0.007507;0.007364;0.007668;0.007498;0.007758;0.007615;0.007400;0.007543;0.007650;0.007588;0.007659;0.007695;0.007471;0.007579;0.007516;0.007489;0.007597;0.007982;0.007695;0.007606;0.007579;0.007982;0.008009;0.007489;0.007650;0.007570;0.007534;0.007749;0.008089;0.007427;0.007400;0.007453;0.007910;0.007516;0.007552;0.008215;0.007910;0.007722;0.007982;0.007427;0.007659;0.007964;0.007633;0.007570;0.007516;0.007543;0.007552;0.008027;0.007247;0.007265;0.007444;0.007552;0.007695;0.007650;0.007588;0.007749;0.007364;0.007462;0.007695;0.007364;0.007480;0.007552;0.007821;0.007668;0.007409;0.007839;0.007480;0.007525;0.007400;0.007579;0.007310;0.007220;0.007597;0.007606;0.007991;0.007167;0.007830;0.007686;0.007668;0.007830;0.007167;0.007122;0.007346;0.007507;0.007659
