TimeStamp;2025-07-07 10-55-26;2025-07-07 10-55-44;2025-07-07 10-56-02;2025-07-07 10-56-20;2025-07-07 10-56-39;2025-07-07 10-56-57;2025-07-07 10-57-15;2025-07-07 10-57-34;2025-07-07 10-57-52;2025-07-07 10-58-10;2025-07-07 10-58-28;2025-07-07 10-58-46;2025-07-07 10-59-04;2025-07-07 10-59-23;2025-07-07 10-59-41;2025-07-07 10-59-59;2025-07-07 11-00-17;2025-07-07 11-00-35;2025-07-07 11-00-53;2025-07-07 11-01-11;2025-07-07 11-01-29;2025-07-07 11-01-48;2025-07-07 11-02-06;2025-07-07 11-02-25;2025-07-07 11-02-43;2025-07-07 11-03-01;2025-07-07 11-03-19;2025-07-07 11-03-37;2025-07-07 11-03-56;2025-07-07 11-04-14;2025-07-07 11-04-33;2025-07-07 11-04-51;2025-07-07 11-05-09;2025-07-07 11-05-27;2025-07-07 11-05-45;2025-07-07 11-06-03;2025-07-07 11-06-22;2025-07-07 11-06-40;2025-07-07 11-06-58;2025-07-07 11-07-17;2025-07-07 11-07-35;2025-07-07 11-07-55;2025-07-07 11-08-14;2025-07-07 11-08-34;2025-07-07 11-08-52;2025-07-07 11-09-11;2025-07-07 11-09-29;2025-07-07 11-09-47;2025-07-07 11-10-05;2025-07-07 11-10-26;2025-07-07 11-10-44;2025-07-07 11-11-02;2025-07-07 11-11-20;2025-07-07 11-11-39;2025-07-07 11-11-57;2025-07-07 11-12-15;2025-07-07 11-12-33;2025-07-07 11-12-51;2025-07-07 11-13-09;2025-07-07 11-13-28;2025-07-07 11-13-46;2025-07-07 11-16-35;2025-07-07 11-16-54;2025-07-07 11-17-12;2025-07-07 11-17-30;2025-07-07 11-17-48;2025-07-07 11-18-06;2025-07-07 11-18-24;2025-07-07 11-18-42;2025-07-07 11-19-01;2025-07-07 11-19-19;2025-07-07 11-19-37;2025-07-07 11-19-55;2025-07-07 11-20-13;2025-07-07 11-20-33;2025-07-07 11-20-52;2025-07-07 11-21-10;2025-07-07 11-21-28;2025-07-07 11-21-47;2025-07-07 11-22-05;2025-07-07 11-22-24;2025-07-07 11-22-42;2025-07-07 11-23-00;2025-07-07 11-23-18;2025-07-07 11-23-36;2025-07-07 11-23-55;2025-07-07 11-24-13;2025-07-07 11-24-32;2025-07-07 11-24-50;2025-07-07 11-25-08;2025-07-07 11-25-26;2025-07-07 11-25-44;2025-07-07 11-26-02;2025-07-07 11-26-21;2025-07-07 11-26-39;2025-07-07 11-26-57;2025-07-07 11-27-15;2025-07-07 11-27-33;2025-07-07 11-27-52;2025-07-07 11-28-10;2025-07-07 11-28-28;2025-07-07 11-28-47;2025-07-07 11-29-05;2025-07-07 11-29-23;2025-07-07 11-29-40;2025-07-07 11-29-59;2025-07-07 11-30-17;2025-07-07 11-30-35;2025-07-07 11-30-53;2025-07-07 11-31-12;2025-07-07 11-31-30;2025-07-07 11-31-48;2025-07-07 11-32-07;2025-07-07 11-32-25;2025-07-07 11-32-43;2025-07-07 11-33-01;2025-07-07 11-33-21;2025-07-07 11-33-42;2025-07-07 11-34-00;2025-07-07 11-34-18;2025-07-07 11-34-36;2025-07-07 11-34-55;2025-07-07 11-35-13;2025-07-07 11-35-31;2025-07-07 11-35-49;2025-07-07 11-38-19;2025-07-07 11-38-37;2025-07-07 11-38-55;2025-07-07 11-39-13;2025-07-07 11-39-31;2025-07-07 11-39-49;2025-07-07 11-40-08;2025-07-07 11-40-26;2025-07-07 11-40-45;2025-07-07 11-41-03;2025-07-07 11-41-21;2025-07-07 11-41-39;2025-07-07 11-41-57;2025-07-07 11-42-15;2025-07-07 11-42-33;2025-07-07 11-42-51;2025-07-07 11-43-10;2025-07-07 11-43-29;2025-07-07 11-43-47;2025-07-07 11-44-05;2025-07-07 11-44-24;2025-07-07 11-44-42;2025-07-07 11-45-00;2025-07-07 11-45-18;2025-07-07 11-45-37;2025-07-07 11-45-55;2025-07-07 11-46-14;2025-07-07 11-46-32;2025-07-07 11-46-50;2025-07-07 11-47-08;2025-07-07 11-47-27;2025-07-07 11-47-45;2025-07-07 11-48-03;2025-07-07 11-48-22;2025-07-07 11-48-40;2025-07-07 11-48-58;2025-07-07 11-49-16;2025-07-07 11-49-34;2025-07-07 11-49-53;2025-07-07 11-50-11;2025-07-07 11-50-29;2025-07-07 11-50-48;2025-07-07 11-51-07;2025-07-07 11-51-25;2025-07-07 11-51-43;2025-07-07 11-52-01;2025-07-07 11-52-19;2025-07-07 11-52-38;2025-07-07 11-52-57;2025-07-07 11-53-15;2025-07-07 11-53-33;2025-07-07 11-53-51;2025-07-07 11-54-09;2025-07-07 11-54-27;2025-07-07 11-54-46;2025-07-07 11-55-04;2025-07-07 11-55-22;2025-07-07 11-55-40;2025-07-07 11-55-58;2025-07-07 11-56-17;2025-07-07 11-56-35;2025-07-07 11-56-53;2025-07-07 11-57-11;2025-07-07 11-57-29
0.010;0.028700;0.117300;0.011900;0.144200;0.060400;0.149400;0.029000;0.002400;0.116400;0.020700;0.109900;0.124600;0.048900;0.168600;0.070800;0.167100;0.124000;0.147900;0.026500;0.017700;0.120600;0.097100;0.028700;0.123400;0.073600;0.022500;0.025600;0.074200;0.078200;0.004200;0.061100;0.142000;0.070200;0.106300;0.004500;0.015200;0.090100;0.010000;0.081200;0.021400;0.121900;0.005200;0.014600;0.149100;0.003000;0.094400;0.117900;0.011900;0.057100;0.113300;0.157900;0.031100;0.092900;0.064400;0.151800;0.103500;0.119100;0.010300;0.095300;0.042100;0.005100;0.123700;0.083700;0.077900;0.142600;0.130400;0.053100;0.124000;0.067200;0.011000;0.068100;0.000300;0.070500;0.093500;0.003900;0.206800;0.007900;0.049100;0.014900;0.011900;0.090700;0.034800;0.100800;0.077900;0.028700;0.109300;0.028400;0.015500;0.022900;0.155500;0.102900;0.100800;0.102000;0.013700;0.032400;0.082500;0.055900;0.104500;0.003300;0.111800;0.043900;0.020700;0.079400;0.028700;0.136500;0.043000;0.026500;0.045500;0.075100;0.025600;0.028100;0.009400;0.003600;0.086400;0.093200;0.037500;0.128900;0.093100;0.107200;0.096200;0.013700;0.169500;0.046100;0.075100;0.150000;0.196400;0.106000;0.156400;0.062000;0.038100;0.105400;0.112700;0.017100;0.068100;0.050100;0.128000;0.089500;0.022000;0.076100;0.061100;0.062900;0.067200;0.072100;0.013100;0.169900;0.029000;0.050100;0.032300;0.015500;0.008500;0.166800;0.002700;0.057700;0.075700;0.028400;0.130100;0.018000;0.137800;0.000900;0.091900;0.112100;0.017100;0.044300;0.088000;0.166800;0.035100;0.096500;0.070900;0.009100;0.006700;0.093800;0.000900;0.131100;0.003600;0.109300;0.009400;0.100800;0.114500;0.071500;0.079400;0.090100;0.003600;0.004500;0.058900;0.066300;0.038200;0.000300;0.159200;0.080000
0.020;0.033900;0.117300;0.008800;0.144200;0.060400;0.097400;0.029000;0.023500;0.098300;0.020700;0.134100;0.166800;0.074200;0.168600;0.070800;0.137100;0.124000;0.124000;0.019200;0.017700;0.120600;0.067200;0.023200;0.083400;0.050700;0.017400;0.025600;0.053100;0.078200;0.014300;0.055300;0.097100;0.079400;0.126200;0.004500;0.015200;0.078200;0.013700;0.066900;0.081800;0.054000;0.016100;0.014600;0.104500;0.033600;0.094400;0.116700;0.008800;0.057100;0.113300;0.144500;0.017700;0.092900;0.044600;0.090700;0.081200;0.165600;0.039400;0.095300;0.034200;0.030800;0.123700;0.069600;0.059500;0.121300;0.130400;0.053100;0.095900;0.084300;0.011000;0.068100;0.012500;0.070500;0.075400;0.001800;0.152400;0.024100;0.049100;0.027200;0.002100;0.090700;0.007300;0.100800;0.062300;0.016100;0.109300;0.008800;0.010000;0.058600;0.131900;0.112700;0.088300;0.102000;0.013700;0.012500;0.082500;0.009100;0.104500;0.003300;0.057400;0.043900;0.002100;0.093100;0.028700;0.198600;0.011300;0.001800;0.119400;0.075100;0.025600;0.005200;0.017700;0.003600;0.086400;0.118200;0.086100;0.088200;0.093100;0.074200;0.036300;0.030500;0.169500;0.043300;0.075100;0.155200;0.196400;0.082500;0.083400;0.062000;0.030500;0.065000;0.110300;0.004900;0.100800;0.103500;0.152800;0.089500;0.019500;0.112700;0.077900;0.064100;0.067200;0.053100;0.015500;0.169900;0.000600;0.018600;0.007300;0.006400;0.050400;0.166800;0.002700;0.101100;0.183300;0.010300;0.143900;0.011600;0.113600;0.002400;0.037900;0.112100;0.004900;0.020700;0.087300;0.150900;0.023800;0.048900;0.117300;0.009100;0.008200;0.131300;0.000600;0.144800;0.022000;0.109300;0.101100;0.147200;0.114500;0.082200;0.079400;0.090100;0.003600;0.002700;0.058900;0.044600;0.045200;0.010300;0.159200;0.077900
0.030;0.043700;0.070200;0.016100;0.085500;0.085500;0.102600;0.044900;0.023500;0.084900;0.015500;0.134100;0.086400;0.085800;0.082500;0.074200;0.139600;0.107200;0.124000;0.030500;0.017700;0.121900;0.067200;0.062600;0.080300;0.049500;0.017400;0.066600;0.094000;0.089800;0.028700;0.020400;0.099000;0.027200;0.075400;0.051900;0.033000;0.069900;0.013700;0.083100;0.096800;0.047600;0.045800;0.005800;0.105100;0.033600;0.022000;0.060800;0.008800;0.004200;0.044900;0.122200;0.024700;0.066000;0.024700;0.068400;0.073900;0.143000;0.039400;0.041800;0.019800;0.082200;0.159700;0.097100;0.058300;0.105700;0.096500;0.072700;0.035100;0.084300;0.035700;0.019200;0.043400;0.143000;0.073000;0.018000;0.137100;0.003600;0.015200;0.025300;0.010300;0.049500;0.014300;0.143300;0.044300;0.001800;0.051900;0.025900;0.004200;0.048200;0.141400;0.106000;0.053400;0.111500;0.056500;0.016500;0.051600;0.018600;0.021000;0.039700;0.011300;0.027100;0.002100;0.101100;0.012200;0.198600;0.000900;0.004800;0.119400;0.052200;0.010600;0.005200;0.017700;0.080600;0.200100;0.111200;0.141400;0.080000;0.083400;0.081800;0.054000;0.020400;0.088300;0.046400;0.092200;0.152700;0.139900;0.077000;0.065700;0.000300;0.011300;0.058600;0.069300;0.005500;0.100800;0.133500;0.143200;0.064100;0.020100;0.190300;0.106300;0.064100;0.025300;0.067200;0.042700;0.105700;0.000600;0.053700;0.014000;0.013700;0.047900;0.142300;0.019200;0.041800;0.183300;0.010300;0.143900;0.054400;0.042100;0.032400;0.006700;0.062300;0.011600;0.085800;0.065000;0.148200;0.007000;0.091000;0.060500;0.053400;0.039100;0.059500;0.008500;0.140800;0.003900;0.075100;0.109700;0.147200;0.094700;0.139900;0.057100;0.145100;0.007000;0.002700;0.047600;0.044600;0.009700;0.010300;0.155200;0.038500
0.040;0.123400;0.070200;0.089500;0.101100;0.159100;0.067200;0.044900;0.116100;0.084900;0.015500;0.054600;0.086400;0.085800;0.082500;0.081200;0.080600;0.107200;0.064700;0.053100;0.024400;0.117600;0.042100;0.092800;0.020700;0.008500;0.061400;0.066600;0.030500;0.069900;0.028700;0.020400;0.065300;0.027200;0.048900;0.051900;0.033000;0.061400;0.004500;0.022300;0.124000;0.020100;0.082100;0.005800;0.079400;0.102300;0.022000;0.060200;0.004800;0.004200;0.070600;0.065400;0.046400;0.058900;0.076600;0.068400;0.099300;0.143000;0.051900;0.041800;0.019800;0.096200;0.161900;0.097100;0.108400;0.066300;0.096500;0.028700;0.035100;0.033300;0.027100;0.019200;0.043400;0.094700;0.034200;0.066000;0.106900;0.003300;0.015200;0.025300;0.013400;0.016400;0.000900;0.143300;0.054700;0.001800;0.051900;0.042400;0.004200;0.093500;0.091600;0.042700;0.013400;0.095900;0.121300;0.029600;0.051600;0.006100;0.021000;0.039700;0.053100;0.001200;0.030200;0.037200;0.000900;0.130100;0.004500;0.022300;0.065900;0.026500;0.010600;0.002700;0.007600;0.080600;0.200100;0.111200;0.063500;0.067200;0.083400;0.028400;0.011300;0.004800;0.118200;0.003900;0.092200;0.152700;0.161900;0.106600;0.053700;0.000300;0.022600;0.061700;0.077900;0.005500;0.025300;0.133500;0.112400;0.007300;0.020100;0.190300;0.106300;0.154900;0.046700;0.067200;0.068700;0.105700;0.025000;0.048200;0.007000;0.024400;0.104200;0.142300;0.046400;0.040900;0.142600;0.046400;0.156400;0.086100;0.077900;0.032400;0.009400;0.062300;0.011600;0.085800;0.013100;0.097100;0.007000;0.085800;0.054100;0.065900;0.075400;0.059500;0.008500;0.106600;0.000900;0.075100;0.117900;0.095300;0.096500;0.139900;0.043400;0.145100;0.007000;0.012500;0.003000;0.067200;0.012500;0.011000;0.113000;0.028700
0.050;0.108100;0.056500;0.067500;0.092200;0.160100;0.059200;0.073600;0.116100;0.070800;0.087400;0.054600;0.088600;0.115800;0.102900;0.076600;0.080000;0.093800;0.074200;0.053100;0.029900;0.080900;0.050700;0.092800;0.043400;0.008500;0.065300;0.128300;0.037200;0.006400;0.063800;0.024400;0.065300;0.007000;0.036700;0.110300;0.017400;0.011900;0.004500;0.009800;0.124000;0.020100;0.082100;0.018600;0.079400;0.102300;0.033300;0.060200;0.056200;0.010300;0.028400;0.065400;0.046400;0.016100;0.079100;0.022600;0.099300;0.132600;0.106000;0.035700;0.013700;0.096200;0.243500;0.162500;0.108400;0.066300;0.033900;0.001200;0.009700;0.033300;0.005500;0.031700;0.091900;0.053400;0.034200;0.066000;0.075800;0.072700;0.029900;0.044000;0.013400;0.034800;0.018600;0.155800;0.054700;0.055900;0.018300;0.022000;0.074500;0.093500;0.094700;0.042700;0.013400;0.046700;0.051000;0.029600;0.042100;0.045200;0.041200;0.082200;0.071800;0.001200;0.030200;0.045500;0.035700;0.130100;0.024700;0.053100;0.030800;0.017100;0.029000;0.057100;0.077300;0.103800;0.176600;0.064100;0.056500;0.067200;0.025900;0.010400;0.011300;0.004800;0.113900;0.003900;0.065000;0.123400;0.112400;0.114500;0.053700;0.022600;0.022600;0.061700;0.046400;0.022900;0.025300;0.091000;0.096800;0.013100;0.033900;0.185100;0.066300;0.154900;0.013700;0.158900;0.088900;0.112400;0.025000;0.102000;0.007000;0.015200;0.104200;0.105400;0.096200;0.026500;0.126200;0.068100;0.156400;0.086100;0.058900;0.073600;0.023200;0.029300;0.096500;0.101100;0.013100;0.097100;0.005800;0.085800;0.077000;0.064400;0.075400;0.052500;0.029300;0.106600;0.052800;0.038200;0.100500;0.126800;0.019800;0.142000;0.040300;0.193700;0.067800;0.012500;0.007000;0.065900;0.012500;0.030800;0.077900;0.000600
0.060;0.108100;0.000900;0.082100;0.066600;0.160100;0.059200;0.115200;0.124900;0.052200;0.106900;0.025000;0.078200;0.147500;0.102900;0.109400;0.080000;0.070800;0.038800;0.089800;0.029900;0.084000;0.032700;0.113600;0.009700;0.030200;0.093400;0.118800;0.037200;0.040600;0.082100;0.024400;0.013700;0.008800;0.000600;0.104800;0.012500;0.011900;0.050100;0.009800;0.056500;0.007600;0.061700;0.025600;0.084900;0.127400;0.032000;0.008200;0.090700;0.018600;0.028400;0.083400;0.089500;0.014000;0.120000;0.022600;0.149700;0.059500;0.094700;0.028100;0.013700;0.081800;0.243500;0.161000;0.144800;0.060200;0.000300;0.004500;0.009700;0.028700;0.053100;0.009400;0.154200;0.042700;0.007000;0.098300;0.114500;0.072700;0.047900;0.080300;0.059900;0.034800;0.018600;0.102000;0.024100;0.103800;0.005700;0.066600;0.074500;0.100200;0.062300;0.016500;0.004200;0.046700;0.051000;0.056200;0.133500;0.060200;0.017400;0.082200;0.071800;0.012800;0.058600;0.045500;0.092200;0.137500;0.024700;0.088300;0.023800;0.000900;0.092900;0.088600;0.075400;0.115100;0.162200;0.053100;0.056500;0.089500;0.016700;0.031100;0.007600;0.083700;0.096200;0.007000;0.040900;0.123400;0.087000;0.114500;0.153300;0.073600;0.070200;0.156400;0.056200;0.044300;0.046400;0.101400;0.080600;0.013100;0.087300;0.186300;0.066300;0.154300;0.013700;0.158900;0.112400;0.076600;0.042100;0.102000;0.027500;0.028700;0.035700;0.074500;0.092900;0.026500;0.111500;0.128300;0.095300;0.074500;0.033300;0.086400;0.023200;0.056800;0.096500;0.126800;0.037600;0.084900;0.005200;0.181200;0.004500;0.064400;0.107200;0.057700;0.029300;0.047000;0.052800;0.011900;0.022900;0.084000;0.019800;0.142000;0.021000;0.153000;0.100800;0.009100;0.007000;0.146600;0.020400;0.095000;0.077900;0.000600
0.070;0.079700;0.034500;0.082100;0.050100;0.127700;0.062600;0.143000;0.124600;0.017400;0.102600;0.021600;0.040900;0.146900;0.069300;0.156400;0.065700;0.044000;0.043900;0.079700;0.102600;0.026800;0.044300;0.113600;0.009700;0.018900;0.102300;0.099300;0.017100;0.017000;0.083100;0.057100;0.013700;0.011900;0.000600;0.083400;0.078500;0.041500;0.074500;0.005200;0.056500;0.007600;0.061700;0.016200;0.084900;0.065600;0.023200;0.008200;0.085500;0.009100;0.015500;0.083400;0.106300;0.009400;0.120000;0.038200;0.149700;0.065000;0.047600;0.010400;0.004500;0.090700;0.155200;0.204100;0.190000;0.060200;0.015500;0.004500;0.009100;0.001200;0.079400;0.013400;0.076700;0.019800;0.007000;0.098300;0.114500;0.090100;0.120300;0.110600;0.059900;0.026900;0.073300;0.054600;0.024100;0.078800;0.001800;0.066600;0.080300;0.100200;0.062300;0.016500;0.004200;0.001200;0.027200;0.056200;0.147000;0.060200;0.013100;0.110000;0.138700;0.071500;0.132300;0.002400;0.075400;0.111200;0.055300;0.088300;0.023800;0.015200;0.095600;0.080000;0.085500;0.089200;0.104800;0.039100;0.019800;0.172900;0.021000;0.031100;0.006700;0.083700;0.111500;0.038100;0.013700;0.059800;0.058300;0.179000;0.153300;0.126800;0.070200;0.156400;0.056200;0.063200;0.012200;0.049800;0.080600;0.011900;0.067500;0.119400;0.049800;0.100800;0.015600;0.164400;0.112400;0.079100;0.116000;0.136200;0.068700;0.028700;0.035700;0.080000;0.100800;0.010600;0.111500;0.070500;0.083400;0.074500;0.033300;0.082200;0.009400;0.144200;0.081800;0.125500;0.007300;0.084900;0.024400;0.181200;0.004500;0.031700;0.107200;0.025600;0.093800;0.047000;0.094400;0.001800;0.022900;0.029300;0.032700;0.120300;0.024700;0.110300;0.098000;0.032700;0.025000;0.148400;0.028100;0.095000;0.082400;0.026500
0.080;0.093700;0.034500;0.089500;0.050100;0.127700;0.011900;0.143000;0.111800;0.018600;0.102600;0.052500;0.077900;0.138400;0.069300;0.156400;0.040600;0.044000;0.039100;0.124000;0.102600;0.026800;0.055900;0.073300;0.025000;0.020700;0.044300;0.099300;0.012800;0.017000;0.290200;0.089200;0.035700;0.027100;0.010700;0.083400;0.078500;0.022300;0.122200;0.022900;0.036300;0.016200;0.053400;0.016200;0.076700;0.068700;0.023200;0.026500;0.106000;0.009100;0.015500;0.081200;0.067800;0.009400;0.088900;0.027800;0.173500;0.062300;0.038800;0.010400;0.029600;0.035100;0.155200;0.163700;0.200700;0.066900;0.015500;0.004500;0.008500;0.027200;0.079400;0.013400;0.080600;0.019800;0.056500;0.072100;0.053400;0.106600;0.082800;0.061700;0.107500;0.026900;0.101400;0.054600;0.036600;0.082400;0.001800;0.095600;0.090400;0.147200;0.035100;0.022000;0.008800;0.001200;0.027200;0.108100;0.147000;0.090400;0.013100;0.060200;0.151500;0.071500;0.098900;0.002100;0.075400;0.093500;0.055600;0.072700;0.007000;0.015200;0.095600;0.108100;0.064800;0.089200;0.104800;0.021700;0.020400;0.177800;0.021000;0.058300;0.013400;0.080000;0.111500;0.100200;0.013700;0.062300;0.058300;0.176600;0.155800;0.126800;0.066900;0.158500;0.018900;0.095000;0.015200;0.005700;0.063500;0.011900;0.067500;0.250200;0.013100;0.091000;0.015600;0.161600;0.063200;0.079100;0.074200;0.085200;0.077600;0.095600;0.032700;0.080000;0.100800;0.011000;0.101100;0.649600;0.059800;0.061100;0.074500;0.070800;0.001500;0.144200;0.049800;0.095300;0.006100;0.069900;0.069900;0.170500;0.002400;0.031700;0.079400;0.057100;0.078800;0.281100;0.094400;0.001800;0.039700;0.051600;0.032700;0.088900;0.024700;0.110300;0.054600;0.326600;0.025000;0.162200;0.144500;0.086100;0.082400;0.013400
0.090;0.064700;0.045500;0.039400;0.066900;0.079700;0.098000;0.086100;0.111800;0.008500;0.051000;0.052500;0.029600;0.099300;0.057100;0.165900;0.048800;0.090700;0.039100;0.908700;0.107200;0.042400;0.055900;0.066600;0.032100;0.148500;0.044300;0.104100;0.004900;0.580500;1.540900;0.108100;0.130100;0.072400;0.625100;0.590600;0.057100;0.007900;0.069300;0.019500;0.173200;0.019500;0.015200;0.423800;0.125500;0.068700;0.059500;0.020700;0.106000;0.153400;0.013700;0.056500;0.049100;0.161300;0.047300;0.084300;0.135600;0.029600;0.038800;0.012800;0.060400;0.026500;0.152100;0.137100;0.137800;0.107800;0.132900;0.049800;0.089200;0.027200;0.056800;0.920600;0.889700;0.869300;0.118800;0.033600;0.085500;0.101700;0.317100;0.686600;0.045200;0.177200;0.930400;0.099000;0.139300;0.124900;0.600400;0.095900;0.975000;0.084300;0.909000;0.053700;0.012800;0.222700;0.231000;0.090400;0.164100;0.087400;0.305800;0.029900;0.135300;0.911100;0.061700;0.025900;0.094400;0.093500;0.103200;0.084300;0.007900;0.025000;0.691400;0.108100;0.004800;0.043400;0.103500;0.013700;0.831700;0.184500;0.028100;0.000900;0.046700;0.171100;0.110000;0.266700;1.477600;0.055200;0.035700;0.128900;0.159500;0.154600;0.669700;0.185700;0.824700;0.110300;0.015200;0.000000;0.039100;0.018600;0.211100;1.567800;0.007900;0.091000;0.030500;0.102600;0.220900;0.064100;0.074200;0.277400;0.077600;0.268500;0.014900;0.062000;0.068400;0.006700;0.101100;0.649600;0.059800;0.036000;0.081500;0.041800;0.024700;0.182700;0.018600;0.095900;0.006400;0.123100;0.089500;1.026000;0.041800;0.112100;0.063200;0.035700;0.049700;1.485600;0.121900;0.129800;0.095600;0.051600;0.018600;0.109700;0.003900;0.630000;0.248400;0.326600;0.074500;0.162200;1.400000;0.086100;1.547900;0.044600
0.100;0.827100;0.045500;1.167800;0.210200;0.709100;1.173600;0.086100;1.205100;0.008500;0.051000;1.360600;0.029600;0.099300;0.057100;0.170400;0.048800;0.547200;0.044000;0.908700;0.164700;0.157300;0.236800;0.403000;1.056300;0.148500;1.041900;0.104100;0.080600;1.785900;1.540900;0.108100;1.350800;0.072400;1.868100;0.590600;0.057100;0.092600;0.660000;0.658400;1.498400;0.036300;0.344000;0.423800;1.256400;1.156800;0.059500;0.491900;0.132300;0.153400;0.660000;0.720800;1.105700;0.703600;0.166200;0.084300;0.223600;0.029600;0.119100;0.012800;0.060400;0.026500;0.923300;0.137100;0.335100;0.770900;0.132900;0.677400;0.089200;1.173300;0.056800;0.920600;0.889700;1.939000;0.671000;0.606500;0.092200;0.207700;0.317100;0.686600;0.340700;1.454100;2.047200;0.099000;1.469700;0.124900;0.600400;0.089200;0.975000;0.861600;1.923700;1.250900;0.424100;1.445200;1.495000;0.604900;0.142000;0.173500;0.305800;0.430200;0.822800;0.911100;0.707300;0.095300;0.094400;0.648900;0.162800;0.113900;0.013700;0.694200;0.691400;0.051900;0.004800;0.043400;0.103500;1.026300;0.831700;0.778200;0.028100;0.069300;0.732400;1.283300;0.843000;1.416800;1.477600;0.055200;0.616200;0.649900;0.482100;0.154600;1.905100;0.791000;1.899900;0.110300;0.847600;0.000000;0.081600;0.071400;0.211100;1.567800;0.007900;0.726800;0.802000;0.102600;1.445200;0.064100;1.078300;1.463600;0.117900;1.491700;0.626900;0.062000;0.140800;0.006700;0.110000;1.842200;1.093500;0.598800;0.694500;0.041800;0.622700;0.182700;0.018600;0.095900;0.117300;1.405500;0.080000;1.966800;0.019500;1.317800;0.909000;0.035700;0.049700;2.052400;1.314400;0.129800;1.286600;0.070200;0.060100;0.109700;0.074200;0.630000;0.248400;2.083200;0.074500;0.179900;2.129700;0.113000;1.547900;0.704600
