TimeStamp;2025-07-07 10-55-27;2025-07-07 10-55-45;2025-07-07 10-56-03;2025-07-07 10-56-21;2025-07-07 10-56-40;2025-07-07 10-56-58;2025-07-07 10-57-16;2025-07-07 10-57-35;2025-07-07 10-57-53;2025-07-07 10-58-11;2025-07-07 10-58-29;2025-07-07 10-58-47;2025-07-07 10-59-05;2025-07-07 10-59-24;2025-07-07 10-59-42;2025-07-07 11-00-00;2025-07-07 11-00-18;2025-07-07 11-00-36;2025-07-07 11-00-54;2025-07-07 11-01-12;2025-07-07 11-01-30;2025-07-07 11-01-49;2025-07-07 11-02-07;2025-07-07 11-02-26;2025-07-07 11-02-44;2025-07-07 11-03-02;2025-07-07 11-03-20;2025-07-07 11-03-38;2025-07-07 11-03-57;2025-07-07 11-04-15;2025-07-07 11-04-34;2025-07-07 11-04-52;2025-07-07 11-05-10;2025-07-07 11-05-28;2025-07-07 11-05-46;2025-07-07 11-06-04;2025-07-07 11-06-23;2025-07-07 11-06-41;2025-07-07 11-06-59;2025-07-07 11-07-18;2025-07-07 11-07-36;2025-07-07 11-07-56;2025-07-07 11-08-15;2025-07-07 11-08-35;2025-07-07 11-08-53;2025-07-07 11-09-12;2025-07-07 11-09-30;2025-07-07 11-09-48;2025-07-07 11-10-06;2025-07-07 11-10-27;2025-07-07 11-10-45;2025-07-07 11-11-03;2025-07-07 11-11-21;2025-07-07 11-11-40;2025-07-07 11-11-58;2025-07-07 11-12-16;2025-07-07 11-12-34;2025-07-07 11-12-52;2025-07-07 11-13-10;2025-07-07 11-13-29;2025-07-07 11-13-47;2025-07-07 11-16-36;2025-07-07 11-16-55;2025-07-07 11-17-13;2025-07-07 11-17-31;2025-07-07 11-17-49;2025-07-07 11-18-07;2025-07-07 11-18-25;2025-07-07 11-18-43;2025-07-07 11-19-02;2025-07-07 11-19-20;2025-07-07 11-19-38;2025-07-07 11-19-56;2025-07-07 11-20-14;2025-07-07 11-20-34;2025-07-07 11-20-53;2025-07-07 11-21-11;2025-07-07 11-21-29;2025-07-07 11-21-48;2025-07-07 11-22-06;2025-07-07 11-22-25;2025-07-07 11-22-43;2025-07-07 11-23-01;2025-07-07 11-23-19;2025-07-07 11-23-37;2025-07-07 11-23-56;2025-07-07 11-24-14;2025-07-07 11-24-33;2025-07-07 11-24-51;2025-07-07 11-25-09;2025-07-07 11-25-27;2025-07-07 11-29-41;2025-07-07 11-30-00;2025-07-07 11-30-18;2025-07-07 11-30-36;2025-07-07 11-30-54;2025-07-07 11-31-13;2025-07-07 11-31-31;2025-07-07 11-31-49;2025-07-07 11-32-08;2025-07-07 11-32-26;2025-07-07 11-32-44;2025-07-07 11-33-02;2025-07-07 11-33-22;2025-07-07 11-33-43;2025-07-07 11-34-01;2025-07-07 11-34-19;2025-07-07 11-34-37;2025-07-07 11-34-56;2025-07-07 11-35-14;2025-07-07 11-35-32;2025-07-07 11-35-50;2025-07-07 11-38-19;2025-07-07 11-38-38;2025-07-07 11-38-56;2025-07-07 11-39-14;2025-07-07 11-39-32;2025-07-07 11-39-50;2025-07-07 11-40-09;2025-07-07 11-40-27;2025-07-07 11-40-46;2025-07-07 11-41-04;2025-07-07 11-41-22;2025-07-07 11-41-40;2025-07-07 11-41-58;2025-07-07 11-42-16;2025-07-07 11-42-34;2025-07-07 11-42-52;2025-07-07 11-43-11;2025-07-07 11-43-30;2025-07-07 11-43-48;2025-07-07 11-44-06;2025-07-07 11-44-25;2025-07-07 11-44-43;2025-07-07 11-45-01;2025-07-07 11-45-19;2025-07-07 11-45-38;2025-07-07 11-45-56;2025-07-07 11-46-15;2025-07-07 11-46-33;2025-07-07 11-46-51;2025-07-07 11-47-09;2025-07-07 11-47-28;2025-07-07 11-47-46;2025-07-07 11-48-04;2025-07-07 11-48-23;2025-07-07 11-48-41;2025-07-07 11-48-59;2025-07-07 11-49-17;2025-07-07 11-49-35;2025-07-07 11-49-54;2025-07-07 11-50-12;2025-07-07 11-50-30;2025-07-07 11-50-49;2025-07-07 11-51-08;2025-07-07 11-51-26;2025-07-07 11-51-44;2025-07-07 11-52-02;2025-07-07 11-52-20;2025-07-07 11-52-39;2025-07-07 11-52-58;2025-07-07 11-53-16;2025-07-07 11-53-34;2025-07-07 11-53-52;2025-07-07 11-54-10;2025-07-07 11-54-28;2025-07-07 11-54-47;2025-07-07 11-55-05;2025-07-07 11-55-23;2025-07-07 11-55-41;2025-07-07 11-55-59;2025-07-07 11-56-18;2025-07-07 11-56-36;2025-07-07 11-56-54;2025-07-07 11-57-12;2025-07-07 11-57-30
0.010;3.799600;4.707700;3.138900;4.809900;3.732500;5.874400;3.759100;4.706900;4.381900;3.752100;4.710600;5.492800;3.579000;3.787900;3.196000;3.933900;5.524000;3.432100;5.288300;5.829400;4.732700;3.110500;5.699600;3.374600;4.259300;6.123900;4.900800;4.735700;3.575600;5.836900;4.817400;4.917500;4.892900;3.634000;3.967300;6.037500;3.206900;3.819600;3.815000;4.324000;4.783600;3.947300;3.895100;4.767400;6.180200;3.857200;3.838000;4.778600;4.902500;3.832100;3.835900;3.413300;3.835500;4.449900;3.858800;4.937500;3.991900;3.166000;3.864300;5.603300;3.974400;5.724300;5.571200;4.279700;5.256700;4.446600;3.624800;3.415400;5.997100;3.965200;5.246200;3.448000;3.532200;3.907200;5.759300;5.239500;4.294800;5.954500;5.267900;5.737200;4.327700;5.343000;4.908300;3.246100;4.806100;5.743400;3.476300;5.300900;5.426800;3.501800;4.967600;3.667400;3.094700;3.423400;3.690300;3.863400;3.869300;3.454200;3.688700;3.665700;4.001100;4.967600;5.401400;3.898900;4.064500;4.985900;3.912200;3.474700;6.167700;4.385300;4.433600;5.008900;5.816900;6.109700;5.743000;4.888300;3.644800;3.523900;5.356300;6.246500;3.693700;4.013200;3.269000;6.101800;4.349800;4.339800;6.166400;6.356200;5.341700;5.836500;4.503700;5.663800;6.236500;4.525000;4.376100;4.411100;5.738900;4.059500;6.127600;3.886400;3.281500;5.344600;4.986400;4.054900;5.856900;5.846900;5.690500;3.304900;4.063600;5.502800;3.140100;3.287400;4.987600;5.380500;5.033500;3.450100;5.501100;3.897200;4.373200;4.480000;4.882900;4.526300;3.427100;4.907100;4.884600;6.347900;5.047700;5.893600;4.373600;6.148100;4.904600;3.586000;3.275700;3.313700;4.409500;3.723300
0.020;2.898200;3.148900;3.138900;2.552000;2.964500;4.711500;2.927400;3.181400;3.176400;2.942800;3.179800;3.732900;2.825200;2.959900;2.545700;3.030400;3.772100;2.771000;2.924500;4.259300;3.198100;3.110500;3.942700;3.374600;3.058000;4.897100;3.349100;2.602000;2.934100;3.033300;3.269400;3.376200;3.347000;3.634000;3.034200;4.779900;3.206900;2.920700;3.815000;4.324000;3.237700;2.994600;2.940300;3.260700;4.927100;3.012500;3.838000;3.224400;3.299500;2.927400;3.835900;3.413300;3.835500;3.186400;2.989100;3.422900;3.102600;3.166000;2.990000;5.603300;3.000000;3.892600;3.824200;3.106300;5.256700;3.267400;3.624800;2.714200;4.797800;3.108000;3.447500;3.448000;3.532200;2.961600;3.979800;2.818500;3.057500;4.417800;2.781000;3.107200;3.060900;2.788500;3.386200;3.246100;3.248200;3.986100;2.783100;5.300900;3.653200;2.758900;3.435000;2.957400;3.094700;3.423400;3.690300;2.971200;2.947800;2.758400;2.886100;2.855200;3.135100;3.460500;5.401400;2.963700;3.107200;2.719200;3.020800;3.474700;5.289200;4.385300;3.271100;3.450500;4.011100;4.020700;4.001100;3.269900;3.644800;2.794300;3.513900;3.545600;2.965800;3.156000;3.269000;4.515400;3.113800;3.176800;5.720100;5.460200;3.540600;5.836500;3.292000;3.012900;5.021000;3.292000;3.137200;3.136000;3.970600;3.156000;4.530800;3.015000;3.281500;2.833900;3.449600;3.085900;3.075900;4.069100;3.064200;2.627500;3.101800;3.709500;3.140100;2.648300;3.478400;3.576400;3.477600;3.450100;3.724100;3.012500;3.156400;3.287800;3.274900;3.313600;2.823100;3.283200;4.884600;5.018500;2.729700;4.059900;4.373600;3.176400;3.389200;2.846500;3.275700;3.313700;3.118000;3.723300
0.030;2.139000;2.512800;2.548200;2.552000;2.253300;3.146400;2.927400;2.582400;2.379300;2.942800;2.554500;2.909000;2.825200;2.959900;2.545700;2.224100;2.910300;2.074800;2.924500;4.259300;2.576200;1.955000;3.025400;2.675900;2.394300;3.349500;2.640800;2.602000;2.934100;3.033300;2.566200;2.676700;2.650400;2.275000;2.252500;3.191400;2.608700;2.242900;2.908200;3.173900;2.683400;2.224900;2.189000;2.683000;3.356200;3.012500;2.972900;2.640000;2.620400;2.247500;2.931500;2.744300;2.237400;2.405600;2.989100;2.726300;2.343400;1.960500;2.990000;3.894300;2.230800;3.892600;3.007500;2.365500;3.470100;2.425200;2.070600;2.064800;3.218100;3.108000;2.799300;2.803900;2.766800;2.200300;3.063000;2.818500;2.351300;3.249000;2.781000;3.107200;2.313300;2.788500;2.761400;2.673800;2.658800;3.104300;2.783100;2.778500;2.906900;2.032600;2.662100;2.177400;2.439300;2.757200;2.959100;2.971200;2.278300;2.758400;2.886100;2.855200;2.390500;2.796000;2.830600;2.238700;2.343800;2.719200;2.381400;2.776000;3.545100;3.228100;2.622100;2.760100;3.127600;4.020700;3.163900;2.599100;2.208300;2.794300;2.801400;3.545600;2.163200;2.378900;2.639100;3.293200;2.479800;2.552800;3.898500;3.630700;3.540600;4.053200;3.292000;3.012900;3.485900;3.292000;2.374700;2.459000;3.158100;2.353900;3.271900;2.320000;2.536500;2.833900;2.815200;3.085900;3.075900;3.084600;3.064200;2.627500;2.305000;2.977400;2.434400;2.648300;2.802200;2.815600;2.756400;2.073900;2.972000;2.308400;2.546600;3.287800;3.274900;2.505300;2.328000;2.647100;3.292800;3.427500;2.729700;3.080900;3.162200;3.176400;2.793900;2.232000;2.031000;2.116100;2.494800;2.094000
0.040;1.820700;2.512800;2.041800;1.959600;2.020100;3.146400;2.258700;2.060600;2.379300;2.264200;2.049700;2.307100;1.872900;2.290400;1.999700;1.897500;2.201600;2.044300;2.371800;2.385500;2.576200;1.955000;2.237500;2.032200;2.071800;3.349500;2.006400;2.046000;1.955900;2.455600;2.566200;2.030600;1.983800;2.275000;2.252500;2.566200;2.048100;1.998900;2.324600;2.574900;2.107700;1.886600;2.189000;2.119800;2.669200;2.198600;2.302500;2.060200;2.620400;2.014700;2.374300;2.066800;2.237400;2.405600;2.178600;2.063100;2.343400;1.960500;2.449800;3.047500;1.897500;2.272900;2.322100;2.084400;2.854000;2.046400;2.070600;1.854900;2.621600;2.106900;2.298300;2.094400;2.766800;1.882500;2.265400;2.117300;2.046400;2.567800;2.065200;2.293300;2.313300;2.227800;2.761400;2.128200;2.096500;2.293400;2.063500;2.778500;2.096900;2.032600;2.127300;2.043900;2.006400;2.076000;2.170300;2.151900;2.278300;1.918400;1.958400;2.064300;2.390500;2.137300;2.830600;2.238700;2.343800;2.063500;2.087700;2.106900;2.879800;2.617000;2.364700;2.303400;3.127600;3.147200;2.385900;2.051000;2.208300;2.051400;2.282100;2.813900;1.992200;2.378900;2.338000;3.293200;2.206600;2.271200;2.976200;2.871100;2.892800;3.130100;2.187800;2.408500;2.776800;2.213200;2.374700;2.160700;2.399700;2.353900;3.271900;2.072300;2.048900;2.090200;2.197400;2.280400;2.360900;2.391800;2.465600;1.927500;1.961700;2.256600;2.114400;2.078100;2.802200;2.286300;2.756400;2.073900;2.972000;2.308400;2.252900;2.650800;2.207400;2.086100;2.328000;2.274600;2.564500;3.427500;2.065600;2.400500;2.564500;2.513600;2.793900;1.975100;2.031000;2.116100;2.147800;2.094000
0.050;1.820700;1.989700;1.923800;1.764800;1.938000;2.175300;2.010500;1.949200;1.778600;2.015900;1.937100;2.307100;1.872900;2.038900;1.917100;1.897500;2.201600;2.044300;1.903300;2.385500;2.054800;1.795700;1.895000;1.830700;2.071800;2.018500;2.006400;1.965500;1.955900;2.240800;1.853300;1.847400;1.983800;1.914200;1.914200;1.998400;1.973400;1.998900;2.120700;2.255400;2.003900;1.790300;1.902500;2.015100;2.131100;2.198600;2.053900;2.060200;1.980900;1.931700;2.136100;1.905800;1.997600;1.984700;2.178600;1.878300;1.831200;1.772800;2.199500;2.383500;1.897500;2.272900;2.322100;1.968800;2.272100;2.046400;1.901700;1.854900;2.080200;2.106900;2.298300;2.044300;1.776500;1.816100;1.904600;2.044300;2.046400;2.207400;2.065200;1.961700;1.991800;1.819500;2.148200;1.998400;2.096500;1.974300;2.001800;2.248300;1.948000;1.972200;2.127300;2.043900;1.890800;1.888700;2.013000;2.151900;1.965500;1.918400;1.958400;1.938800;2.082300;2.137300;2.261200;1.921300;1.963400;1.891200;2.013000;1.942500;2.879800;2.126900;2.364700;1.791500;2.088100;2.318800;2.056000;2.051000;2.080600;1.986300;1.867000;2.211200;1.992200;1.903300;1.869100;2.534900;2.206600;2.271200;2.225400;2.181100;2.292900;2.393500;2.187800;2.197000;2.147400;2.213200;1.963400;2.160700;2.101900;2.003400;2.035600;1.992600;1.935900;2.045100;2.197400;1.943800;2.056000;2.086000;2.227000;1.927500;1.820700;1.896700;2.008900;1.985100;1.986800;2.286300;2.088100;1.882900;2.349700;1.989700;2.252900;2.369300;2.207400;1.895800;1.946300;2.274600;2.097300;2.698400;1.895800;2.400500;2.244600;2.116900;2.195700;1.975100;1.857800;2.048900;2.147800;1.963800
0.060;1.732700;1.884100;1.905800;1.721000;1.822800;2.175300;1.944200;1.887900;1.778600;1.950400;1.937100;1.820300;1.744400;1.956300;1.887000;1.703100;1.971300;1.942600;1.833200;1.993400;1.950900;1.794800;1.771500;1.719800;1.917500;2.018500;1.814100;1.924200;1.874100;1.806100;1.853300;1.753200;1.727300;1.840700;1.768600;1.998400;1.973400;1.895800;2.120700;1.848200;1.937900;1.790300;1.819100;1.912500;1.722300;1.840300;1.963400;1.979300;1.823300;1.907900;1.818200;1.905800;1.929200;1.822000;1.855400;1.755700;1.831200;1.748600;1.879600;2.069300;1.759400;1.874600;1.985100;1.968800;1.960900;1.835800;1.786500;1.764000;1.983800;1.701900;1.962100;1.955900;1.776500;1.816100;1.786100;1.947100;1.928000;1.758600;1.947100;1.808700;1.887900;1.831600;1.956700;1.935000;1.942100;1.809000;1.949600;1.868300;1.783600;1.907500;1.805700;1.837000;1.890800;1.888700;1.835300;1.976300;1.965500;1.783600;1.765300;1.782400;1.926700;1.819900;1.981800;1.921300;1.836200;1.772400;2.013000;1.786500;2.017200;2.126900;1.827800;1.791500;2.088100;1.981700;1.892100;1.914200;1.899600;1.920000;1.867000;1.912500;1.836200;1.903300;1.869100;2.056000;1.845800;1.931700;1.977200;1.841200;1.997200;1.963400;1.733200;1.878700;1.930900;1.755200;1.963400;1.792400;1.958400;1.857900;2.035600;1.927900;1.960500;1.967100;1.864900;1.818700;1.712300;2.086000;1.895000;1.907500;1.755700;1.834900;2.008900;1.955500;1.986800;1.877900;1.902100;1.792800;2.023900;1.989700;1.896700;1.836600;1.897500;1.895800;1.910400;1.925400;2.020500;2.052700;1.803600;2.074300;2.244600;1.774900;2.056400;1.974700;1.803200;1.975900;1.812000;1.802000
0.070;1.732700;1.865400;1.850700;1.721000;1.822800;1.832000;1.865800;1.887900;1.721000;1.843300;1.920400;1.820300;1.681400;1.860400;1.883300;1.703100;1.930400;1.881600;1.833200;1.882000;1.912100;1.806600;1.771500;1.702700;1.917500;1.818200;1.725600;1.924200;1.717700;1.806100;1.819900;1.753200;1.727300;1.692700;1.700600;1.889600;1.872500;1.895800;1.877100;1.861200;1.937900;1.748600;1.814900;1.912500;1.722300;1.843300;1.892500;1.907500;1.793200;1.907900;1.898700;1.720200;1.906700;1.754400;1.846600;1.755700;1.733600;1.754400;1.896200;1.955900;1.759400;1.784000;1.985100;1.944200;1.984700;1.726000;1.741500;1.711900;1.983800;1.694300;1.962100;1.875800;1.809500;1.792000;1.786100;1.947100;1.928000;1.758600;1.947100;1.808700;1.894100;1.831600;1.828700;1.816100;1.942100;1.809000;1.885800;1.891700;1.783600;1.895000;1.805700;1.749800;1.907500;1.724800;1.734800;1.953000;1.921300;1.751500;1.764000;1.795300;1.821600;1.819900;1.737300;1.892900;1.749000;1.772400;1.921700;1.786500;2.017200;1.852000;1.818700;1.779400;1.719400;1.981700;1.892100;1.934200;1.775700;1.903800;1.931300;1.912500;1.742300;1.766500;1.844900;1.826200;1.938400;1.931700;1.977200;1.841200;2.016400;1.797800;1.751500;1.878700;1.930900;1.782400;1.960000;1.932100;1.958400;1.759000;1.828300;1.927900;1.899100;1.967100;1.864900;1.764800;1.712300;1.688900;1.895000;1.904600;1.755700;1.834900;1.899100;1.955500;1.850000;1.899600;1.778200;1.756900;1.697300;1.930900;1.966700;1.824100;1.968000;1.794500;1.770300;1.925400;1.988800;1.880800;1.803600;1.713100;1.959200;1.774900;1.944600;1.925800;1.789400;1.930900;1.932500;1.780700
0.080;1.832000;1.867900;1.850700;1.806500;1.803600;1.925900;1.827800;1.832000;1.700600;1.814500;1.882000;1.840800;1.771100;1.813200;1.858700;1.755700;1.885800;1.852000;1.714800;1.869500;1.854500;1.806600;1.711900;1.702700;1.851200;1.741100;1.741100;1.837000;1.729800;1.791100;1.838200;1.746500;1.730200;1.692700;1.746900;1.876200;1.872500;1.867000;1.877100;1.861200;1.827000;1.812000;1.857000;1.844100;1.771900;1.743500;1.837400;1.882500;1.788600;1.884100;1.898700;1.720200;1.906700;1.754400;1.762300;1.749000;1.714000;1.754400;1.807800;1.955900;1.812000;1.727700;1.862400;1.880400;1.984700;1.731500;1.741500;1.774000;1.961300;1.696000;1.807800;1.875800;1.744000;1.855400;1.703500;1.811600;1.859500;1.753600;1.897100;1.733600;1.883700;1.880400;1.733500;1.816100;1.880000;1.716000;1.900000;1.891700;1.713900;1.905800;1.742700;1.731500;1.907500;1.724800;1.734800;1.869900;1.897500;1.765300;1.789400;1.824500;1.736900;1.752300;1.737300;1.930900;1.754000;1.796100;1.856200;1.749000;1.994300;1.852000;1.678900;1.668500;1.705200;1.713500;1.765700;1.905400;1.775700;1.921300;1.834500;1.893300;1.769900;1.746500;1.844900;1.758200;1.879100;1.850300;1.924600;1.846200;1.864600;1.797800;1.711500;1.866200;1.802400;1.719400;1.946700;1.892000;1.804100;1.775700;1.764000;1.875400;1.937500;1.914200;1.755200;1.764800;1.802800;1.783200;1.807800;1.929600;1.805700;1.721900;1.899100;1.912500;1.774000;1.854100;1.737300;1.756900;1.705200;1.895400;1.857900;1.678100;1.861200;1.758200;1.755200;1.841200;1.988800;1.804500;1.855400;1.785700;1.959200;1.820300;1.840400;1.932100;1.789400;1.930900;1.866600;1.780700
0.090;1.832000;1.848700;1.837000;1.806500;1.699800;1.805700;1.827800;1.797000;1.748200;1.814500;1.850400;1.814900;1.771100;1.746500;1.858700;1.744400;1.886600;1.385700;1.714800;1.869500;1.819100;0.900500;1.743100;1.741900;1.794500;1.736500;1.782800;1.837000;1.729800;1.791100;1.872000;1.782800;1.768200;1.695200;1.762400;1.808200;1.674300;1.782800;1.820300;1.733100;1.750300;1.829100;1.855400;1.791100;1.685600;1.743500;1.837400;1.882500;1.858700;1.825300;1.811600;1.755700;1.829900;1.808700;1.749000;1.771100;1.711900;1.412800;1.807800;1.832000;1.837800;1.727700;1.817800;1.808200;1.825300;1.729400;1.525000;1.336500;1.897100;1.696000;1.871600;1.870800;1.848300;1.854900;1.736900;1.811600;1.842400;1.681000;1.883300;1.733600;1.865000;1.880400;1.720600;1.792800;1.838700;1.733100;1.900000;1.902100;1.759000;1.511600;1.752800;1.407300;1.896600;1.793600;1.768600;1.869900;1.835700;1.765300;1.789400;1.824500;1.708500;1.739800;1.853300;1.876600;1.803600;1.796100;1.756500;1.758200;1.873700;1.780700;1.713100;1.802000;1.713100;1.713500;1.729000;1.912100;1.276400;1.921300;1.919600;1.893300;1.565900;1.721100;1.865800;1.758200;1.845400;1.792400;1.909200;1.802800;1.864600;1.718500;1.711500;1.866200;1.754000;1.719400;1.912900;1.892100;1.789000;1.796500;1.778600;1.804900;1.937500;1.914200;1.754000;1.764800;1.802800;1.760300;1.807800;1.929600;1.824500;1.788600;1.819100;1.912500;1.752700;1.920400;1.775700;1.832000;1.739400;1.769400;1.857900;1.678100;1.861200;1.779400;1.672600;1.914200;1.924600;1.804500;1.855400;1.792800;1.867900;1.820300;1.809900;1.932100;0.913100;1.509600;1.932100;1.681800
0.100;0.692400;1.848700;1.238800;1.340600;0.377900;1.805700;1.726900;1.231300;1.748200;1.625900;1.258900;1.759800;0.223500;1.746500;0.210200;0.377500;1.753600;0.147200;1.672200;1.888700;1.819100;0.900500;1.774900;1.344000;0.506800;1.736500;1.341900;1.286000;0.299000;1.853300;1.872000;1.359400;1.296800;1.695200;1.762400;1.562900;1.264700;0.671100;1.804500;1.721900;1.102000;0.396200;1.855400;1.256800;1.797800;1.519200;1.733600;1.303500;1.858700;0.450500;1.811600;1.294300;1.829900;1.808700;1.545800;1.523800;1.711900;1.412800;1.792000;1.769000;0.814600;1.832000;1.737300;1.808200;1.805700;0.642300;1.525000;0.319100;1.890000;1.647200;1.773600;1.421100;1.848300;0.451700;1.761100;1.397800;0.594400;1.695200;1.629300;1.717300;1.865000;1.850800;1.720600;1.245900;1.298100;1.731100;1.623900;1.902100;1.379000;1.511600;0.774100;0.186000;1.181700;1.375700;1.423200;0.265700;1.835700;0.394100;0.306100;1.570900;1.708500;1.333900;1.853300;1.876600;1.803600;1.544600;1.756500;1.522500;1.854500;1.754400;1.709400;1.792400;1.713100;1.739400;1.700600;1.339400;1.276400;1.512100;1.919600;1.912500;0.367400;1.721100;1.788200;1.777800;1.653900;1.548300;1.920000;1.886600;1.852900;1.786500;1.658500;1.812400;1.771500;1.654700;0.708700;1.747800;1.675200;1.796500;1.778600;0.479200;0.880100;1.503300;1.296000;1.637200;1.836600;1.842000;1.767800;0.346600;0.519300;1.781100;0.642800;1.375700;1.752700;1.880400;1.775700;1.381100;1.739400;1.769400;1.628400;1.735700;1.771100;0.880900;1.672600;1.817800;1.915000;1.807000;1.420300;1.875000;1.837000;1.921700;1.809900;0.714900;0.913100;1.509600;1.766900;1.681800
