TimeStamp;2025-07-07 10-55-28;2025-07-07 10-55-46;2025-07-07 10-56-04;2025-07-07 10-56-22;2025-07-07 10-56-41;2025-07-07 10-56-59;2025-07-07 10-57-17;2025-07-07 10-57-36;2025-07-07 10-57-54;2025-07-07 10-58-12;2025-07-07 10-58-30;2025-07-07 10-58-48;2025-07-07 10-59-06;2025-07-07 10-59-25;2025-07-07 10-59-43;2025-07-07 11-00-01;2025-07-07 11-00-19;2025-07-07 11-00-37;2025-07-07 11-00-55;2025-07-07 11-01-13;2025-07-07 11-01-31;2025-07-07 11-01-50;2025-07-07 11-02-08;2025-07-07 11-02-27;2025-07-07 11-02-45;2025-07-07 11-03-03;2025-07-07 11-03-21;2025-07-07 11-03-39;2025-07-07 11-03-58;2025-07-07 11-04-16;2025-07-07 11-04-35;2025-07-07 11-04-53;2025-07-07 11-05-11;2025-07-07 11-05-29;2025-07-07 11-05-47;2025-07-07 11-06-05;2025-07-07 11-06-24;2025-07-07 11-06-42;2025-07-07 11-07-01;2025-07-07 11-07-19;2025-07-07 11-07-37;2025-07-07 11-07-57;2025-07-07 11-08-16;2025-07-07 11-08-36;2025-07-07 11-08-54;2025-07-07 11-09-13;2025-07-07 11-09-31;2025-07-07 11-09-49;2025-07-07 11-10-07;2025-07-07 11-10-28;2025-07-07 11-10-46;2025-07-07 11-11-04;2025-07-07 11-11-22;2025-07-07 11-11-41;2025-07-07 11-11-59;2025-07-07 11-12-17;2025-07-07 11-12-35;2025-07-07 11-12-53;2025-07-07 11-13-12;2025-07-07 11-13-30;2025-07-07 11-13-48;2025-07-07 11-16-37;2025-07-07 11-16-56;2025-07-07 11-17-14;2025-07-07 11-17-32;2025-07-07 11-17-50;2025-07-07 11-18-08;2025-07-07 11-18-26;2025-07-07 11-18-44;2025-07-07 11-19-03;2025-07-07 11-19-21;2025-07-07 11-19-39;2025-07-07 11-19-57;2025-07-07 11-20-15;2025-07-07 11-20-35;2025-07-07 11-20-54;2025-07-07 11-21-12;2025-07-07 11-21-31;2025-07-07 11-21-49;2025-07-07 11-22-07;2025-07-07 11-22-26;2025-07-07 11-22-44;2025-07-07 11-23-02;2025-07-07 11-23-20;2025-07-07 11-23-38;2025-07-07 11-23-57;2025-07-07 11-24-15;2025-07-07 11-24-34;2025-07-07 11-24-52;2025-07-07 11-25-10;2025-07-07 11-25-28;2025-07-07 11-25-46;2025-07-07 11-26-04;2025-07-07 11-26-23;2025-07-07 11-26-41;2025-07-07 11-26-59;2025-07-07 11-27-17;2025-07-07 11-27-35;2025-07-07 11-27-54;2025-07-07 11-28-12;2025-07-07 11-28-30;2025-07-07 11-28-49;2025-07-07 11-29-07;2025-07-07 11-29-24;2025-07-07 11-29-43;2025-07-07 11-30-01;2025-07-07 11-30-19;2025-07-07 11-30-37;2025-07-07 11-30-55;2025-07-07 11-31-14;2025-07-07 11-31-32;2025-07-07 11-31-50;2025-07-07 11-32-09;2025-07-07 11-32-27;2025-07-07 11-32-45;2025-07-07 11-33-03;2025-07-07 11-33-23;2025-07-07 11-33-44;2025-07-07 11-34-02;2025-07-07 11-34-20;2025-07-07 11-34-38;2025-07-07 11-34-57;2025-07-07 11-35-15;2025-07-07 11-35-33;2025-07-07 11-35-51;2025-07-07 11-38-21;2025-07-07 11-38-39;2025-07-07 11-38-57;2025-07-07 11-39-15;2025-07-07 11-39-33;2025-07-07 11-39-51;2025-07-07 11-40-10;2025-07-07 11-40-28;2025-07-07 11-40-47;2025-07-07 11-41-05;2025-07-07 11-41-23;2025-07-07 11-41-41;2025-07-07 11-41-59;2025-07-07 11-42-17;2025-07-07 11-42-35;2025-07-07 11-42-53;2025-07-07 11-43-12;2025-07-07 11-43-31;2025-07-07 11-43-49;2025-07-07 11-44-07;2025-07-07 11-44-26;2025-07-07 11-44-44;2025-07-07 11-45-02;2025-07-07 11-45-20;2025-07-07 11-45-39;2025-07-07 11-45-57;2025-07-07 11-46-16;2025-07-07 11-46-34;2025-07-07 11-46-52;2025-07-07 11-47-10;2025-07-07 11-47-29;2025-07-07 11-47-47;2025-07-07 11-48-06;2025-07-07 11-48-24;2025-07-07 11-48-42;2025-07-07 11-49-00;2025-07-07 11-49-18;2025-07-07 11-49-36;2025-07-07 11-49-55;2025-07-07 11-50-13;2025-07-07 11-50-32;2025-07-07 11-50-50;2025-07-07 11-51-09;2025-07-07 11-51-27;2025-07-07 11-51-45;2025-07-07 11-52-03;2025-07-07 11-52-21;2025-07-07 11-52-40;2025-07-07 11-52-59;2025-07-07 11-53-17;2025-07-07 11-53-35;2025-07-07 11-53-53;2025-07-07 11-54-11;2025-07-07 11-54-29;2025-07-07 11-54-48;2025-07-07 11-55-06;2025-07-07 11-55-24;2025-07-07 11-55-42;2025-07-07 11-56-00;2025-07-07 11-56-19;2025-07-07 11-56-37;2025-07-07 11-56-55;2025-07-07 11-57-13;2025-07-07 11-57-31
0.010;4.545000;5.527400;3.830500;5.412700;4.657200;4.257200;4.688100;3.846300;4.531700;4.686400;3.883500;2.954100;3.718700;4.694300;5.571200;4.545000;4.722300;3.893100;5.019300;3.554300;3.900500;4.593400;4.556300;3.744100;4.734000;3.772500;3.774200;5.627100;4.170900;4.706000;5.553600;3.799600;3.799600;4.159200;3.214800;3.911400;5.633300;4.748200;5.655800;4.208400;5.654200;4.630500;4.662600;3.879300;4.195900;2.922800;4.726500;3.930200;3.872600;3.370400;5.699600;5.535700;4.768200;4.580900;5.673400;5.528200;6.389200;3.527600;2.995000;4.693100;4.633000;3.541000;4.748600;4.787800;4.305600;4.615500;3.816700;5.533200;3.929800;3.781700;5.219900;3.942300;3.562300;4.694800;4.618400;3.919800;4.789500;4.181300;5.675500;4.597600;4.763600;3.603600;5.572400;3.913100;5.702100;4.615900;5.688400;3.596100;3.805000;3.964400;4.624300;4.780700;3.040800;4.657200;4.629700;6.159300;5.089400;4.633000;6.552700;4.359400;3.908100;4.378600;3.480100;3.812500;3.821700;3.636100;5.576600;2.932400;3.976500;4.813700;3.811300;5.576600;5.577800;4.688500;3.833800;3.095100;4.802800;4.641400;5.594100;4.809900;3.848400;4.368200;5.219500;4.671000;4.653500;3.828000;4.658100;4.704000;4.004000;3.846300;4.004900;3.630300;4.413200;3.815900;4.707300;6.594400;3.505500;4.418600;4.369000;4.835800;4.313900;6.239000;3.539300;4.262600;5.769700;5.607900;3.108000;4.843300;4.428200;4.734400;4.667200;3.520100;4.852000;4.807800;5.752600;3.851300;4.700600;3.930600;3.922700;3.946000;5.728400;3.304000;4.255100;4.847900;4.043600;5.674200;5.299600;5.632500;3.873400;3.017100;4.837800;4.407400;6.539700;4.416500;4.672700;4.271400;4.843700;3.460100;5.662900;5.647500;5.687600;4.397800;4.379800;3.957700;4.434100;4.676000;4.013200;3.275300;3.892600
0.020;3.228100;3.842600;3.830500;3.745000;3.222300;3.093800;3.249400;3.846300;3.143000;3.229800;3.883500;2.954100;2.908600;4.694300;3.892200;3.188100;3.318200;3.008700;3.374100;3.554300;3.900500;3.265300;4.556300;3.744100;3.302400;2.945700;3.774200;3.903100;3.011200;3.322400;3.886000;3.799600;2.978700;2.999100;3.214800;3.911400;3.935200;3.347800;3.915200;3.015000;2.967400;2.782200;3.329100;3.879300;3.115500;2.922800;4.726500;3.930200;3.037100;3.370400;5.699600;3.777100;3.380400;4.580900;3.867200;2.949500;4.583000;2.876500;2.995000;3.265200;3.318600;3.541000;3.291100;3.339100;4.305600;3.188900;3.816700;3.792500;3.057500;2.944900;3.565200;3.046700;2.956600;3.310700;4.618400;3.015400;3.342800;3.028300;3.950600;4.597600;3.352900;3.603600;3.797500;3.913100;3.934000;3.214800;3.061700;2.937400;3.805000;3.083000;3.210600;4.780700;3.040800;3.269900;3.224000;6.159300;3.437600;3.224400;3.314900;3.204400;3.046700;3.185200;3.480100;2.950800;2.915300;3.636100;3.803800;2.932400;3.063400;3.398300;2.954900;3.837200;3.872600;3.267300;2.927000;3.095100;3.423800;3.277400;5.594100;3.381200;3.848400;3.188900;3.531800;3.243600;3.296100;3.828000;3.244800;3.229400;4.004000;3.846300;4.004900;3.630300;3.251500;2.954100;3.239400;4.856600;3.505500;3.194800;3.151800;3.407100;3.191000;4.408600;3.539300;4.262600;4.001500;3.839200;3.108000;3.421700;4.428200;4.734400;3.261100;3.520100;3.400000;2.846500;4.015300;2.954900;2.793900;3.086700;3.064600;3.005400;4.011500;3.304000;3.103800;3.421700;4.043600;3.870500;3.675700;5.632500;3.011200;3.017100;3.424200;3.171000;4.696500;3.234800;3.282800;4.271400;3.445900;3.460100;3.063400;5.647500;3.949400;3.191000;3.246900;3.957700;3.261500;3.329100;3.112600;3.275300;3.892600
0.030;2.721700;3.019600;2.410200;2.957400;3.222300;2.542800;2.667100;2.969900;2.646200;3.229800;3.018300;1.882900;2.353800;2.669200;3.036700;2.675400;3.318200;3.008700;2.767600;2.897300;2.446800;2.745500;3.212300;2.457700;2.622100;2.465600;2.486100;3.018700;2.489000;2.703400;3.048400;2.946200;2.489400;2.999100;2.113600;2.409700;3.050400;2.747200;3.007100;2.406800;2.967400;2.782200;2.788100;2.981200;2.533600;2.270400;2.612000;2.471000;2.564500;2.778100;3.931000;2.932800;3.380400;2.712100;2.962400;2.949500;3.228100;2.447300;2.314600;2.658800;2.801800;2.936600;2.679600;2.755500;3.125900;2.689600;2.507300;2.957800;2.238300;2.944900;2.872300;2.351300;2.366700;2.704600;2.723000;2.419300;2.773000;2.523200;3.059600;3.196400;2.829800;2.954900;2.892800;2.990400;3.027100;2.698000;3.061700;2.170300;2.921100;3.083000;2.673800;3.309100;2.017200;2.775600;2.666700;3.125100;2.806800;2.698400;3.314900;3.204400;2.575300;2.639600;2.856100;2.474400;2.310400;2.985400;2.968700;2.338000;3.063400;2.691300;2.954900;2.993700;3.024600;2.665400;2.440600;2.486500;2.753900;2.740900;2.988300;2.650000;2.947000;3.188900;2.831400;2.678800;2.759700;2.995400;2.598300;2.676700;2.556600;2.950300;2.464000;2.179100;2.695100;2.354700;2.688400;3.385400;2.882800;2.639200;2.448900;2.749300;3.191000;3.180200;2.906100;2.625400;4.001500;2.967900;2.535700;2.760500;2.698800;3.287400;2.748000;2.908200;2.788100;2.846500;3.102600;2.417600;2.793900;2.470600;3.064600;2.331300;3.121300;2.791800;2.530700;2.794300;3.136800;2.955700;3.675700;2.995800;3.011200;2.459800;2.772600;2.614100;3.275300;2.661700;2.742600;2.541100;2.816800;2.842700;3.063400;3.044200;3.097600;2.614500;2.730500;2.437700;3.261500;3.329100;3.112600;2.078900;3.043800
0.040;2.336700;2.456400;2.410200;2.957400;2.627500;2.065200;2.667100;2.387600;2.646200;2.660800;2.444700;1.882900;2.061400;2.669200;3.036700;2.111500;2.185700;1.937900;2.074300;2.163200;2.446800;2.383400;2.617100;2.457700;2.021400;2.465600;2.486100;2.455600;2.489000;2.010500;2.537000;2.494800;2.489400;2.519000;2.113600;2.409700;2.465600;2.278300;2.454000;1.957100;2.323800;2.170700;2.385100;2.392200;2.122700;1.912500;2.612000;2.471000;2.564500;2.301300;3.024200;2.453100;2.784700;2.712100;2.390100;2.496100;2.657900;2.447300;1.937100;2.658800;2.386000;2.448500;2.679600;2.046800;2.421800;2.083500;2.507300;2.243700;2.066000;2.455600;2.081000;1.946700;2.366700;2.178200;2.723000;1.907100;2.061800;2.523200;2.490200;2.678800;2.829800;2.217000;2.379700;2.297100;2.409700;2.297900;2.510300;2.055200;2.351700;2.035100;2.285800;2.713400;2.017200;2.775600;2.274600;3.125100;2.333400;2.316700;2.711300;2.587400;2.217400;2.241200;2.406800;2.474400;1.990100;2.424300;2.491900;2.038900;2.375900;2.096000;2.164500;2.504800;2.533600;2.665400;2.149400;2.081000;2.136500;2.740900;2.988300;2.027600;2.396000;2.100600;2.296300;2.051800;2.141500;2.406400;2.125300;2.272900;2.556600;2.390900;2.464000;2.179100;2.320400;2.045200;2.688400;2.790200;2.202400;2.639200;2.448900;2.749300;2.291300;3.180200;2.458900;2.625400;3.042500;2.967900;2.119000;2.172800;2.698800;2.690100;2.748000;2.428900;2.194500;2.194900;2.300400;2.122700;2.184500;2.122300;2.123200;1.957600;2.571600;2.390500;2.530700;2.072700;2.451400;2.955700;2.349700;2.995800;2.307900;2.124800;2.772600;2.614100;3.275300;2.011800;2.319600;2.541100;2.816800;2.159000;2.335900;3.044200;2.493200;2.614500;2.115600;2.437700;2.195800;2.782200;2.521100;2.078900;2.563200
0.050;1.932900;2.456400;2.039700;2.471500;2.093600;1.765700;2.205300;2.036400;1.963400;2.094800;1.954700;1.819500;2.061400;2.124400;2.477700;2.100600;2.185700;1.937900;2.090600;2.039300;1.945400;2.383400;2.127800;2.189500;1.963400;2.081000;2.229900;2.068100;2.197800;2.010500;2.199500;2.208300;2.218300;1.996300;2.145700;1.990500;2.095200;2.278300;2.454000;1.986800;1.914600;2.151900;2.385100;2.050600;2.122700;1.940100;2.023500;2.068500;2.214500;1.858700;2.358800;2.036800;2.321700;2.124800;2.390100;2.182400;2.657900;2.060200;1.936300;1.867900;2.386000;2.026400;1.827800;1.951300;1.952500;2.083500;2.219100;2.185700;2.066000;2.205700;2.081000;1.946700;2.008000;2.107700;2.251600;1.853300;1.958800;2.026400;2.109400;2.297100;1.918300;2.094400;2.379700;1.911300;2.409700;2.297900;2.107700;2.055200;2.065600;2.035100;1.973800;2.132800;2.026800;2.383800;2.274600;2.553700;1.996800;2.316700;2.135200;2.088500;2.217400;2.241200;2.180300;2.200300;1.990100;1.986300;2.192400;2.048900;1.975100;2.096000;2.164500;2.235400;2.533600;1.915400;2.149400;2.000500;2.092300;2.015100;2.528200;2.015500;2.062700;2.100600;1.907900;2.051800;2.141500;2.101000;2.129000;2.272900;2.169100;2.097700;2.059300;2.064800;2.320400;2.045200;2.291700;2.063500;2.176100;2.139400;1.995900;2.065200;2.291300;2.603300;2.208700;2.129000;2.463100;2.207800;2.145700;2.172800;2.085600;2.257500;2.007600;2.077700;1.849100;2.082300;2.126500;2.122700;2.163600;2.067700;2.123200;1.957600;2.571600;2.062300;2.146100;1.992600;2.043100;2.154000;2.349700;2.515700;2.214900;2.116500;1.870000;1.968800;2.699600;1.962200;2.319600;2.144400;2.111500;2.035600;2.238700;2.555300;2.493200;2.225400;2.115600;2.071800;2.195800;2.388000;2.120700;2.030600;2.238300
0.060;1.882900;2.091900;1.739800;2.197800;1.799900;1.779000;1.792400;2.036400;1.963400;1.804100;1.954700;1.766100;2.066800;1.820300;2.116900;2.100600;1.847800;1.866200;2.090600;1.848300;1.839900;1.988800;2.127800;1.928400;1.814900;2.031400;1.943400;1.735200;1.873700;1.804500;2.199500;1.938800;1.932100;2.020100;2.018100;1.913800;1.767800;1.808200;1.767800;1.938000;1.896700;1.998000;1.984200;1.767700;1.970900;1.874100;1.972600;1.775300;1.926300;1.822400;2.358800;2.036800;1.873700;2.108200;1.909200;1.964600;1.955500;2.018900;1.865400;1.867900;1.965500;1.958400;1.827800;1.951300;1.918800;2.006400;1.962600;2.185700;1.822000;1.940500;1.852000;1.812800;1.947100;1.958800;2.023500;1.853300;1.835300;2.026400;1.791600;1.985100;1.918300;2.094400;1.960900;1.889500;1.774000;2.000500;1.786500;1.876600;2.061400;1.944600;1.990900;1.821200;1.969200;2.016400;1.983400;1.952100;2.024700;1.978800;1.841200;2.012200;1.922500;1.810300;1.937500;1.957200;1.988400;1.986300;1.976300;2.048900;1.907900;2.013500;2.054300;2.235400;2.249500;1.915400;1.920800;2.000500;2.092300;2.015100;2.217000;2.015500;2.087700;1.840400;1.920400;2.051400;2.017200;2.094800;2.129000;1.999700;1.839500;1.872500;1.956700;1.869500;1.862400;2.008900;1.951700;1.974300;2.176100;1.823200;1.955900;2.065200;1.951300;1.980100;2.208700;2.102300;1.944200;2.207800;2.038000;1.916300;1.973400;1.923400;2.007600;2.071900;1.849100;1.930000;1.915000;1.915800;2.053500;2.067700;2.097300;1.968800;2.202800;2.062300;2.146100;1.992600;1.942100;2.154000;1.997200;2.240800;2.108100;2.116500;1.870000;1.928400;2.083100;1.832400;2.020600;1.911200;2.012600;1.878700;2.077300;2.249600;2.144400;1.842400;2.054700;1.834100;1.887500;2.052200;1.821600;1.847900;2.007200
0.070;1.882900;1.759800;1.746100;1.894600;1.818200;1.779000;1.811600;1.785300;2.000500;1.827800;1.847000;1.813700;1.975100;1.857900;1.783200;1.982200;1.826100;1.792000;1.994300;1.797000;1.757800;1.960100;2.016400;1.963400;1.814900;1.940900;1.940000;1.735200;1.937900;1.804500;1.871600;1.948000;1.935000;1.953000;1.960900;1.786100;1.767800;1.808200;1.767800;1.938000;1.896700;1.998000;1.912500;1.823300;1.970900;1.918800;1.837900;1.789000;1.893700;1.746100;1.901700;1.968000;1.828200;1.985100;1.896700;1.964600;1.955500;1.910000;1.916700;1.907900;1.965500;1.799900;1.843700;1.825700;1.827800;2.006400;1.963400;2.065200;1.822000;1.984300;1.852000;1.812800;1.790700;1.958800;2.040600;1.827800;1.835300;1.989700;1.791600;2.001800;1.862100;1.831600;1.975100;1.822000;1.774000;2.000500;1.786500;1.801500;2.014700;1.816600;1.990900;1.867000;1.998000;2.006400;1.983400;1.911300;2.024700;2.028900;1.841200;1.868700;1.900400;1.810300;1.953800;1.999700;1.988400;1.900000;1.976300;1.962500;1.820700;1.869100;2.027700;1.977600;1.973400;1.972200;1.995900;1.777800;1.905800;2.020100;1.970900;1.880000;2.041800;1.844500;1.920400;1.999300;2.017200;1.993800;2.057700;1.999700;1.819500;1.961300;1.849900;1.804500;1.844900;2.008900;2.025600;1.974300;2.003000;1.856200;1.903300;1.912500;1.951300;1.943800;1.956300;2.004700;1.897100;1.964200;1.984300;1.916300;1.843300;1.964700;2.043900;1.942900;1.879600;1.930000;1.915000;1.973000;2.053500;1.924200;1.967100;1.910000;1.861200;1.952600;2.048100;1.840300;1.843700;1.923300;1.943000;1.977600;2.025600;1.909600;1.844500;1.856200;2.091400;1.832400;2.020600;1.975500;1.849900;1.842000;2.077300;1.974300;2.094800;1.866600;1.882900;1.915900;1.868300;2.040500;1.838200;1.823200;1.991700
0.080;1.740700;1.748600;1.746100;1.870000;1.814900;1.771900;1.750200;1.785300;1.887000;1.774000;1.751100;1.813700;1.924200;1.857900;1.780700;1.942100;1.761900;1.821600;1.988400;1.797000;1.757800;1.827800;2.016400;1.963400;1.812000;1.882500;1.940000;1.781100;1.902500;1.826600;1.836600;1.948000;1.834500;1.973800;1.960900;1.786100;1.785300;1.752800;1.794900;1.939200;1.863300;1.832000;1.788600;1.823300;1.907900;1.918800;1.837900;1.789000;1.779400;1.746100;1.901700;1.968000;1.736100;1.985100;1.844900;1.895400;1.983400;1.832400;1.916700;1.880800;1.843300;1.799900;1.803600;1.791900;1.827800;1.990500;1.963400;2.009700;1.827800;1.901700;1.823700;1.814500;1.771500;1.783600;2.040600;1.827800;1.792400;1.972600;1.786100;2.001800;1.727300;1.831600;1.937100;1.822000;1.821200;1.930400;1.747300;1.801200;2.014700;1.761500;1.951700;1.867000;1.998000;1.852900;1.942100;1.911300;1.955900;1.942100;1.834500;1.801600;1.795300;1.747800;1.953800;1.908700;1.977200;1.774000;1.981300;1.962500;1.829900;1.806100;1.980500;1.989300;1.983000;1.924200;1.944200;1.777800;1.832800;1.926300;1.970900;1.899200;2.041800;1.837000;1.883300;2.018900;1.988800;1.993800;2.001800;1.937500;1.819500;1.961300;1.849900;1.804500;1.757800;1.969700;1.942100;1.861600;2.003000;1.811200;1.914200;1.807800;1.856600;1.863300;1.956300;2.004700;1.843300;2.020100;1.984300;1.834500;1.843300;1.964700;1.932900;1.942900;1.825800;1.787400;1.859500;1.966300;1.885800;1.854900;1.876600;1.943400;1.851600;1.952600;1.997600;1.846200;1.843700;2.008800;1.818200;1.977600;1.943400;1.909600;1.808700;1.876200;2.007600;1.839900;1.955900;1.975500;1.834100;1.842000;1.895400;1.983400;1.948400;1.833300;1.832800;1.915900;1.810700;1.951300;1.831200;1.823200;1.991700
0.090;1.746500;1.723100;1.823700;1.786100;1.814900;1.846200;1.867500;1.798600;1.900800;1.857900;1.791500;1.336000;1.844900;1.890400;1.742700;1.855800;1.761900;1.821600;1.985100;1.772300;1.834100;1.795700;1.932500;1.832800;1.846200;1.808600;1.792400;1.755300;1.952500;1.852400;1.758600;1.854900;1.792400;1.973800;1.053600;1.805700;1.764400;1.818300;1.771500;1.955500;1.863300;1.832000;1.767300;1.847400;1.825700;1.930500;1.880000;1.860300;1.776900;1.817000;1.809000;1.970100;1.736100;1.853700;1.915800;1.895400;1.932100;1.792400;1.953400;1.963400;1.814500;1.749400;1.900400;1.840800;1.852400;1.945100;1.826600;1.958400;1.827800;1.901700;1.875400;1.771500;1.752300;1.783600;1.936700;1.895800;1.826600;1.920000;1.750200;1.932100;1.774000;1.782800;1.960100;1.852000;1.814500;1.930400;1.747300;1.694400;1.950900;1.761500;1.963800;1.815300;1.454900;1.850400;1.955500;1.859500;1.980900;1.934600;1.834500;1.801600;1.777800;1.862900;1.882100;1.880400;1.977200;1.794900;1.903300;1.912900;1.829900;1.839500;1.980500;1.914600;1.865800;1.978400;1.931700;1.768600;1.821600;1.908700;1.885400;1.932100;1.983400;1.837000;1.974200;1.988400;1.880800;1.930400;1.953400;1.984700;1.805300;1.965500;1.799500;1.646000;1.817000;1.919600;1.986300;1.837400;1.922500;1.877500;1.954600;1.801100;1.856600;1.885800;1.878700;1.863700;1.843300;1.958800;1.871600;1.834500;1.682700;1.934600;1.946300;1.936300;1.877500;1.787400;1.808200;1.966700;1.885800;1.787400;1.817400;1.955500;1.769400;1.912500;1.942500;1.856200;1.824100;1.972600;1.818200;1.920800;1.943400;1.818600;1.862400;1.942600;2.040100;1.874600;1.975500;1.982200;1.816200;1.810700;1.895400;1.879100;1.884100;1.937100;1.806500;1.983000;1.810700;1.951300;1.831200;0.985200;1.897500
0.100;1.716000;1.780700;1.823700;1.786100;1.878300;1.731500;1.867500;1.869100;1.809500;1.857900;1.827000;1.336000;0.631000;1.890400;1.742700;1.521600;1.822800;0.814200;1.695600;1.624700;1.834100;1.757800;1.874500;1.832800;0.945200;1.163300;1.792400;1.831200;1.952500;1.634300;1.764000;1.820300;1.792400;1.939600;1.053600;1.805700;1.830300;1.864100;1.862400;1.185000;1.871200;1.483300;1.759800;1.904600;0.806700;0.903500;1.880000;1.860300;1.776900;1.867000;1.844100;1.880400;1.787400;1.853700;1.950900;1.877900;1.940900;1.792400;0.955600;1.963400;1.749000;1.749400;1.900400;1.547100;1.912500;1.425700;1.826600;1.699800;0.513400;1.850300;1.742300;0.915100;1.752300;0.954400;1.890000;1.292700;1.561300;1.920000;1.811100;1.938400;1.774000;1.585900;1.960100;1.852000;1.877500;1.824500;1.817400;0.481700;1.886200;0.774600;1.888700;1.879100;1.454900;1.850400;1.890800;1.859500;1.894200;1.856600;1.906700;1.804000;1.593000;1.876200;1.835800;1.880400;0.844700;1.775300;1.874500;0.845900;1.876200;1.154600;0.537300;1.847400;1.810300;1.978400;1.762800;0.911800;1.156700;1.908700;1.885400;1.245500;1.936300;1.899600;1.965100;1.660100;1.557100;1.850800;1.126700;1.934600;1.805300;1.973400;1.799500;1.646000;1.822800;0.857600;1.986300;1.889100;1.624300;1.877500;0.899300;1.801100;1.692300;1.885800;1.816600;1.863700;1.872900;1.958800;0.967300;1.049100;1.682700;1.995900;1.946300;1.830700;1.915400;1.459500;1.736900;1.701400;1.508700;0.729500;0.749500;0.948100;1.769400;1.797400;1.942500;1.627200;1.817400;1.972600;1.833200;1.920800;1.682300;0.772100;1.862400;1.942600;2.040100;1.483700;1.867900;1.982200;1.816200;1.665600;1.728100;1.879100;1.805700;1.937100;1.467000;1.983000;1.834900;1.912100;1.890400;0.985200;1.852000
