TimeStamp;2025-07-07 10-55-28;2025-07-07 10-55-46;2025-07-07 10-56-04;2025-07-07 10-56-22;2025-07-07 10-56-41;2025-07-07 10-56-59;2025-07-07 10-57-18;2025-07-07 10-57-36;2025-07-07 10-57-54;2025-07-07 10-58-12;2025-07-07 10-58-30;2025-07-07 10-58-48;2025-07-07 10-59-06;2025-07-07 10-59-25;2025-07-07 10-59-43;2025-07-07 11-00-01;2025-07-07 11-00-19;2025-07-07 11-00-37;2025-07-07 11-00-55;2025-07-07 11-01-13;2025-07-07 11-01-31;2025-07-07 11-01-50;2025-07-07 11-02-08;2025-07-07 11-02-27;2025-07-07 11-02-45;2025-07-07 11-03-03;2025-07-07 11-03-21;2025-07-07 11-03-39;2025-07-07 11-03-58;2025-07-07 11-04-16;2025-07-07 11-04-35;2025-07-07 11-04-53;2025-07-07 11-05-11;2025-07-07 11-05-29;2025-07-07 11-05-47;2025-07-07 11-06-05;2025-07-07 11-06-24;2025-07-07 11-06-42;2025-07-07 11-07-01;2025-07-07 11-07-19;2025-07-07 11-07-37;2025-07-07 11-07-57;2025-07-07 11-08-16;2025-07-07 11-08-36;2025-07-07 11-08-54;2025-07-07 11-09-13;2025-07-07 11-09-31;2025-07-07 11-09-49;2025-07-07 11-10-07;2025-07-07 11-10-28;2025-07-07 11-10-46;2025-07-07 11-11-04;2025-07-07 11-11-22;2025-07-07 11-11-41;2025-07-07 11-11-59;2025-07-07 11-12-17;2025-07-07 11-12-35;2025-07-07 11-12-53;2025-07-07 11-13-12;2025-07-07 11-13-30;2025-07-07 11-13-48;2025-07-07 11-16-37;2025-07-07 11-16-56;2025-07-07 11-17-14;2025-07-07 11-17-32;2025-07-07 11-17-50;2025-07-07 11-18-08;2025-07-07 11-18-26;2025-07-07 11-18-44;2025-07-07 11-19-03;2025-07-07 11-19-21;2025-07-07 11-19-39;2025-07-07 11-19-57;2025-07-07 11-20-15;2025-07-07 11-20-35;2025-07-07 11-20-54;2025-07-07 11-21-12;2025-07-07 11-21-31;2025-07-07 11-21-49;2025-07-07 11-22-07;2025-07-07 11-22-26;2025-07-07 11-22-44;2025-07-07 11-23-02;2025-07-07 11-23-20;2025-07-07 11-23-38;2025-07-07 11-23-57;2025-07-07 11-24-15;2025-07-07 11-24-34;2025-07-07 11-24-52;2025-07-07 11-25-10;2025-07-07 11-25-45;2025-07-07 11-26-03;2025-07-07 11-26-22;2025-07-07 11-26-40;2025-07-07 11-26-58;2025-07-07 11-27-16;2025-07-07 11-25-28;2025-07-07 11-25-46;2025-07-07 11-26-04;2025-07-07 11-26-23;2025-07-07 11-26-41;2025-07-07 11-26-59;2025-07-07 11-27-17;2025-07-07 11-27-35;2025-07-07 11-27-54;2025-07-07 11-27-34;2025-07-07 11-27-53;2025-07-07 11-28-11;2025-07-07 11-28-29;2025-07-07 11-28-48;2025-07-07 11-29-06;2025-07-07 11-29-24;2025-07-07 11-28-12;2025-07-07 11-28-30;2025-07-07 11-28-49;2025-07-07 11-29-07;2025-07-07 11-29-24;2025-07-07 11-29-43;2025-07-07 11-30-01;2025-07-07 11-30-19;2025-07-07 11-30-37;2025-07-07 11-30-55;2025-07-07 11-31-14;2025-07-07 11-31-32;2025-07-07 11-31-50;2025-07-07 11-32-09;2025-07-07 11-32-27;2025-07-07 11-32-45;2025-07-07 11-33-03;2025-07-07 11-33-23;2025-07-07 11-33-44;2025-07-07 11-34-02;2025-07-07 11-34-20;2025-07-07 11-34-38;2025-07-07 11-34-57;2025-07-07 11-35-15;2025-07-07 11-35-33;2025-07-07 11-35-51;2025-07-07 11-38-21;2025-07-07 11-38-39;2025-07-07 11-38-57;2025-07-07 11-39-15;2025-07-07 11-39-33;2025-07-07 11-39-51;2025-07-07 11-40-10;2025-07-07 11-40-28;2025-07-07 11-40-47;2025-07-07 11-41-05;2025-07-07 11-41-23;2025-07-07 11-41-41;2025-07-07 11-41-59;2025-07-07 11-42-17;2025-07-07 11-42-35;2025-07-07 11-42-53;2025-07-07 11-43-12;2025-07-07 11-43-31;2025-07-07 11-43-49;2025-07-07 11-44-07;2025-07-07 11-44-26;2025-07-07 11-44-44;2025-07-07 11-45-02;2025-07-07 11-45-20;2025-07-07 11-45-39;2025-07-07 11-45-57;2025-07-07 11-46-16;2025-07-07 11-46-34;2025-07-07 11-46-52;2025-07-07 11-47-10;2025-07-07 11-47-29;2025-07-07 11-47-47;2025-07-07 11-48-06;2025-07-07 11-48-24;2025-07-07 11-48-42;2025-07-07 11-49-00;2025-07-07 11-49-18;2025-07-07 11-49-36;2025-07-07 11-49-55;2025-07-07 11-50-13;2025-07-07 11-50-32;2025-07-07 11-50-50;2025-07-07 11-51-09;2025-07-07 11-51-27;2025-07-07 11-51-45;2025-07-07 11-52-03;2025-07-07 11-52-21;2025-07-07 11-52-40;2025-07-07 11-52-59;2025-07-07 11-53-17;2025-07-07 11-53-35;2025-07-07 11-53-53;2025-07-07 11-54-11;2025-07-07 11-54-29;2025-07-07 11-54-48;2025-07-07 11-55-06;2025-07-07 11-55-24;2025-07-07 11-55-42;2025-07-07 11-56-00;2025-07-07 11-56-19;2025-07-07 11-56-37;2025-07-07 11-56-55;2025-07-07 11-57-13;2025-07-07 11-57-31
0.010;1.340000;1.280000;1.280000;1.320000;1.340000;1.560000;1.420000;1.340000;1.360000;1.440000;1.340000;1.540000;1.420000;1.460000;1.460000;1.420000;1.380000;1.460000;1.340000;1.540000;1.360000;1.540000;1.520000;1.500000;1.460000;1.420000;1.460000;1.320000;1.380000;1.500000;1.640000;1.520000;1.480000;1.440000;1.500000;1.420000;1.400000;1.520000;1.500000;1.640000;1.540000;1.620000;1.620000;1.460000;1.580000;1.720000;1.580000;1.580000;1.560000;1.640000;1.800000;1.500000;1.560000;1.680000;1.680000;1.740000;1.780000;1.580000;1.600000;1.640000;1.540000;1.320000;1.440000;1.500000;1.380000;1.320000;1.420000;1.440000;1.360000;1.480000;1.340000;1.500000;1.440000;1.460000;1.380000;1.480000;1.440000;1.580000;1.400000;1.400000;1.440000;1.480000;1.460000;1.340000;1.420000;1.500000;1.420000;1.520000;1.340000;1.500000;5.600800;5.940300;4.436600;3.989000;4.298500;4.459100;1.480000;1.400000;1.480000;1.540000;1.480000;1.560000;1.460000;1.460000;1.520000;4.010700;3.857200;3.517600;5.386000;3.494300;3.254400;4.965900;1.520000;1.380000;1.580000;1.540000;1.500000;1.580000;1.620000;1.500000;1.500000;1.380000;1.660000;1.580000;1.640000;1.580000;1.580000;1.480000;1.700000;1.620000;1.700000;1.760000;1.620000;1.780000;1.600000;1.700000;1.600000;1.680000;1.460000;1.440000;1.400000;1.480000;1.540000;1.360000;1.520000;1.360000;1.520000;1.500000;1.400000;1.340000;1.400000;1.500000;1.580000;1.480000;1.600000;1.540000;1.400000;1.560000;1.460000;1.560000;1.560000;1.480000;1.620000;1.460000;1.520000;1.520000;1.440000;1.540000;1.520000;1.420000;1.560000;1.480000;1.500000;1.580000;1.620000;1.580000;1.460000;1.480000;1.680000;1.580000;1.660000;1.560000;1.520000;1.520000;1.560000;1.680000;1.660000;1.660000;1.620000;1.700000;1.720000;1.600000;1.580000;1.500000;1.640000;1.680000;1.680000;1.700000;1.760000;1.780000;1.660000;1.660000
0.020;1.280000;1.420000;1.420000;1.280000;1.300000;1.540000;1.440000;1.340000;1.480000;1.400000;1.520000;1.440000;1.660000;1.520000;1.300000;1.440000;1.480000;1.560000;1.560000;1.540000;1.520000;1.480000;1.460000;1.600000;1.500000;1.460000;1.580000;1.560000;1.400000;1.640000;1.500000;1.520000;1.480000;1.540000;1.540000;1.540000;1.520000;1.580000;1.480000;1.560000;1.540000;1.540000;1.600000;1.560000;1.620000;1.660000;1.540000;1.660000;1.600000;1.700000;1.580000;1.520000;1.580000;1.680000;1.600000;1.600000;1.700000;1.680000;1.700000;1.680000;1.520000;1.380000;1.460000;1.500000;1.580000;1.420000;1.420000;1.440000;1.460000;1.460000;1.420000;1.480000;1.560000;1.360000;1.380000;1.520000;1.420000;1.600000;1.400000;1.460000;1.440000;1.480000;1.520000;1.400000;1.400000;1.640000;1.520000;1.640000;1.580000;1.500000;3.846700;4.405700;3.182700;3.128800;3.092200;4.459100;1.480000;1.380000;1.600000;1.520000;1.480000;1.560000;1.560000;1.580000;1.480000;3.105100;3.015400;2.784300;3.584400;2.801000;3.254400;2.746800;1.500000;1.480000;1.600000;1.640000;1.620000;1.720000;1.680000;1.540000;1.640000;1.660000;1.640000;1.760000;1.580000;1.680000;1.760000;1.480000;1.760000;1.620000;1.700000;1.800000;1.640000;1.640000;1.680000;1.640000;1.740000;1.680000;1.520000;1.620000;1.640000;1.600000;1.640000;1.640000;1.520000;1.440000;1.520000;1.340000;1.440000;1.600000;1.460000;1.500000;1.500000;1.500000;1.440000;1.560000;1.580000;1.400000;1.380000;1.580000;1.520000;1.480000;1.440000;1.640000;1.620000;1.580000;1.580000;1.440000;1.460000;1.540000;1.640000;1.580000;1.620000;1.440000;1.620000;1.660000;1.620000;1.680000;1.620000;1.600000;1.660000;1.620000;1.720000;1.600000;1.620000;1.580000;1.680000;1.700000;1.640000;1.660000;1.760000;1.500000;1.600000;1.500000;1.680000;1.740000;1.720000;1.660000;1.720000;1.780000;1.600000;1.720000
0.030;1.460000;1.600000;1.640000;1.460000;1.520000;1.760000;1.620000;1.420000;1.720000;1.540000;1.520000;1.580000;1.660000;1.660000;1.580000;1.740000;1.620000;1.720000;1.560000;1.520000;1.540000;1.640000;1.640000;1.600000;1.520000;1.600000;1.560000;1.580000;1.400000;1.620000;1.720000;1.520000;1.580000;1.660000;1.780000;1.640000;1.600000;1.680000;1.560000;1.560000;1.560000;1.720000;1.700000;1.560000;1.640000;1.740000;1.760000;1.620000;1.600000;1.900000;1.540000;1.740000;1.580000;1.640000;1.720000;1.800000;1.620000;1.760000;1.700000;1.640000;1.740000;1.440000;1.460000;1.460000;1.520000;1.500000;1.500000;1.400000;1.640000;1.620000;1.580000;1.560000;1.660000;1.520000;1.460000;1.600000;1.540000;1.600000;1.460000;1.620000;1.640000;1.500000;1.600000;1.560000;1.540000;1.680000;1.520000;1.600000;1.680000;1.620000;2.986600;3.236900;3.182700;2.345100;2.487700;2.584100;1.620000;1.500000;1.600000;1.720000;1.600000;1.560000;1.520000;1.680000;1.540000;2.333800;2.338400;2.784300;2.811900;2.229900;2.544900;2.746800;1.500000;1.580000;1.780000;1.800000;1.660000;1.660000;1.560000;1.620000;1.640000;1.540000;1.620000;1.760000;1.820000;1.700000;1.700000;1.760000;1.760000;1.620000;1.740000;1.680000;1.680000;1.880000;1.720000;1.880000;1.680000;1.620000;1.480000;1.560000;1.660000;1.540000;1.640000;1.620000;1.600000;1.440000;1.580000;1.560000;1.540000;1.560000;1.580000;1.520000;1.580000;1.620000;1.660000;1.640000;1.600000;1.500000;1.640000;1.620000;1.520000;1.620000;1.500000;1.640000;1.600000;1.600000;1.560000;1.600000;1.500000;1.720000;1.620000;1.660000;1.680000;1.680000;1.700000;1.600000;1.620000;1.820000;1.580000;1.860000;1.660000;1.620000;1.740000;1.820000;1.680000;1.580000;1.680000;1.600000;1.620000;1.700000;1.620000;1.580000;1.560000;1.620000;1.680000;1.700000;1.780000;1.740000;1.620000;1.780000;1.640000;1.660000
0.040;1.440000;1.600000;1.500000;1.580000;1.480000;1.600000;1.660000;1.680000;1.720000;1.600000;1.580000;1.680000;1.640000;1.640000;1.660000;1.740000;1.680000;1.620000;1.540000;1.560000;1.740000;1.680000;1.560000;1.620000;1.520000;1.680000;1.560000;1.580000;1.560000;1.680000;1.660000;1.680000;1.680000;1.760000;1.740000;1.700000;1.660000;1.840000;1.860000;1.600000;1.680000;1.720000;1.700000;1.580000;1.740000;1.740000;1.680000;1.760000;1.800000;1.900000;1.660000;1.700000;1.580000;1.780000;1.800000;1.740000;1.640000;1.840000;1.780000;1.640000;1.740000;1.480000;1.580000;1.500000;1.660000;1.520000;1.520000;1.420000;1.640000;1.680000;1.640000;1.560000;1.720000;1.640000;1.540000;1.660000;1.700000;1.640000;1.580000;1.740000;1.760000;1.540000;1.720000;1.600000;1.600000;1.680000;1.660000;1.580000;1.660000;1.640000;2.323000;2.594500;1.969200;2.031400;2.487700;2.584100;1.580000;1.540000;1.660000;1.680000;1.680000;1.600000;1.520000;1.680000;1.560000;2.333800;2.059300;2.158200;2.030100;1.935000;2.023100;2.098100;1.520000;1.620000;1.740000;1.760000;1.660000;1.660000;1.700000;1.600000;1.640000;1.560000;1.680000;1.720000;1.820000;1.700000;1.680000;1.740000;1.740000;1.620000;1.740000;1.700000;1.820000;1.860000;1.760000;1.780000;1.680000;1.660000;1.480000;1.740000;1.620000;1.580000;1.800000;1.620000;1.620000;1.560000;1.600000;1.600000;1.580000;1.520000;1.540000;1.540000;1.700000;1.680000;1.660000;1.680000;1.780000;1.760000;1.640000;1.720000;1.600000;1.560000;1.580000;1.620000;1.600000;1.640000;1.640000;1.640000;1.600000;1.720000;1.660000;1.720000;1.680000;1.700000;1.700000;1.780000;1.640000;1.820000;1.800000;1.840000;1.660000;1.660000;1.680000;1.920000;1.680000;1.580000;1.700000;1.760000;1.780000;1.800000;1.800000;1.600000;1.660000;1.600000;1.720000;1.760000;1.780000;1.820000;1.760000;1.740000;1.760000;1.640000
0.050;1.320000;1.640000;1.500000;1.580000;1.460000;1.760000;1.660000;1.640000;1.600000;1.600000;1.640000;1.580000;1.620000;1.680000;1.680000;1.720000;1.820000;1.740000;1.600000;1.620000;1.640000;1.580000;1.700000;1.680000;1.680000;1.660000;1.760000;1.580000;1.500000;1.640000;1.640000;1.720000;1.620000;1.640000;1.780000;1.680000;1.700000;1.740000;1.680000;1.660000;1.600000;1.740000;1.800000;1.640000;1.660000;1.740000;1.820000;1.700000;1.700000;1.920000;1.700000;1.760000;1.800000;1.800000;1.800000;1.760000;1.700000;1.680000;1.760000;1.680000;1.580000;1.520000;1.540000;1.580000;1.660000;1.440000;1.520000;1.520000;1.520000;1.640000;1.600000;1.600000;1.720000;1.580000;1.680000;1.660000;1.620000;1.620000;1.540000;1.600000;1.660000;1.580000;1.720000;1.600000;1.520000;1.580000;1.580000;1.600000;1.740000;1.740000;2.048500;2.594500;1.969200;1.856600;2.208300;2.067700;1.500000;1.540000;1.540000;1.620000;1.760000;1.640000;1.780000;1.680000;1.560000;1.821600;1.990900;1.861200;2.030100;1.935000;1.835700;1.9000001.640000;1.640000;1.520000;1.680000;1.760000;1.760000;1.660000;1.620000;1.680000;1.660000;1.640000;1.780000;1.700000;1.680000;1.820000;1.680000;1.680000;1.840000;1.740000;1.780000;1.760000;1.780000;1.860000;1.740000;1.800000;1.760000;1.680000;1.500000;1.580000;1.560000;1.580000;1.680000;1.640000;1.680000;1.560000;1.580000;1.540000;1.720000;1.600000;1.580000;1.540000;1.700000;1.520000;1.680000;1.660000;1.620000;1.760000;1.740000;1.680000;1.540000;1.580000;1.660000;1.600000;1.540000;1.620000;1.540000;1.620000;1.560000;1.740000;1.680000;1.660000;1.780000;1.620000;1.700000;1.700000;1.620000;1.620000;1.660000;1.840000;1.700000;1.800000;1.660000;1.920000;1.740000;1.720000;1.820000;1.760000;1.760000;1.740000;1.680000;1.820000;1.680000;1.560000;1.760000;1.780000;1.780000;1.680000;1.660000;1.700000;1.680000;1.760000
0.060;1.380000;1.680000;1.500000;1.560000;1.560000;1.700000;1.680000;1.540000;1.580000;1.520000;1.520000;1.660000;1.660000;1.680000;1.560000;1.660000;1.700000;1.680000;1.560000;1.600000;1.680000;1.540000;1.680000;1.560000;1.580000;1.760000;1.700000;1.640000;1.480000;1.620000;1.680000;1.680000;1.640000;1.680000;1.740000;1.540000;1.580000;1.660000;1.680000;1.640000;1.660000;1.820000;1.600000;1.680000;1.620000;1.740000;1.700000;1.700000;1.700000;1.740000;1.780000;1.720000;1.640000;1.820000;1.720000;1.700000;1.700000;1.720000;1.900000;1.680000;1.700000;1.540000;1.480000;1.680000;1.680000;1.440000;1.480000;1.580000;1.660000;1.700000;1.600000;1.620000;1.580000;1.540000;1.720000;1.640000;1.580000;1.540000;1.620000;1.600000;1.660000;1.500000;1.720000;1.740000;1.520000;1.540000;1.540000;1.600000;1.680000;1.620000;1.983400;2.253300;1.826600;1.856600;1.847000;1.856600;1.520000;1.520000;1.560000;1.680000;1.680000;1.700000;1.600000;1.580000;1.680000;1.821600;1.875400;1.885000;1.826200;1.973400;1.835700;;1.680000;1.600000;1.840000;1.720000;1.660000;1.640000;1.580000;1.680000;1.700000;1.560000;1.680000;1.740000;1.720000;1.640000;1.700000;1.560000;1.840000;1.700000;1.680000;1.760000;1.780000;1.780000;1.760000;1.820000;1.780000;1.620000;1.500000;1.680000;1.600000;1.520000;1.740000;1.580000;1.620000;1.460000;1.520000;1.520000;1.520000;1.540000;1.500000;1.500000;1.560000;1.560000;1.760000;1.660000;1.760000;1.660000;1.700000;1.720000;1.600000;1.520000;1.680000;1.620000;1.660000;1.660000;1.620000;1.620000;1.580000;1.580000;1.740000;1.660000;1.720000;1.620000;1.700000;1.720000;1.640000;1.600000;1.780000;1.620000;1.800000;1.780000;1.660000;1.800000;1.660000;1.660000;1.840000;1.680000;1.660000;1.780000;1.720000;1.900000;1.680000;1.700000;1.760000;1.800000;1.880000;1.740000;1.680000;1.700000;1.740000;1.760000
0.070;1.480000;1.600000;1.500000;1.460000;1.620000;1.700000;1.680000;1.640000;1.520000;1.500000;1.600000;1.740000;1.600000;1.760000;1.580000;1.640000;1.720000;1.760000;1.540000;1.580000;1.620000;1.720000;1.620000;1.580000;1.640000;1.620000;1.620000;1.500000;1.500000;1.720000;1.640000;1.660000;1.760000;1.660000;1.740000;1.600000;1.660000;1.760000;1.760000;1.640000;1.800000;1.820000;1.720000;1.640000;1.680000;1.820000;1.700000;1.760000;1.760000;1.780000;1.760000;1.660000;1.580000;1.800000;1.760000;1.720000;1.720000;1.720000;1.900000;1.840000;1.700000;1.620000;1.480000;1.560000;1.620000;1.520000;1.500000;1.480000;1.600000;1.640000;1.560000;1.600000;1.740000;1.620000;1.600000;1.740000;1.640000;1.560000;1.620000;1.660000;1.800000;1.480000;1.620000;1.540000;1.540000;1.560000;1.680000;1.660000;1.740000;1.600000;1.983400;1.808200;1.794000;1.743200;1.927900;1.759800;1.600000;1.640000;1.700000;1.680000;1.780000;1.660000;1.560000;1.660000;1.540000;1.726900;1.875400;1.840300;1.826200;1.861600;1.754000;;1.600000;1.600000;1.720000;1.680000;1.660000;1.700000;1.700000;1.660000;1.820000;1.560000;1.680000;1.740000;1.720000;1.680000;1.720000;1.740000;1.760000;1.640000;1.700000;1.740000;1.760000;1.760000;1.800000;1.740000;1.760000;1.660000;1.460000;1.660000;1.600000;1.700000;1.740000;1.600000;1.680000;1.460000;1.560000;1.560000;1.660000;1.660000;1.640000;1.600000;1.780000;1.560000;1.660000;1.640000;1.740000;1.620000;1.680000;1.760000;1.600000;1.520000;1.640000;1.560000;1.640000;1.640000;1.660000;1.560000;1.640000;1.700000;1.780000;1.680000;1.680000;1.720000;1.700000;1.680000;1.720000;1.660000;1.800000;1.620000;1.600000;1.620000;1.760000;1.660000;1.720000;1.580000;1.780000;1.740000;1.740000;1.720000;1.720000;1.720000;1.780000;1.680000;1.820000;1.820000;1.720000;1.800000;1.800000;1.800000;1.720000;1.740000
0.080;1.440000;1.640000;1.560000;1.620000;1.620000;1.700000;1.560000;1.620000;1.640000;1.540000;1.600000;1.740000;1.720000;1.600000;1.600000;1.660000;1.760000;1.780000;1.560000;1.600000;1.700000;1.660000;1.660000;1.600000;1.660000;1.720000;1.700000;1.660000;1.580000;1.720000;1.700000;1.660000;1.740000;1.700000;1.800000;1.680000;1.640000;1.760000;1.760000;1.640000;1.740000;1.820000;1.740000;1.840000;1.700000;1.940000;1.860000;1.700000;1.800000;1.780000;1.760000;1.800000;1.660000;1.840000;1.840000;1.920000;1.780000;1.820000;1.880000;1.800000;1.800000;1.680000;1.460000;1.640000;1.680000;1.500000;1.660000;1.460000;1.580000;1.680000;1.500000;1.700000;1.740000;1.640000;1.680000;1.800000;1.660000;1.720000;1.620000;1.660000;1.780000;1.620000;1.560000;1.760000;1.460000;1.680000;1.680000;1.680000;1.680000;1.720000;1.885000;1.808200;1.802800;1.726500;1.828300;1.759800;1.680000;1.520000;1.780000;1.680000;1.800000;1.700000;1.680000;1.640000;1.640000;1.711900;1.837800;1.880400;1.829900;1.875400;1.754000;;1.660000;1.700000;1.740000;1.820000;1.900000;1.740000;1.700000;1.640000;1.900000;1.700000;1.640000;1.900000;1.760000;1.680000;1.700000;1.860000;1.780000;1.720000;1.880000;1.720000;1.780000;1.840000;1.800000;1.960000;1.740000;1.680000;1.600000;1.880000;1.700000;1.700000;1.800000;1.660000;1.580000;1.600000;1.740000;1.600000;1.720000;1.680000;1.640000;1.480000;1.680000;1.560000;1.720000;1.800000;1.740000;1.580000;1.640000;1.940000;1.620000;1.520000;1.740000;1.560000;1.620000;1.700000;1.800000;1.700000;1.660000;1.740000;1.960000;1.720000;1.700000;1.660000;1.620000;1.860000;1.740000;1.680000;1.720000;1.720000;1.660000;1.880000;1.940000;1.680000;1.600000;1.580000;1.780000;1.880000;1.800000;1.760000;1.820000;1.840000;1.700000;1.620000;1.780000;1.880000;1.820000;1.800000;1.820000;1.840000;1.980000;1.840000
0.090;1.440000;1.580000;1.640000;1.620000;1.620000;1.700000;1.620000;1.660000;1.640000;1.580000;1.740000;1.700000;1.800000;1.680000;1.600000;1.740000;1.640000;1.780000;1.700000;1.780000;1.740000;1.660000;1.920000;1.600000;1.680000;1.700000;1.680000;1.640000;1.620000;1.720000;1.680000;1.700000;1.700000;1.700000;1.900000;1.580000;1.720000;1.720000;1.720000;1.720000;1.900000;1.960000;1.800000;1.740000;1.700000;1.820000;1.780000;1.760000;1.820000;1.940000;1.820000;1.700000;1.780000;1.960000;1.940000;1.920000;1.800000;1.760000;1.980000;1.880000;1.820000;1.680000;1.580000;1.880000;1.780000;1.580000;1.640000;1.560000;1.760000;1.680000;1.660000;1.640000;1.800000;1.640000;1.700000;1.800000;1.860000;1.740000;1.680000;1.700000;1.760000;1.760000;1.660000;1.840000;1.640000;1.640000;1.680000;1.800000;1.860000;1.720000;1.831600;1.688900;1.802800;1.693900;1.798200;1.735600;1.640000;1.760000;1.780000;1.760000;1.740000;1.640000;1.720000;1.740000;1.780000;1.745200;1.766500;1.880400;1.899100;1.806600;1.794900;;1.760000;1.600000;1.780000;1.800000;1.900000;1.720000;1.720000;1.780000;1.900000;1.780000;1.780000;1.960000;1.800000;1.680000;1.680000;1.780000;1.760000;1.960000;2.000000;1.780000;1.800000;1.980000;1.780000;1.960000;1.820000;1.840000;1.460000;1.860000;1.600000;1.700000;1.780000;1.740000;1.860000;1.620000;1.820000;1.620000;1.760000;1.680000;1.640000;1.660000;1.720000;1.700000;1.660000;1.800000;1.680000;1.680000;1.880000;1.980000;1.960000;1.700000;1.740000;1.700000;1.840000;1.940000;1.800000;1.840000;1.660000;1.900000;1.960000;1.820000;1.780000;1.680000;1.840000;2.060000;2.040000;1.840000;1.760000;1.840000;1.760000;1.860000;1.940000;1.840000;1.760000;1.640000;1.900000;1.880000;1.800000;1.760000;2.000000;1.820000;1.700000;1.680000;1.860000;2.060000;1.860000;1.860000;1.840000;1.880000;1.960000;1.780000
0.100;1.540000;1.740000;1.580000;1.560000;1.560000;1.680000;1.660000;1.660000;1.780000;1.500000;1.680000;1.820000;1.740000;1.720000;1.600000;1.580000;1.720000;1.560000;1.760000;1.940000;1.900000;1.660000;1.920000;1.620000;1.900000;1.840000;1.680000;1.780000;1.560000;1.980000;1.680000;1.640000;1.620000;1.680000;2.100000;1.580000;1.780000;1.740000;1.760000;1.740000;1.740000;1.860000;2.000000;1.820000;1.920000;1.980000;1.800000;1.860000;1.840000;1.880000;1.860000;1.700000;1.780000;1.820000;2.040000;1.780000;1.860000;1.920000;1.960000;1.920000;1.840000;1.620000;1.640000;1.840000;1.800000;1.660000;1.640000;1.560000;1.960000;1.720000;1.800000;1.580000;1.600000;1.900000;1.820000;1.760000;1.820000;1.740000;1.660000;1.740000;1.720000;1.820000;1.620000;1.660000;1.840000;1.680000;1.680000;2.000000;1.940000;1.800000;1.706900;1.710200;0.910100;0.573500;1.798200;1.735600;1.840000;1.740000;1.500000;1.840000;1.760000;1.700000;1.800000;1.840000;1.740000;1.745200;0.410800;0.417900;1.556300;0.558500;1.303100;;1.900000;1.640000;1.700000;1.780000;1.820000;2.140000;1.800000;1.780000;1.980000;1.660000;2.000000;1.780000;1.840000;1.740000;1.740000;1.800000;1.720000;1.940000;1.920000;1.860000;1.980000;2.180000;1.820000;1.820000;1.800000;1.820000;1.680000;1.860000;1.800000;1.740000;1.720000;1.580000;1.920000;1.580000;1.840000;1.640000;1.980000;1.660000;1.640000;1.600000;2.060000;1.680000;1.660000;1.780000;1.740000;1.840000;1.820000;1.980000;1.900000;1.720000;1.720000;1.760000;1.760000;1.940000;1.840000;1.840000;1.660000;1.820000;1.740000;2.100000;1.880000;1.840000;2.120000;2.060000;2.040000;1.680000;1.760000;1.720000;1.820000;2.000000;1.940000;1.900000;1.920000;1.620000;1.980000;1.860000;1.920000;2.080000;2.000000;1.820000;1.720000;2.000000;1.900000;2.060000;2.240000;1.900000;1.840000;1.960000;1.960000;1.980000
