TimeStamp;2025-07-07 12-06-24;2025-07-07 12-06-42;2025-07-07 12-07-00;2025-07-07 12-07-19;2025-07-07 12-07-37;2025-07-07 12-07-55;2025-07-07 12-08-13;2025-07-07 12-08-32;2025-07-07 12-08-50;2025-07-07 12-09-08;2025-07-07 12-09-26;2025-07-07 12-09-45;2025-07-07 12-10-03;2025-07-07 12-10-21;2025-07-07 12-10-39;2025-07-07 12-10-58;2025-07-07 12-11-16;2025-07-07 12-11-34;2025-07-07 12-11-52;2025-07-07 12-12-11;2025-07-07 12-12-29;2025-07-07 12-12-47;2025-07-07 12-13-05;2025-07-07 12-13-23;2025-07-07 12-13-42;2025-07-07 12-14-00;2025-07-07 12-14-17;2025-07-07 12-14-36;2025-07-07 12-14-54;2025-07-07 12-15-12;2025-07-07 12-15-30;2025-07-07 12-15-49;2025-07-07 12-16-07;2025-07-07 12-16-25;2025-07-07 12-16-43;2025-07-07 12-17-02;2025-07-07 12-17-20;2025-07-07 12-17-39;2025-07-07 12-17-58;2025-07-07 12-18-16;2025-07-07 12-18-34;2025-07-07 12-18-52;2025-07-07 12-19-11;2025-07-07 12-19-29;2025-07-07 12-19-47;2025-07-07 12-20-06;2025-07-07 12-20-24;2025-07-07 12-20-42;2025-07-07 12-21-00;2025-07-07 12-21-18;2025-07-07 12-21-37
0.010;2.045600;2.054300;1.887100;1.875400;1.868700;1.856600;2.014300;1.917100;2.027600;2.049700;1.887900;1.968000;1.903700;2.037200;2.011400;2.036400;2.056800;2.043500;2.031400;2.041800;2.032200;2.031800;2.014700;2.032200;2.034300;2.030600;2.011800;2.002200;2.019300;2.039300;2.009700;1.930400;2.022200;2.039700;2.060200;1.985500;2.027600;2.035600;2.017200;2.025500;1.953400;2.073100;2.011400;1.986700;2.025500;1.977200;2.027200;2.030100;2.040600;1.855400;2.042200
0.020;1.907900;2.058100;1.930000;1.899500;1.868700;1.900000;1.892100;1.881200;2.027600;2.033100;1.917500;1.877100;1.925000;1.973400;1.870800;2.036400;1.911200;1.930400;1.919600;2.023900;2.032200;1.921300;2.015100;1.972200;1.978400;1.971700;1.856600;2.002200;2.004300;2.022600;1.908800;1.896600;1.875000;1.921300;1.992200;1.985500;2.027600;2.035600;2.017200;2.003900;1.953400;2.007200;1.986800;1.865800;2.025500;1.977200;1.964200;2.020900;2.023100;1.855400;1.927100
0.030;1.907900;1.907900;1.930000;1.799900;1.910400;1.775700;1.924600;1.800300;1.896200;1.899600;1.793200;1.892000;1.822400;1.864100;1.870800;1.922500;1.911200;1.930400;1.890000;1.873300;1.874100;1.921300;1.880400;1.875400;1.883300;1.877900;1.900400;1.873300;1.862900;1.876600;1.908800;1.805700;1.875000;1.883300;1.900400;1.920000;1.921300;1.882000;1.892900;1.865800;1.900800;2.007200;1.855400;1.825300;1.912500;1.915000;1.863300;1.873700;1.895000;1.898700;1.888300
0.040;1.695200;1.936700;1.698500;1.799900;1.669300;1.678500;1.694800;1.690600;1.896200;1.899600;1.793200;1.685600;1.822400;1.864100;1.912500;1.922500;1.929200;1.902500;1.877500;1.929600;1.874100;1.797800;1.905000;1.905800;1.900800;1.902100;1.674300;1.908700;1.906200;1.932500;1.673100;1.710200;1.686000;1.902500;1.928800;1.920000;1.921300;1.882000;1.900400;1.905000;1.900800;1.900000;1.855400;1.679300;1.889200;1.915000;1.863300;1.873700;1.927100;1.675200;1.817800
0.050;1.790700;1.825700;1.791100;1.783600;1.775700;1.678500;1.694800;1.690600;1.797000;1.835800;1.699800;1.685600;1.800300;1.907500;1.804000;1.803600;1.824100;1.809100;1.877500;1.929600;1.897100;1.797800;1.905000;1.905800;1.900800;1.902100;1.760700;1.678500;1.906200;1.932500;1.786900;1.710200;1.686000;1.902500;1.703900;1.693100;1.690200;1.902900;1.802800;1.905000;1.679700;1.948400;1.782400;1.786500;1.801600;1.687700;1.675200;1.908300;1.796500;1.754000;1.698100
0.060;1.801100;1.725600;1.807400;1.783600;1.780700;1.773200;1.799100;1.768600;1.692300;1.835800;1.780700;1.782800;1.800300;1.676400;1.693500;1.698500;1.716900;1.704800;1.757800;1.812800;1.679800;1.689800;1.789900;1.678900;1.764800;1.685600;1.775700;1.779400;1.796100;1.710600;1.773200;1.780700;1.788600;1.767800;1.802000;1.773600;1.774500;1.688500;1.703900;1.668500;1.766100;1.715600;1.782400;1.786500;1.689400;1.777400;1.675200;1.787000;1.724800;1.754000;1.791100
0.070;1.801100;1.725600;1.849100;1.806600;1.829100;1.791100;1.799100;1.812000;1.775300;1.720200;1.811200;1.782800;1.842800;1.768200;1.788600;1.795700;1.808700;1.704800;1.757800;1.701000;1.756500;1.771100;1.693100;1.777000;1.764800;1.767300;1.775700;1.789000;1.683900;1.710600;1.773200;1.829100;1.802400;1.767800;1.802000;1.804500;1.796500;1.792400;1.779400;1.766900;1.781100;1.811100;1.693100;1.819500;1.793200;1.792400;1.763600;1.702700;1.724800;1.780300;1.791100
0.080;1.854900;1.823700;1.860400;1.822000;1.829100;1.807000;1.855400;1.809100;1.775300;1.829100;1.823700;1.822000;1.858300;1.776100;1.819100;1.795700;1.834500;1.821200;1.770300;1.797800;1.756500;1.813200;1.788600;1.784900;1.778200;1.780300;1.824100;1.789000;1.778200;1.809100;1.833700;1.832800;1.840800;1.781100;1.789900;1.804500;1.796500;1.792400;1.779400;1.780300;1.781100;1.822000;1.791500;1.819100;1.793200;1.792400;1.770300;1.775700;1.812000;1.819500;1.822800
0.090;1.854900;1.835300;1.860400;1.842400;1.844900;1.821600;1.854500;1.842900;1.822000;1.843300;1.840400;1.822000;1.877500;1.825300;1.819100;1.836200;1.834500;1.821200;1.842900;1.819500;1.829500;1.813200;1.813200;1.840800;1.833300;1.832800;1.828300;1.842000;1.800300;1.819900;1.833700;1.856200;1.840800;1.832400;1.857400;1.865400;1.835300;1.865000;1.819500;1.827900;1.847500;1.861600;1.794900;1.870400;1.793600;1.847000;1.833700;1.798600;1.812000;1.839100;1.841600
0.100;1.864500;1.861200;1.859500;1.842400;1.835800;1.825800;1.850800;1.842900;1.822000;1.843300;1.852900;1.839900;1.877500;1.825300;1.825800;1.836200;1.849500;1.858700;1.822000;1.839500;1.829500;1.840400;1.813200;1.837000;1.827000;1.832800;1.824500;1.839500;1.820700;1.858700;1.827800;1.848700;1.846200;1.851200;1.838300;1.865400;1.843300;1.865000;1.819100;1.841600;1.847500;1.861600;1.794900;1.834500;1.836600;1.847000;1.833700;1.834500;1.839500;1.831200;1.864100
0.110;1.871200;1.867000;1.880400;1.877500;1.875400;1.825800;1.850800;1.829500;1.847500;1.882500;1.852900;1.839900;1.898700;1.842800;1.857500;1.852800;1.879100;1.864900;1.822000;1.839500;1.829500;1.840400;1.835300;1.837000;1.827000;1.832800;1.839500;1.838300;1.820700;1.858700;1.863700;1.848700;1.846200;1.851200;1.849100;1.847900;1.839500;1.844100;1.849100;1.841600;1.837000;1.885800;1.831200;1.877000;1.832400;1.850400;1.842000;1.834500;1.834100;1.853700;1.848300
0.120;1.896200;1.870800;1.901600;1.877500;1.868300;1.854100;1.888700;1.867900;1.838300;1.882500;1.875000;1.882400;1.898700;1.826200;1.856600;1.844900;1.854900;1.864100;1.852900;1.853300;1.834100;1.837800;1.850400;1.841600;1.843700;1.841600;1.867500;1.857900;1.839500;1.851200;1.867400;1.869900;1.874500;1.865400;1.876200;1.882100;1.852900;1.859900;1.838700;1.841200;1.857800;1.872400;1.831200;1.877000;1.835400;1.872100;1.842000;1.828200;1.864100;1.853700;1.848300
0.130;1.896200;1.870800;1.912100;1.880800;1.897500;1.870400;1.888700;1.883300;1.870000;1.860800;1.890800;1.882400;1.903300;1.867500;1.889600;1.885000;1.905800;1.900400;1.852900;1.845300;1.845400;1.858700;1.834100;1.862000;1.843700;1.857000;1.867500;1.880000;1.827000;1.851200;1.867400;1.895400;1.887000;1.865400;1.876200;1.900800;1.890000;1.886200;1.859100;1.856200;1.875400;1.897900;1.842900;1.887900;1.873700;1.892900;1.857000;1.847000;1.864100;1.878300;1.885800
0.140;1.935000;1.900400;1.948000;1.911200;1.897500;1.894600;1.917100;1.895800;1.870000;1.910400;1.911200;1.890000;1.928800;1.876200;1.904600;1.885000;1.911700;1.890800;1.871600;1.889200;1.845400;1.877500;1.873300;1.877500;1.868300;1.873300;1.877500;1.880000;1.872500;1.894600;1.918800;1.913400;1.900400;1.866600;1.886200;1.900800;1.890000;1.886200;1.859100;1.884100;1.875400;1.917900;1.878300;1.887500;1.873700;1.892900;1.870400;1.871600;1.901200;1.878300;1.882900
0.150;1.935000;1.912100;1.948000;1.920400;1.923700;1.903700;1.942500;1.915400;1.895800;1.908800;1.917900;1.915400;1.944200;1.892500;1.904600;1.916700;1.911700;1.890800;1.871600;1.891200;1.892500;1.877500;1.872900;1.894100;1.894600;1.897900;1.910000;1.903300;1.866600;1.890000;1.918800;1.930000;1.900400;1.891200;1.940000;1.906700;1.886200;1.937500;1.888300;1.884100;1.920800;1.937500;1.871200;1.926700;1.864900;1.938400;1.890400;1.880400;1.901200;1.920400;1.916700
0.160;1.927100;1.943800;1.932500;1.920400;1.911200;1.892100;1.935900;1.915400;1.895800;1.908800;1.906600;1.910400;1.944200;1.925900;1.912900;1.916700;1.925000;1.931700;1.902900;1.916700;1.892500;1.908700;1.903700;1.915400;1.905400;1.912900;1.907100;1.915000;1.899600;1.929200;1.913300;1.914600;1.927900;1.924600;1.929200;1.950100;1.933800;1.937500;1.895800;1.927100;1.920800;1.937500;1.871200;1.886200;1.911600;1.938400;1.890400;1.905800;1.915800;1.901200;1.926300
0.170;1.904200;1.941300;1.915000;1.889200;1.898700;1.892100;1.935900;1.897500;1.924600;1.951300;1.906600;1.910400;1.907900;1.925900;1.932900;1.920800;1.948800;1.931700;1.902900;1.916700;1.907900;1.908700;1.903700;1.915400;1.905400;1.912900;1.882500;1.928800;1.915400;1.929200;1.901200;1.914600;1.927900;1.924600;1.942900;1.919600;1.917100;1.923300;1.927500;1.927100;1.905800;1.963400;1.895000;1.896700;1.892900;1.911200;1.906600;1.905800;1.913300;1.890400;1.906200
0.180;1.895400;1.930400;1.900800;1.889200;1.862900;1.856600;1.882000;1.881600;1.901700;1.951300;1.866600;1.875400;1.907900;1.908300;1.905400;1.914600;1.922500;1.933300;1.885400;1.933400;1.906700;1.904600;1.921300;1.897500;1.885800;1.914200;1.865400;1.908800;1.915400;1.917100;1.869500;1.883300;1.927100;1.907100;1.918400;1.928400;1.895800;1.936700;1.893300;1.909600;1.897500;1.948000;1.895000;1.896700;1.907500;1.904200;1.906600;1.895000;1.921300;1.890400;1.906200
0.190;1.895400;1.930400;1.897500;1.872000;1.877000;1.864900;1.882000;1.873300;1.887500;1.924600;1.875800;1.875400;1.905000;1.904600;1.885400;1.888700;1.917100;1.933300;1.885400;1.905800;1.883300;1.872000;1.899600;1.897500;1.885800;1.890400;1.865400;1.877900;1.897900;1.917100;1.869500;1.891600;1.892900;1.907100;1.918400;1.901600;1.882500;1.918800;1.863300;1.892100;1.864900;1.945000;1.906700;1.872900;1.883300;1.875400;1.892900;1.902500;1.921300;1.876600;1.895800
0.200;1.886600;1.910000;1.895400;1.885400;1.877000;1.862500;1.895400;1.872000;1.887500;1.919600;1.879600;1.869500;1.905000;1.865400;1.890800;1.888700;1.896700;1.893300;1.870400;1.893300;1.883300;1.860800;1.882900;1.874500;1.862000;1.870800;1.858300;1.877900;1.880000;1.900800;1.867900;1.879500;1.898700;1.857500;1.882900;1.901600;1.882500;1.918800;1.863300;1.872000;1.864900;1.913700;1.875000;1.878300;1.883300;1.875400;1.867500;1.873300;1.888700;1.867900;1.878300
0.210;1.886600;1.885800;1.895400;1.869100;1.869900;1.847900;1.892100;1.867400;1.881600;1.900400;1.869100;1.870800;1.900400;1.875000;1.890800;1.886600;1.896700;1.893300;1.870400;1.884100;1.872100;1.860800;1.864500;1.881200;1.865800;1.873300;1.858300;1.884200;1.868300;1.871200;1.867900;1.882000;1.898700;1.884500;1.906700;1.909600;1.885800;1.919600;1.870400;1.872000;1.874500;1.917900;1.871600;1.882900;1.856200;1.889600;1.881600;1.869100;1.888700;1.883700;1.891600
0.220;1.880000;1.900400;1.885800;1.869100;1.862000;1.871600;1.890800;1.867400;1.881600;1.900400;1.884100;1.869500;1.900400;1.878700;1.879500;1.886600;1.902100;1.904600;1.860400;1.889100;1.872100;1.861600;1.864500;1.874500;1.858300;1.862900;1.862000;1.879100;1.868300;1.891600;1.875400;1.889600;1.875400;1.876200;1.878300;1.909600;1.885800;1.919600;1.860400;1.878700;1.874500;1.917900;1.871600;1.864500;1.886600;1.889600;1.881600;1.888300;1.881600;1.859500;1.878300
0.230;1.889200;1.885000;1.907900;1.900000;1.887100;1.871600;1.890800;1.872500;1.880800;1.902900;1.884100;1.869500;1.923300;1.878700;1.885000;1.875000;1.898300;1.878300;1.860400;1.889100;1.867500;1.861600;1.872000;1.874500;1.858300;1.862900;1.879100;1.877500;1.861200;1.891600;1.896200;1.889600;1.875400;1.876200;1.906700;1.880400;1.864100;1.874500;1.872900;1.878700;1.863300;1.919200;1.847900;1.895800;1.852900;1.872000;1.867000;1.888300;1.865800;1.895000;1.889100
0.240;1.905000;1.901600;1.920000;1.900000;1.882000;1.876600;1.916200;1.887500;1.872000;1.902900;1.877000;1.897500;1.923300;1.864500;1.892900;1.896600;1.893300;1.908700;1.879100;1.887100;1.863300;1.872900;1.865400;1.892900;1.877000;1.869100;1.883700;1.887900;1.861200;1.893700;1.893300;1.890800;1.923800;1.899600;1.914200;1.880400;1.891600;1.905400;1.877000;1.859600;1.886200;1.903700;1.847900;1.895800;1.881200;1.872000;1.867000;1.868300;1.907500;1.895000;1.889100
0.250;1.905000;1.901600;1.897100;1.880000;1.882000;1.881600;1.908300;1.888300;1.897500;1.910000;1.891600;1.897500;1.922100;1.891600;1.899100;1.902100;1.920400;1.908700;1.879100;1.894100;1.880000;1.877900;1.880400;1.892900;1.877000;1.885000;1.883700;1.896200;1.868300;1.893700;1.892500;1.903300;1.912100;1.899600;1.914200;1.908300;1.901600;1.906700;1.894600;1.888300;1.885400;1.935800;1.885400;1.872900;1.879100;1.893300;1.886200;1.887100;1.907500;1.890000;1.900400
0.260;1.892900;1.911200;1.907900;1.880400;1.882000;1.866200;1.909100;1.866600;1.897500;1.930500;1.867500;1.869100;1.901700;1.885400;1.892900;1.902100;1.902500;1.900800;1.892100;1.908700;1.880000;1.879900;1.898700;1.892500;1.885000;1.886200;1.874100;1.896200;1.882900;1.909600;1.876600;1.879900;1.907900;1.870000;1.910400;1.908300;1.901600;1.906700;1.894600;1.878300;1.885400;1.922100;1.877900;1.870400;1.879100;1.893300;1.879600;1.880800;1.912500;1.865800;1.887000
0.270;1.892900;1.903300;1.907900;1.886600;1.881200;1.888300;1.895800;1.895000;1.873300;1.909100;1.890000;1.879900;1.927900;1.875800;1.892900;1.887100;1.902500;1.900800;1.883300;1.898300;1.861200;1.879900;1.880400;1.883300;1.869500;1.873700;1.865400;1.890400;1.875800;1.890000;1.876600;1.903700;1.907900;1.877900;1.914600;1.897900;1.903300;1.909600;1.894100;1.857400;1.880800;1.917100;1.880400;1.896700;1.877100;1.893300;1.878300;1.880800;1.912500;1.885400;1.889100
0.280;1.905800;1.896200;1.916700;1.886600;1.892500;1.892500;1.917900;1.895000;1.873300;1.909100;1.893300;1.901200;1.927900;1.877100;1.874500;1.887100;1.896600;1.903700;1.871200;1.881600;1.861200;1.879600;1.872000;1.883700;1.872500;1.868300;1.885000;1.879100;1.867000;1.886200;1.898300;1.908700;1.908300;1.880000;1.882100;1.915400;1.903300;1.909600;1.858700;1.874500;1.880800;1.917100;1.880400;1.877000;1.879600;1.893300;1.878300;1.868300;1.888300;1.881600;1.885400
0.290;1.896200;1.900000;1.916700;1.880400;1.893300;1.892500;1.917900;1.887100;1.901200;1.930000;1.893300;1.901200;1.908300;1.877100;1.900400;1.890400;1.920000;1.897500;1.871200;1.881600;1.866200;1.879600;1.872000;1.883700;1.872500;1.868300;1.875800;1.903700;1.881200;1.886200;1.892900;1.908700;1.908300;1.880000;1.922500;1.903300;1.895800;1.876600;1.901200;1.874500;1.895400;1.916700;1.870000;1.882500;1.867900;1.895400;1.894600;1.868300;1.897500;1.891200;1.905400
0.300;1.896600;1.913800;1.901200;1.880400;1.882500;1.867900;1.905400;1.888300;1.888300;1.930000;1.870400;1.884100;1.908300;1.887500;1.896600;1.901200;1.915800;1.920800;1.906700;1.905000;1.884100;1.883700;1.883300;1.886200;1.872000;1.890400;1.874100;1.887900;1.881200;1.907900;1.882100;1.898700;1.920800;1.900000;1.899600;1.928300;1.895400;1.925400;1.883700;1.880800;1.895400;1.932500;1.870000;1.882500;1.905000;1.899200;1.894600;1.867000;1.915400;1.891200;1.885800
0.310;1.896600;1.895800;1.897500;1.868300;1.881600;1.874100;1.898300;1.877000;1.882500;1.924200;1.884600;1.884100;1.907900;1.887900;1.892100;1.888300;1.915000;1.920800;1.871600;1.905000;1.869100;1.871600;1.880400;1.886200;1.872000;1.877000;1.874100;1.887500;1.889600;1.907900;1.883700;1.902900;1.902500;1.900000;1.899600;1.902100;1.899600;1.899200;1.887900;1.882500;1.874500;1.937100;1.898700;1.864900;1.868700;1.881600;1.883700;1.897500;1.915400;1.879600;1.885800
0.320;1.902100;1.895800;1.907500;1.882000;1.881600;1.867900;1.906600;1.874500;1.882500;1.921700;1.872500;1.871200;1.900400;1.881200;1.895000;1.888300;1.901200;1.905000;1.890000;1.902500;1.869100;1.874100;1.878300;1.885400;1.873300;1.874100;1.866200;1.887500;1.872400;1.897500;1.878300;1.890400;1.905800;1.864100;1.888300;1.902100;1.899600;1.899200;1.887900;1.865400;1.874500;1.916200;1.864100;1.866200;1.868700;1.881600;1.874100;1.870400;1.902900;1.874500;1.882500
0.330;1.902100;1.900400;1.907500;1.857900;1.880400;1.867900;1.901200;1.879100;1.874100;1.905400;1.869100;1.888300;1.903300;1.884500;1.895000;1.885400;1.901200;1.905000;1.876200;1.902900;1.867400;1.874100;1.871200;1.879500;1.870000;1.869100;1.870000;1.885800;1.872000;1.897900;1.878300;1.892500;1.905800;1.886200;1.913300;1.900800;1.880000;1.906200;1.885400;1.865400;1.883700;1.924200;1.878700;1.879900;1.870000;1.882000;1.867500;1.870400;1.902900;1.889100;1.888300
0.340;1.877000;1.905400;1.882000;1.857900;1.854900;1.858300;1.895400;1.879100;1.874100;1.905400;1.860800;1.854900;1.903300;1.890000;1.888700;1.886600;1.905400;1.900800;1.866600;1.899600;1.867400;1.867000;1.867900;1.884500;1.873700;1.872500;1.849900;1.882900;1.874500;1.893300;1.864100;1.867500;1.883700;1.877500;1.884100;1.913800;1.908300;1.906200;1.868700;1.865800;1.884500;1.924200;1.878700;1.833700;1.881600;1.882000;1.867500;1.872500;1.885400;1.845000;1.871600
0.350;1.881200;1.883300;1.887500;1.869500;1.861600;1.858300;1.895400;1.852400;1.870400;1.903300;1.860800;1.854900;1.907100;1.890000;1.886600;1.877900;1.902100;1.885400;1.866600;1.899600;1.870400;1.867000;1.867900;1.884500;1.873700;1.849100;1.855800;1.882100;1.874500;1.893300;1.863700;1.867500;1.883700;1.877500;1.895400;1.871200;1.863700;1.880800;1.883300;1.865800;1.863300;1.921300;1.857800;1.881200;1.855800;1.861600;1.855400;1.872500;1.885400;1.870400;1.861600
0.360;1.897900;1.872000;1.896700;1.869500;1.862500;1.865800;1.886600;1.884100;1.845800;1.903300;1.876200;1.872000;1.907100;1.862900;1.859500;1.869100;1.884100;1.875800;1.864100;1.897100;1.848700;1.853300;1.860400;1.860400;1.864900;1.849100;1.866600;1.872900;1.870400;1.864100;1.873300;1.887500;1.904600;1.871200;1.870400;1.903300;1.885400;1.890800;1.841200;1.831200;1.863300;1.895800;1.857800;1.881200;1.861200;1.879900;1.855400;1.867500;1.882000;1.870400;1.867900
0.370;1.897900;1.872000;1.882400;1.860400;1.862500;1.874500;1.892100;1.878700;1.876200;1.883700;1.883700;1.872000;1.904100;1.882100;1.884500;1.866600;1.912900;1.875800;1.856600;1.874600;1.853700;1.869100;1.845000;1.860400;1.864900;1.849500;1.866600;1.883700;1.845800;1.864100;1.878700;1.892100;1.903700;1.871200;1.882500;1.888700;1.888700;1.871600;1.841200;1.849900;1.871600;1.902100;1.860400;1.857400;1.856600;1.870400;1.852000;1.853300;1.882000;1.869100;1.867900
0.380;1.907500;1.882500;1.903700;1.875400;1.878700;1.873700;1.892900;1.879100;1.876200;1.914600;1.876200;1.859900;1.903300;1.878700;1.880400;1.866600;1.912900;1.889200;1.878300;1.891600;1.853700;1.865400;1.870000;1.880800;1.868300;1.864500;1.875000;1.883700;1.868700;1.882900;1.881600;1.884500;1.910000;1.860800;1.882500;1.888700;1.888700;1.871600;1.866200;1.855400;1.871600;1.900800;1.860800;1.872000;1.856600;1.870400;1.874500;1.859500;1.906700;1.869100;1.871200
0.390;1.907500;1.876200;1.903700;1.874600;1.878700;1.890000;1.895800;1.898300;1.864500;1.898700;1.892500;1.881200;1.926300;1.880400;1.880400;1.875800;1.909200;1.889200;1.865400;1.886600;1.860800;1.865400;1.860400;1.878300;1.866600;1.857000;1.875000;1.880800;1.867900;1.885000;1.881600;1.907500;1.910000;1.886200;1.896200;1.910800;1.902100;1.896600;1.867900;1.855400;1.883700;1.909600;1.872900;1.883300;1.869100;1.882000;1.860300;1.859500;1.906700;1.882500;1.883300
0.400;1.904200;1.884600;1.901700;1.874600;1.894100;1.900800;1.912100;1.898300;1.864500;1.898700;1.902100;1.885800;1.926300;1.885000;1.900400;1.875400;1.909200;1.890000;1.873700;1.889500;1.860800;1.883300;1.868300;1.881200;1.872900;1.873300;1.882100;1.881200;1.864500;1.893300;1.890400;1.912100;1.925900;1.878700;1.875800;1.910800;1.902100;1.896600;1.851600;1.875000;1.887500;1.909600;1.872900;1.883300;1.872100;1.882000;1.860300;1.872900;1.882100;1.872500;1.887100
