TimeStamp;2025-07-07 12-02-33;2025-07-07 12-02-51;2025-07-07 12-03-10;2025-07-07 12-03-28;2025-07-07 12-03-46;2025-07-07 12-04-04;2025-07-07 12-04-23;2025-07-07 12-04-41;2025-07-07 12-04-59;2025-07-07 12-05-17;2025-07-07 12-05-36;2025-07-07 12-05-54;2025-07-07 12-06-12;2025-07-07 12-06-30;2025-07-07 12-06-48;2025-07-07 12-07-06;2025-07-07 12-07-25;2025-07-07 12-07-43;2025-07-07 12-08-01;2025-07-07 12-08-20;2025-07-07 12-08-38;2025-07-07 12-08-56;2025-07-07 12-09-14;2025-07-07 12-09-32;2025-07-07 12-09-51;2025-07-07 12-10-09;2025-07-07 12-10-28;2025-07-07 12-10-46;2025-07-07 12-11-04;2025-07-07 12-11-22;2025-07-07 12-11-40;2025-07-07 12-11-58;2025-07-07 12-12-17;2025-07-07 12-12-35;2025-07-07 12-12-53;2025-07-07 12-13-11;2025-07-07 12-13-30;2025-07-07 12-13-48;2025-07-07 12-14-06;2025-07-07 12-14-23;2025-07-07 12-14-42;2025-07-07 12-15-00;2025-07-07 12-15-18;2025-07-07 12-15-37;2025-07-07 12-15-55;2025-07-07 12-16-13;2025-07-07 12-16-31;2025-07-07 12-16-49;2025-07-07 12-17-08;2025-07-07 12-17-26;2025-07-07 12-17-46;2025-07-07 12-18-04;2025-07-07 12-18-22;2025-07-07 12-18-40;2025-07-07 12-18-59;2025-07-07 12-19-17;2025-07-07 12-19-36;2025-07-07 12-19-54;2025-07-07 12-20-12;2025-07-07 12-20-30;2025-07-07 12-20-48;2025-07-07 12-21-06;2025-07-07 12-21-25;2025-07-07 12-21-43
0.010;3.945200;3.964400;3.977700;3.973100;3.975700;3.966500;4.990500;4.457400;3.620200;4.464500;3.981500;5.785200;3.972300;4.988500;3.984800;4.981300;3.966500;4.469500;3.966400;5.449800;3.979400;4.470400;4.468300;6.232700;5.798100;4.972600;3.361200;4.464100;3.979400;3.991500;5.456900;4.988400;3.375800;3.634800;5.440200;3.634800;3.990200;3.209000;4.991000;3.635300;4.013200;5.449800;6.275300;3.386200;4.995500;5.808100;4.983400;5.007600;4.968400;4.475400;3.201400;4.989700;4.491600;5.799300;3.088000;4.023600;6.085100;4.492000;4.505000;4.981400;4.033200;4.963800;4.012400;4.975900
0.020;3.075000;3.082600;3.977700;3.973100;3.975700;3.090500;3.363300;3.226500;3.620200;3.229000;3.981500;5.785200;3.071700;3.377100;3.093000;3.377000;3.092600;3.233200;3.966400;3.625700;3.100500;3.213100;3.224000;4.972600;3.997300;3.370800;2.725500;3.221000;3.096700;3.101300;2.934900;3.377900;3.375800;3.634800;3.635300;2.913200;3.083000;3.209000;3.379600;3.635300;4.013200;3.645700;4.982600;2.737200;3.372900;4.010300;3.356200;3.392900;3.403700;3.217700;3.201400;4.989700;4.491600;4.016100;3.088000;2.328800;3.201500;4.492000;3.217700;3.402100;3.083800;3.408300;4.012400;2.745500
0.030;2.290900;2.302900;2.411800;2.406000;3.100100;2.300800;2.709200;2.428900;2.117300;2.432300;3.087600;3.984400;3.071700;2.719200;3.093000;2.723400;2.407700;2.559500;2.307500;3.625700;2.310000;2.438500;3.224000;3.370800;3.997300;2.731800;2.725500;2.525700;3.096700;3.101300;2.934900;2.724700;2.637900;2.919900;2.922800;2.913200;2.304200;2.449400;3.379600;2.130300;3.083400;2.925300;3.385000;2.097300;3.372900;3.105900;2.643300;2.741800;2.728000;2.462700;2.572000;2.757600;2.474800;3.090500;2.334200;2.328800;3.201500;2.474800;2.499000;2.761800;2.337200;2.745900;3.056700;2.745500
0.040;1.998900;2.302900;2.411800;2.406000;2.302500;2.300800;2.709200;2.428900;2.117300;2.097700;2.314200;3.089700;2.023900;2.358000;2.026400;2.723400;2.152800;2.224500;2.307500;2.924100;2.310000;2.438500;2.434300;2.712500;3.091700;2.108100;1.944600;2.525700;2.318800;2.038100;2.132300;2.138200;2.112300;2.117700;2.349700;2.030600;2.016000;2.089000;2.241200;2.130300;2.331300;2.925300;2.743900;1.953400;2.224100;2.332600;2.110600;2.124400;2.728000;2.080600;2.058900;2.757600;2.474800;2.434400;2.022600;2.063500;2.577400;2.474800;2.082700;2.103100;2.337200;2.745900;2.340500;2.099400
0.050;1.998900;2.018400;2.147800;2.137300;2.019300;1.914200;1.928300;2.106900;2.024700;2.097700;2.010500;2.307500;2.023900;1.832000;2.026400;1.946700;2.152800;2.224500;2.008800;2.266200;1.918700;1.915800;2.102700;2.712500;2.326700;1.949200;1.944600;2.086000;2.026800;2.038100;2.025500;2.138200;1.978000;2.032200;2.349700;2.030600;1.900400;1.914200;2.241200;2.041000;2.040200;2.042200;2.743900;1.953400;2.224100;2.039700;1.964600;2.124400;2.093100;1.928800;1.912900;2.228300;2.076400;2.165300;1.904600;1.897900;2.212400;2.085600;1.935400;1.998800;1.899600;1.985900;2.024700;1.973400
0.060;1.900000;1.911700;1.804900;1.788600;1.907100;1.914200;1.928300;1.929600;1.898700;1.864100;1.910400;2.036400;1.898700;1.892500;1.912500;1.946700;1.792400;1.866200;1.912100;1.917900;1.918700;1.915800;1.919600;2.110600;2.028400;1.886200;1.896700;1.888700;1.938400;1.910000;1.909200;1.948000;1.978000;1.900800;1.930900;1.888700;1.826200;1.895400;1.844500;1.909600;1.919600;2.042200;1.864500;1.826600;1.848700;1.924200;1.920800;1.913300;1.967100;1.875800;1.859100;1.871200;1.917900;1.784900;1.904600;1.855800;1.779900;1.922500;1.890400;1.888700;1.899600;1.985900;1.896200;1.870800
0.070;1.793200;1.830300;1.804500;1.805300;1.812400;1.827400;1.883300;1.888300;1.820700;1.864100;1.910400;1.906700;1.837400;1.892500;1.839500;1.892900;1.797800;1.866200;1.806600;1.914200;1.832000;1.885800;1.880400;1.944200;1.917100;1.886200;1.840800;1.825700;1.835800;1.832800;1.909200;1.904600;1.915800;1.839900;1.887100;1.830700;1.826200;1.833300;1.896200;1.833700;1.865000;1.899600;1.864500;1.826600;1.848700;1.924200;1.920800;1.913300;1.870000;1.875800;1.828700;1.890000;1.880400;1.784900;1.828200;1.855800;1.779900;1.893700;1.890400;1.888700;1.853700;1.858700;1.845800;1.870800
0.080;1.818200;1.835800;1.804500;1.805300;1.812400;1.836600;1.812400;1.839500;1.820700;1.829900;1.823200;1.906700;1.835400;1.748200;1.844100;1.824900;1.794500;1.806100;1.806600;1.792000;1.835400;1.824900;1.827000;1.875400;1.825800;1.829500;1.839100;1.814100;1.855400;1.841600;1.859500;1.838700;1.828300;1.839900;1.776100;1.845300;1.837000;1.833300;1.777800;1.847400;1.865000;1.850300;1.887900;1.834100;1.782000;1.844500;1.817000;1.835800;1.837400;1.833700;1.828700;1.890000;1.880400;1.842400;1.828200;1.802400;1.754400;1.893700;1.832000;1.842000;1.854100;1.834500;1.845800;1.860000
0.090;1.766500;1.798600;1.792400;1.790700;1.826600;1.805700;1.817400;1.814900;1.754400;1.799100;1.832000;1.836600;1.835400;1.818700;1.844100;1.835300;1.775700;1.800700;1.789100;1.792000;1.803200;1.815700;1.827000;1.831200;1.825800;1.837800;1.839100;1.784000;1.855400;1.841600;1.859500;1.853700;1.846600;1.847900;1.842000;1.845300;1.800300;1.823700;1.777800;1.764400;1.836600;1.856600;1.785300;1.761500;1.782000;1.834500;1.839500;1.851600;1.827000;1.819900;1.840000;1.842900;1.842400;1.789100;1.806100;1.802400;1.754400;1.834100;1.837400;1.855000;1.799500;1.842400;1.818200;1.860000
0.100;1.700600;1.724000;1.792400;1.790700;1.790300;1.805700;1.817400;1.739000;1.754400;1.736100;1.804500;1.835800;1.806100;1.790300;1.745700;1.835300;1.754400;1.790300;1.789100;1.821200;1.803200;1.815700;1.807000;1.827800;1.832400;1.755300;1.721000;1.784000;1.800700;1.743600;1.765300;1.786100;1.846600;1.762300;1.842000;1.739800;1.734800;1.733600;1.790300;1.764400;1.808200;1.856600;1.829500;1.740300;1.776500;1.809500;1.734000;1.776500;1.827000;1.733600;1.736900;1.842900;1.842400;1.814900;1.725200;1.759900;1.822800;1.834100;1.741100;1.761500;1.799500;1.842400;1.803200;1.763200
