TimeStamp;2025-07-07 12-02-34;2025-07-07 12-02-52;2025-07-07 12-03-11;2025-07-07 12-03-29;2025-07-07 12-03-47;2025-07-07 12-04-05;2025-07-07 12-04-24;2025-07-07 12-04-42;2025-07-07 12-05-00;2025-07-07 12-05-18;2025-07-07 12-05-37;2025-07-07 12-05-55;2025-07-07 12-06-13;2025-07-07 12-06-31;2025-07-07 12-06-49;2025-07-07 12-07-07;2025-07-07 12-07-26;2025-07-07 12-07-44;2025-07-07 12-08-02;2025-07-07 12-08-21;2025-07-07 12-08-39;2025-07-07 12-08-57;2025-07-07 12-09-15;2025-07-07 12-09-33;2025-07-07 12-09-52;2025-07-07 12-10-10;2025-07-07 12-10-29;2025-07-07 12-10-47;2025-07-07 12-11-05;2025-07-07 12-11-23;2025-07-07 12-11-41;2025-07-07 12-11-59;2025-07-07 12-12-18;2025-07-07 12-12-36;2025-07-07 12-12-54;2025-07-07 12-13-12;2025-07-07 12-13-31;2025-07-07 12-13-49;2025-07-07 12-14-07;2025-07-07 12-18-05;2025-07-07 12-18-23;2025-07-07 12-18-41;2025-07-07 12-19-00;2025-07-07 12-19-18;2025-07-07 12-19-37;2025-07-07 12-19-55;2025-07-07 12-20-13;2025-07-07 12-20-31;2025-07-07 12-20-49;2025-07-07 12-21-07;2025-07-07 12-21-26;2025-07-07 12-21-44
0.010;4.761500;4.783600;3.052100;5.720500;4.776500;4.780700;5.726300;4.800700;3.926400;4.782800;4.783600;6.559800;4.799500;4.788200;4.798600;5.733400;3.933900;4.363200;3.328700;4.361900;4.809900;4.788200;4.787800;5.734700;3.328200;5.719200;5.730500;3.594000;3.337800;3.344100;3.952300;3.964400;4.803700;3.966500;3.590600;3.943500;3.346600;4.819100;4.351100;6.222700;3.355400;3.979400;4.785300;3.370800;4.369800;4.761900;3.353700;5.753900;4.779000;5.749300;4.794900;5.751400
0.020;3.327000;3.342000;3.052100;3.931000;4.776500;3.325700;3.938100;3.352000;3.044200;3.335800;3.322000;4.788600;3.331200;3.331200;3.342400;3.923500;3.933900;3.169700;3.328700;3.147200;3.339900;3.344900;4.787800;3.066300;3.328200;3.068400;3.958100;3.594000;3.337800;3.344100;3.952300;3.964400;3.358300;3.047900;3.590600;3.062500;3.346600;3.341600;4.351100;4.357300;3.355400;3.042500;3.347000;3.370800;3.158100;3.388700;3.353700;3.041700;3.363700;3.965600;3.357000;3.976900
0.030;2.748900;2.767200;2.374300;3.054200;2.763000;2.781400;3.062100;2.779300;2.383900;2.772200;2.676300;3.328300;3.331200;2.773000;3.342400;3.061700;2.377200;2.512300;2.099800;2.625800;2.791800;2.758000;2.766800;3.066300;2.782200;3.068400;3.053800;2.302500;2.788900;2.783900;3.063400;2.515700;2.778100;3.047900;2.154000;2.496900;2.774300;3.341600;2.539000;3.176800;2.110200;3.042500;2.686300;2.795200;2.562800;2.806000;2.793100;3.041700;2.794300;3.054600;2.799700;3.045800
0.040;2.227900;2.767200;2.035500;2.377200;2.763000;2.781400;2.494000;2.343400;2.035100;2.326300;2.109000;2.771400;2.785600;2.097300;2.353800;3.061700;2.377200;2.083500;2.099800;2.283300;2.791800;2.101100;2.766800;2.379700;2.320900;2.481500;2.496100;2.302500;2.315900;2.341700;2.401400;2.515700;2.111500;2.507800;2.154000;2.169400;2.331300;2.800200;2.539000;2.639600;2.110200;2.151500;2.109400;2.336700;2.062700;2.806000;2.088100;2.525700;2.794300;2.509400;2.329600;2.516500
0.050;1.926700;1.917100;2.006800;2.032200;2.327600;1.944200;2.494000;2.343400;2.012200;1.932500;2.109000;2.771400;2.330500;2.097300;2.353800;2.489400;2.042300;2.083500;2.046000;2.283300;2.326300;2.101100;2.335900;2.031800;1.927900;2.167000;2.496100;2.000100;1.936300;1.931700;2.041000;2.157400;2.061800;2.155700;2.103500;2.169400;1.942500;2.246200;2.077700;2.195700;2.096000;2.151500;2.097300;1.958400;2.062700;2.323400;2.064800;2.170300;2.323000;2.167400;2.329600;2.023000
0.060;1.926700;1.917100;2.006800;2.001800;1.939600;1.944200;2.155300;1.938000;1.917900;1.932500;1.966700;1.930000;1.931300;1.938400;1.942500;2.159500;2.008400;2.043100;1.940900;1.926700;1.937100;2.040600;1.919200;2.004700;1.927900;1.884100;2.159900;1.983400;1.936300;1.932100;2.026800;1.890000;2.061800;1.886600;1.946700;1.899600;1.938800;1.948800;2.055200;1.928800;1.970900;2.000900;2.097300;1.931700;2.062300;1.978000;2.064800;1.887900;1.953800;2.167400;1.940900;1.966700
0.070;1.948000;1.930000;1.891200;2.001800;1.936700;1.931300;1.882500;1.940900;1.917900;1.934600;1.966700;1.930000;1.944200;1.938400;1.963800;1.898300;1.913300;1.945900;1.911700;1.926700;1.946300;1.931700;1.922500;2.004700;1.840300;1.884100;1.871200;1.901600;1.842400;1.844100;1.930400;1.920400;1.937100;1.920900;1.928400;1.902500;1.855800;1.948800;1.934200;1.928800;1.902100;1.961700;1.959200;1.870400;1.964600;1.925000;1.908300;1.887900;1.929600;1.878700;1.940900;1.966700
0.080;1.874100;1.832800;1.891200;1.906700;1.936700;1.835800;1.902100;1.857400;1.898700;1.857900;1.898700;1.941300;1.833700;1.905800;1.853300;1.900400;1.913300;1.906200;1.911700;1.822800;1.841600;1.895000;1.922500;1.893700;1.840300;1.908800;1.917500;1.866600;1.842400;1.844100;1.930400;1.920400;1.932500;1.849900;1.928400;1.874100;1.855800;1.871600;1.934200;1.930400;1.902100;1.905800;1.907100;1.870400;1.902900;1.863300;1.908300;1.937500;1.865400;1.912900;1.843700;1.908800
0.090;1.860300;1.868300;1.861200;1.893300;1.874100;1.871600;1.857500;1.857400;1.870800;1.880000;1.895400;1.842800;1.870000;1.892500;1.853300;1.870800;1.868700;1.880400;1.888300;1.881600;1.890800;1.869600;1.870400;1.893700;1.880800;1.868700;1.853700;1.870800;1.886200;1.854500;1.905000;1.876200;1.876600;1.849900;1.836600;1.855800;1.872900;1.871600;1.880400;1.883300;1.896600;1.905800;1.890000;1.885400;1.912500;1.895400;1.885800;1.852400;1.890800;1.861600;1.902500;1.879600
0.100;1.849500;1.868300;1.841200;1.869500;1.874100;1.871600;1.863700;1.860400;1.837800;1.852900;1.834500;1.867900;1.870000;1.842000;1.855000;1.870800;1.868700;1.846200;1.827800;1.839100;1.890800;1.837000;1.870400;1.862400;1.839500;1.853700;1.861600;1.870800;1.831200;1.854500;1.880800;1.876200;1.865800;1.870400;1.836600;1.834900;1.846600;1.881600;1.880400;1.867900;1.836200;1.882100;1.824100;1.850300;1.847800;1.895400;1.819500;1.892100;1.890800;1.859100;1.848700;1.862400
