TimeStamp;2025-07-07 12-02-39;2025-07-07 12-02-57;2025-07-07 12-03-15;2025-07-07 12-02-45;2025-07-07 12-03-03;2025-07-07 12-03-22;2025-07-07 12-03-40;2025-07-07 12-03-58;2025-07-07 12-03-33;2025-07-07 12-03-52;2025-07-07 12-04-10;2025-07-07 12-04-28;2025-07-07 12-04-46;2025-07-07 12-05-05;2025-07-07 12-05-23;2025-07-07 12-05-41;2025-07-07 12-04-16;2025-07-07 12-04-34;2025-07-07 12-04-53;2025-07-07 12-05-11;2025-07-07 12-05-29;2025-07-07 12-05-47;2025-07-07 12-06-06;2025-07-07 12-05-59;2025-07-07 12-06-18;2025-07-07 12-06-36;2025-07-07 12-06-54;2025-07-07 12-07-12;2025-07-07 12-07-31;2025-07-07 12-07-49;2025-07-07 12-08-07;2025-07-07 12-08-25;2025-07-07 12-08-43;2025-07-07 12-09-02;2025-07-07 12-09-20;2025-07-07 12-09-38;2025-07-07 12-09-57;2025-07-07 12-10-15;2025-07-07 12-10-33;2025-07-07 12-10-51;2025-07-07 12-11-10;2025-07-07 12-11-28;2025-07-07 12-11-46;2025-07-07 12-12-04;2025-07-07 12-12-23;2025-07-07 12-12-41;2025-07-07 12-12-59;2025-07-07 12-13-17;2025-07-07 12-13-35;2025-07-07 12-13-53;2025-07-07 12-14-11;2025-07-07 12-14-29;2025-07-07 12-14-48;2025-07-07 12-15-06;2025-07-07 12-15-24;2025-07-07 12-15-42;2025-07-07 12-16-00;2025-07-07 12-16-19;2025-07-07 12-16-37;2025-07-07 12-16-55;2025-07-07 12-17-14;2025-07-07 12-17-32;2025-07-07 12-17-51;2025-07-07 12-18-10;2025-07-07 12-18-28;2025-07-07 12-18-46;2025-07-07 12-19-04;2025-07-07 12-19-22;2025-07-07 12-19-41;2025-07-07 12-19-59;2025-07-07 12-20-17;2025-07-07 12-20-36;2025-07-07 12-20-54;2025-07-07 12-21-12;2025-07-07 12-21-30;2025-07-07 12-21-48
0.010;0.857300;3.369300;0.064100;2.047200;1.965900;1.913800;1.905400;2.032200;0.025000;0.016400;0.028700;0.009700;0.940100;0.067800;0.332100;0.069000;2.037200;2.011000;2.029700;2.030900;2.026000;2.008900;2.016400;0.955700;0.826800;0.962100;0.310700;0.035100;0.847300;1.976000;0.044300;0.040300;0.088900;0.921500;0.094100;0.934900;0.050400;0.042700;0.872900;0.088600;0.041800;0.340700;2.036200;2.013600;0.307000;2.010200;0.844800;0.070800;0.932800;0.070500;0.043000;0.036300;0.069900;0.089200;0.084900;0.957300;0.232200;0.332700;0.040300;0.051600;0.330300;0.991800;0.183000;2.021500;0.848200;0.096200;0.066500;0.012200;0.022000;0.200100;0.039100;0.307600;0.043300;2.049900;0.821300;0.194300
0.020;5.658200;3.369300;2.003500;1.899200;1.965900;1.913800;1.905400;1.884600;1.984500;2.015700;0.231600;3.345400;5.636200;0.946600;4.776100;6.308100;1.881600;1.983800;1.923300;2.010100;2.028500;1.884100;2.016400;5.626100;0.826800;5.609300;4.653900;3.385200;5.640500;1.976000;0.928500;2.030100;0.350700;0.921500;3.388900;0.934900;0.846300;4.791000;0.872900;0.803300;0.041800;4.749800;2.036200;2.013600;4.768700;2.010200;5.640500;0.338500;0.932800;0.965200;5.659700;3.399800;0.339100;2.045600;3.376600;0.957300;0.232200;4.661200;0.956000;1.972000;0.330300;5.628600;0.183000;2.021500;0.848200;0.800800;0.066500;3.331400;6.487200;4.776100;0.858900;4.740600;0.878100;2.049900;5.821400;4.786100
0.030;7.646100;6.978500;6.357300;1.899200;1.886600;1.883700;1.822000;1.910000;1.984500;6.487200;4.782800;6.931400;7.545300;5.732800;7.148400;6.308100;1.915400;1.873300;1.898300;1.870800;1.884100;1.884100;1.894500;7.607300;5.774300;5.609300;7.219300;3.385200;7.557800;6.408000;5.699100;6.313600;4.660900;5.800900;6.862700;7.537000;5.715000;4.791000;5.638900;5.842100;6.285500;7.223500;6.367100;6.501800;7.107100;6.357300;7.534600;4.606200;5.758100;5.602000;5.659700;6.893200;4.777300;6.384500;6.891100;5.710700;7.200600;7.274600;5.773700;6.386900;7.155100;7.608800;4.795900;6.298900;5.657900;5.784700;6.292500;6.887500;6.487200;7.131000;5.633700;7.108400;5.651500;6.369200;7.464600;7.104400
0.040;8.783400;8.209300;6.357300;1.939200;1.819500;1.787400;1.822000;1.803200;6.401000;7.745400;7.144100;8.092199;8.688300;7.536700;7.148400;7.847500;1.802400;1.897100;1.814500;1.906700;1.906700;1.903700;1.909200;7.607300;7.466800;8.667600;8.398700;6.911900;8.684100;7.814500;7.545900;6.313600;7.229600;7.449600;8.130100;7.537000;7.474100;7.106200;7.526600;5.842100;6.285500;8.467100;7.838000;7.691000;7.107100;7.776900;8.662400;7.315200;7.492100;7.577100;7.585300;8.016200;7.156600;7.794300;8.121900;7.553500;7.200600;7.274600;7.432200;7.773500;7.155100;8.704599;7.096400;7.797400;7.581000;7.444200;6.292500;8.091900;7.749400;7.131000;7.535500;7.108400;5.651500;7.784800;8.713400;8.453400
0.050;8.783400;8.774799;8.871400;1.819500;1.693100;1.681400;1.712700;1.803200;7.794000;7.745400;7.144100;8.092199;8.688300;8.669100;8.433499;8.789200;1.802400;1.897100;1.702300;1.906700;1.906700;1.788600;1.801600;8.682899;8.704599;8.667600;8.398700;8.096200;8.684100;8.814199;8.663000;8.788300;7.229600;8.677999;8.130100;8.677700;8.647099;8.375199;8.641000;7.419700;7.775100;8.049700;8.780000;8.761100;8.432600;8.758300;8.662400;7.315200;8.690800;7.577100;8.688399;8.016200;7.156600;8.802600;8.612599;8.676800;8.439000;8.431399;7.432200;7.773500;8.482400;8.704599;8.453700;8.781899;8.694500;7.444200;7.838300;8.660200;8.811500;8.408200;8.605800;8.450000;7.571600;8.779699;8.713400;8.453400
0.060;7.266900;8.774799;8.871400;1.721100;1.785300;1.771100;1.809100;1.696000;8.813900;6.045900;8.108399;8.696899;7.162700;7.136500;8.107500;6.003500;1.695200;1.688100;1.790300;1.677300;1.698900;1.698500;1.704400;7.108000;7.163400;7.168200;4.115800;8.615300;3.570400;8.814199;8.663000;8.788300;8.069600;7.111700;5.003400;7.142900;7.179500;8.083400;8.641000;8.700600;8.748600;4.143300;6.010200;8.761100;8.059800;6.036500;3.520200;8.000900;7.123300;7.149000;7.131300;8.623000;8.077600;8.802600;8.612599;8.676800;8.065300;8.054299;7.132200;6.041100;8.063499;3.560600;8.453700;8.781899;7.120300;7.193900;8.752500;4.963400;6.021500;8.109900;7.145600;8.027500;8.713699;5.990900;7.142000;4.165600
0.070;3.716700;2.953100;6.115900;1.721100;1.813600;1.799900;1.827000;1.792800;6.066400;6.045900;8.108399;4.962100;3.568200;7.136500;4.168300;6.003500;1.794000;1.688100;1.790300;1.781100;1.698900;1.780300;1.704400;3.528800;3.566400;3.547700;4.115800;5.016200;3.570400;5.984200;7.164300;5.994900;8.069600;3.547400;5.003400;3.579200;7.179500;8.083400;3.526000;7.115700;5.999200;4.143300;3.123300;3.103100;4.125200;3.129100;3.520200;8.000900;3.525400;7.149000;7.131300;4.988100;8.077600;5.991200;4.995100;3.547100;4.127100;4.117600;7.132200;6.041100;4.135000;3.560600;4.134400;6.000100;3.532800;7.193900;5.992200;4.963400;6.021500;4.138400;7.145600;4.147500;7.181400;5.990900;3.547400;4.165600
0.080;2.413800;2.953100;3.270000;1.824100;1.813600;1.799900;1.827000;1.817000;3.184700;3.189900;4.157900;2.834000;2.320000;3.568200;2.582800;2.058800;1.811600;1.782800;1.829500;1.779400;1.788200;1.807400;1.779400;3.528800;3.566400;2.319700;2.549500;2.895100;2.296200;3.134300;3.579800;3.142000;4.110600;3.547400;2.836700;3.579200;3.549600;2.533600;3.526000;3.534300;5.999200;1.580600;3.123300;3.103100;2.571200;3.129100;2.265600;4.148100;3.525400;3.512600;2.318500;2.838500;4.121500;3.095800;2.865400;3.547100;2.531800;2.528400;3.536100;3.167900;4.135000;2.279700;4.134400;3.144700;3.532800;3.587100;5.992200;2.803400;2.070400;2.570900;3.541600;2.581300;3.591100;3.118700;2.365300;2.582500
0.090;1.472700;1.922200;2.149500;1.824100;1.855400;1.814100;1.866600;1.824100;3.184700;2.124500;2.599000;1.838200;1.405500;2.291300;1.641100;2.058800;1.822800;1.814100;1.830300;1.779400;1.788200;1.816600;1.816200;1.332800;2.334100;2.319700;1.522500;2.895100;1.390500;2.086900;2.309600;2.057900;2.494500;2.322200;1.832100;1.408600;2.286700;2.533600;2.267500;2.319700;2.075900;1.580600;2.059400;2.062400;1.597400;2.060600;1.346900;2.522000;2.318200;2.290100;2.318500;1.841800;2.532400;2.074700;1.830800;2.304400;1.586400;1.529300;2.340800;2.077400;1.627000;2.279700;2.601400;2.073800;2.313900;2.335900;2.045000;1.823800;2.070400;1.645700;2.270200;1.601100;2.307800;2.068500;1.429600;1.617300
0.100;0.997900;1.119200;2.149500;1.849500;1.855400;1.827400;1.866600;1.849900;2.112500;1.238700;1.658500;1.030600;0.920600;1.407000;1.641100;1.142700;1.842900;1.816200;1.854100;1.839900;1.824100;1.816600;1.829100;1.332800;1.407000;0.883000;0.953900;1.858300;0.905000;1.147000;1.412800;2.057900;1.520400;1.404000;1.088300;1.408600;1.403700;1.626100;1.327000;1.407000;2.075900;0.984200;1.107300;1.201400;1.597400;1.195600;0.865900;1.540600;1.376200;1.330900;1.338600;1.841800;1.596200;1.128700;1.062400;1.393900;1.586400;1.529300;1.418300;1.192200;1.627000;0.902000;1.641100;1.114300;1.320900;1.425700;2.045000;1.020200;1.197400;1.645700;1.307400;1.601100;2.307800;1.121900;0.920600;1.024800
