TimeStamp;2025-07-07 12-02-39;2025-07-07 12-02-57;2025-07-07 12-03-15;2025-07-07 12-03-33;2025-07-07 12-03-52;2025-07-07 12-04-10;2025-07-07 12-04-28;2025-07-07 12-04-46;2025-07-07 12-05-05;2025-07-07 12-05-23;2025-07-07 12-05-41;2025-07-07 12-05-59;2025-07-07 12-06-18;2025-07-07 12-06-36;2025-07-07 12-06-54;2025-07-07 12-07-12;2025-07-07 12-07-31;2025-07-07 12-07-49;2025-07-07 12-08-07;2025-07-07 12-08-25;2025-07-07 12-08-43;2025-07-07 12-09-02;2025-07-07 12-09-20;2025-07-07 12-09-38;2025-07-07 12-09-57;2025-07-07 12-10-15;2025-07-07 12-10-33;2025-07-07 12-10-51;2025-07-07 12-11-10;2025-07-07 12-11-28;2025-07-07 12-11-46;2025-07-07 12-12-04;2025-07-07 12-12-23;2025-07-07 12-12-41;2025-07-07 12-12-59;2025-07-07 12-13-17;2025-07-07 12-13-35;2025-07-07 12-13-53;2025-07-07 12-14-11;2025-07-07 12-14-29;2025-07-07 12-14-48;2025-07-07 12-15-06;2025-07-07 12-15-24;2025-07-07 12-15-42;2025-07-07 12-16-00;2025-07-07 12-16-19;2025-07-07 12-14-24;2025-07-07 12-14-43;2025-07-07 12-15-01;2025-07-07 12-15-19;2025-07-07 12-15-38;2025-07-07 12-15-56;2025-07-07 12-16-14;2025-07-07 12-16-32;2025-07-07 12-16-50;2025-07-07 12-16-37;2025-07-07 12-16-55;2025-07-07 12-17-14;2025-07-07 12-17-32;2025-07-07 12-17-51;2025-07-07 12-17-09;2025-07-07 12-17-27;2025-07-07 12-17-47;2025-07-07 12-18-10;2025-07-07 12-18-28;2025-07-07 12-18-46;2025-07-07 12-19-04;2025-07-07 12-19-22;2025-07-07 12-19-41;2025-07-07 12-19-59;2025-07-07 12-20-17;2025-07-07 12-20-36;2025-07-07 12-20-54;2025-07-07 12-21-12;2025-07-07 12-21-30;2025-07-07 12-21-48
0.010;0.313100;0.066900;0.061600;0.017000;0.093800;0.068900;0.021000;0.054400;0.311800;0.192300;0.063600;0.030200;0.055700;0.068200;0.021600;0.112900;0.291400;0.212700;0.066900;0.029500;0.041400;0.068900;0.023600;0.118800;0.288100;0.212700;0.056400;0.136500;0.089200;0.059700;0.030200;0.110300;0.302600;0.061600;0.056400;0.144400;0.072800;0.081300;0.030200;0.116200;0.296700;0.051200;0.053800;0.018400;0.089200;0.063600;3.952700;4.802000;3.961900;4.367700;3.963500;4.368600;4.800700;4.794000;5.730900;0.027600;0.105000;0.292700;0.051200;0.072800;3.959000;4.782800;3.616100;0.020300;0.080700;0.059000;0.025600;0.117500;0.287500;0.049900;0.070800;0.026900;0.084600;0.062900;0.017700;0.049200
0.020;0.313100;0.066900;0.061600;0.017000;0.093800;0.070200;0.023000;0.053800;0.313100;0.192300;0.062300;0.029500;0.055700;0.068900;0.022300;0.114900;0.290800;0.212700;0.068200;0.027600;0.041400;0.068900;0.022300;0.118800;0.288800;0.211400;0.056400;0.137900;0.089200;0.062900;0.030200;0.110300;0.298000;0.061600;0.054400;0.147100;0.072800;0.078100;0.026200;0.116200;0.300000;0.047900;0.057700;0.018400;0.089200;0.064900;3.050000;3.335700;3.060000;3.146400;3.037900;4.368600;4.800700;4.794000;3.980600;0.027600;0.107600;0.292700;0.052500;0.072800;3.959000;3.356200;3.616100;0.020300;0.080700;0.056400;0.025600;0.115500;0.287500;0.043300;0.072100;0.024900;0.080000;0.062900;0.020300;0.042700
0.030;0.313800;0.066900;0.059700;0.017000;0.093800;0.068900;0.023000;0.054400;0.313100;0.194300;0.062300;0.029500;0.055700;0.068900;0.020300;0.114900;0.293400;0.212000;0.069500;0.027600;0.041400;0.068200;0.023000;0.120800;0.290100;0.211400;0.056400;0.138500;0.090500;0.059700;0.029500;0.110900;0.302600;0.061000;0.052500;0.147700;0.070200;0.077400;0.026200;0.118800;0.298000;0.051800;0.055100;0.021000;0.091900;0.068200;3.050000;2.787200;3.060000;2.650000;2.515700;3.167300;3.349100;2.683800;3.045000;0.029500;0.101700;0.293400;0.047900;0.070800;2.496500;2.798500;2.932800;0.015100;0.084600;0.061000;0.023000;0.112200;0.287500;0.049200;0.069500;0.026200;0.084600;0.061600;0.017700;0.051200
0.040;0.312500;0.065600;0.059700;0.015700;0.093800;0.068900;0.023000;0.053800;0.313100;0.194300;0.064900;0.029500;0.055100;0.066900;0.022300;0.114900;0.291400;0.213300;0.066900;0.027600;0.042000;0.068200;0.022300;0.120800;0.290100;0.210700;0.058300;0.138500;0.090500;0.059700;0.027600;0.112900;0.302600;0.064900;0.055100;0.143800;0.071500;0.082700;0.032200;0.116200;0.298000;0.048600;0.057700;0.019000;0.091900;0.068200;2.142300;2.329200;2.499800;2.650000;2.160300;2.642100;2.794300;2.683800;2.518200;0.025600;0.107600;0.293400;0.053800;0.073500;2.496500;2.319600;2.395100;0.019000;0.083300;0.055100;0.023000;0.118100;0.291400;0.049200;0.072100;0.026200;0.084600;0.061600;0.022300;0.046600
0.050;0.312500;0.066900;0.061000;0.017000;0.093800;0.068900;0.023000;0.053800;0.314400;0.193600;0.063600;0.029500;0.055700;0.066900;0.022300;0.114200;0.291400;0.214600;0.067500;0.029500;0.042000;0.067500;0.022300;0.120100;0.289500;0.211400;0.056400;0.137900;0.091900;0.061600;0.029500;0.107600;0.301300;0.061000;0.055100;0.143800;0.070200;0.082700;0.029500;0.116200;0.298000;0.054400;0.056400;0.019700;0.087300;0.063600;2.142300;2.329200;2.166500;1.907500;2.160300;2.197000;2.227800;2.099000;2.180700;0.025600;0.107600;0.292100;0.053800;0.073500;2.168200;2.319600;1.975100;0.015700;0.080700;0.055100;0.027600;0.116200;0.290100;0.047300;0.065600;0.026900;0.080000;0.062900;0.022300;0.046600
0.060;0.313800;0.066900;0.061000;0.015100;0.092500;0.069500;0.023000;0.055100;0.313100;0.192300;0.064300;0.029500;0.053800;0.066200;0.023000;0.112900;0.292700;0.214600;0.067500;0.029500;0.041400;0.066900;0.021000;0.118800;0.290100;0.210700;0.056400;0.138500;0.089900;0.060300;0.026200;0.107600;0.301900;0.066900;0.053800;0.147100;0.068900;0.082000;0.030200;0.116800;0.298000;0.054400;0.056400;0.019700;0.093200;0.067500;2.004300;1.943400;1.881200;1.907500;1.923800;1.922500;1.961300;2.101000;1.878700;0.026900;0.105000;0.293400;0.049900;0.073500;1.876200;1.920000;1.975100;0.015700;0.083300;0.057700;0.026900;0.115500;0.290800;0.045300;0.070200;0.024900;0.080700;0.060300;0.016400;0.049200
0.070;0.312500;0.065600;0.062300;0.015700;0.092500;0.069500;0.020300;0.055100;0.313100;0.193000;0.064300;0.031500;0.055700;0.068200;0.023000;0.112900;0.292700;0.213300;0.067500;0.028200;0.041400;0.068900;0.021000;0.120100;0.290100;0.210700;0.055100;0.138500;0.091200;0.060300;0.031500;0.108300;0.303300;0.061000;0.053800;0.147100;0.072100;0.082000;0.030200;0.115500;0.298000;0.049200;0.051800;0.016400;0.090500;0.063600;1.943400;1.943400;1.919600;1.924600;1.923800;1.946300;1.953000;1.950500;1.878700;0.026900;0.105000;0.294700;0.049900;0.074800;1.926300;1.920000;1.875400;0.017000;0.080700;0.057700;0.023600;0.115500;0.290800;0.049200;0.070200;0.026900;0.084000;0.060300;0.019000;0.049200
0.080;0.313100;0.065600;0.061000;0.017000;0.094500;0.068900;0.023000;0.055100;0.312500;0.193600;0.064300;0.031500;0.055700;0.066200;0.021000;0.114900;0.291400;0.212700;0.068900;0.028900;0.042700;0.068900;0.023000;0.120100;0.290100;0.210700;0.055100;0.137900;0.091200;0.061600;0.031500;0.108300;0.299300;0.061000;0.055100;0.145100;0.072100;0.078100;0.028200;0.116800;0.301300;0.050500;0.060300;0.016400;0.091200;0.067500;1.919600;1.836200;1.867000;1.818700;1.847400;1.946300;1.953000;1.950500;1.925000;0.030200;0.107000;0.294700;0.052500;0.074800;1.926300;1.848700;1.875400;0.019700;0.080700;0.058300;0.023600;0.116200;0.289500;0.044600;0.071500;0.024300;0.080000;0.063600;0.019000;0.045300
0.090;0.312500;0.068200;0.061000;0.017000;0.093800;0.069500;0.023000;0.053100;0.312500;0.192300;0.064300;0.031500;0.056400;0.066200;0.023000;0.114900;0.290800;0.213300;0.066900;0.028200;0.040700;0.068200;0.023600;0.119500;0.289500;0.210700;0.057000;0.136500;0.089900;0.061600;0.027600;0.112200;0.302600;0.064300;0.053100;0.148400;0.067500;0.082000;0.028200;0.120100;0.296000;0.052500;0.051800;0.023000;0.091900;0.064900;1.919600;1.889600;1.867000;1.885400;1.876600;1.864500;1.879100;1.890000;1.850400;0.028200;0.103000;0.296000;0.052500;0.074100;1.860400;1.889100;1.880400;0.017000;0.084000;0.059000;0.023600;0.114900;0.289500;0.046600;0.068200;0.027600;0.083300;0.061000;0.017700;0.049900
0.100;0.312500;0.066900;0.061000;0.016400;0.092500;0.068900;0.023000;0.054400;0.311800;0.192300;0.064300;0.031500;0.055700;0.066200;0.022300;0.114200;0.291400;0.212000;0.068200;0.028200;0.041400;0.067500;0.022300;0.119500;0.289500;0.210000;0.056400;0.137900;0.089900;0.060300;0.027600;0.109600;0.302600;0.063600;0.057000;0.142500;0.072800;0.079400;0.031500;0.120100;0.301300;0.047900;0.059000;0.018400;0.091900;0.064900;1.870400;1.839500;1.855400;1.885400;1.824500;1.863700;1.873700;1.890000;1.871200;0.029500;0.107600;0.296000;0.053100;0.071500;1.860400;1.819500;1.852000;0.018400;0.082700;0.057000;0.023600;0.117500;0.290100;0.046600;0.071500;0.027600;0.083300;0.061000;0.020300;0.044600
